signal_date,execution_date,main_symbol,new_symbol,main_required,main_actual_weight_close,new_actual_weight_close,required_positions_present
2021-11-10,2021-11-11,CASH,512980.SH,False,0.0,0.1992890021499752,True
2021-11-11,2021-11-12,CASH,512980.SH,False,0.0,0.19928447642577835,True
2021-11-12,2021-11-15,CASH,512980.SH,False,0.0,0.2049114798349197,True
2021-11-15,2021-11-16,CASH,512980.SH,False,0.0,0.20615015750391846,True
2021-11-16,2021-11-17,159865.SZ,512980.SH,True,0.7932301300557316,0.20230041147993819,True
2021-11-17,2021-11-18,159865.SZ,512980.SH,True,0.797481124844321,0.1980306956665346,True
2021-11-18,2021-11-19,159865.SZ,512980.SH,True,0.7965067766835822,0.19899481691199286,True
2021-11-19,2021-11-22,159865.SZ,512980.SH,True,0.7961564046693437,0.19932605767964376,True
2021-11-22,2021-11-23,159865.SZ,512980.SH,True,0.7934313816060927,0.20200222752942382,True
2021-11-23,2021-11-24,159865.SZ,512980.SH,True,0.7881835743446017,0.20718653729625183,True
2021-11-24,2021-11-25,512690.SH,512980.SH,True,0.7985152951068376,0.20022541239529987,True
2021-11-25,2021-11-26,512690.SH,512980.SH,True,0.799931314402727,0.19880178605501903,True
2021-11-26,2021-11-29,512690.SH,512980.SH,True,0.8034746226898081,0.19526094542965963,True
2021-11-29,2021-11-30,512690.SH,512980.SH,True,0.8001570706633612,0.19855370458539037,True
2021-11-30,2021-12-01,512690.SH,512980.SH,True,0.7982896687344606,0.20042966532582115,True
2021-12-01,2021-12-02,512690.SH,512980.SH,True,0.8035726312920957,0.1951533454223116,True
2021-12-02,2021-12-03,512690.SH,512980.SH,True,0.8079964784789846,0.19076983278506005,True
2021-12-03,2021-12-06,512690.SH,512980.SH,True,0.8094989667541961,0.18926378017286563,True
2024-01-04,2024-01-05,518880.SH,513520.SH,True,0.7904803387826302,0.1958498942557481,True
2024-01-05,2024-01-08,518880.SH,513520.SH,True,0.7868924212123699,0.19945888833769537,True
2024-01-08,2024-01-09,518880.SH,513520.SH,True,0.7816818786781584,0.20475689182432386,True
2024-01-09,2024-01-10,518880.SH,513520.SH,True,0.7796166489100994,0.20680537925364986,True
2024-01-10,2024-01-11,518880.SH,513520.SH,True,0.7722210140903076,0.21432981804579743,True
2024-01-11,2024-01-12,518880.SH,513520.SH,True,0.7716484187528718,0.21495577500951918,True
2024-01-12,2024-01-15,518880.SH,513520.SH,True,0.7650219772452537,0.22177398592295494,True
2024-01-15,2024-01-16,518880.SH,513520.SH,True,0.7724777441898607,0.21420093813446772,True
2024-01-16,2024-01-17,518880.SH,513520.SH,True,0.7724500001743636,0.21409684389067526,True
2024-01-17,2024-01-18,518880.SH,513520.SH,True,0.7715352060436377,0.2149839055088115,True
2024-01-18,2024-01-19,518880.SH,513520.SH,True,0.7710790043494206,0.21552642596817081,True
2024-01-19,2024-01-22,518880.SH,513520.SH,True,0.7600394940591392,0.2267063215993525,True
2024-01-22,2024-01-23,513500.SH,513520.SH,True,0.7901280666184325,0.20648274318249402,True
2024-01-23,2024-01-24,513500.SH,513520.SH,True,0.8022048279641931,0.19439117948171727,True
2024-01-24,2024-01-25,513500.SH,513520.SH,True,0.8142507997059502,0.18227750193155354,True
2024-01-25,2024-01-26,512800.SH,513520.SH,True,0.8039467268943936,0.18781251959970896,True
2024-01-26,2024-01-29,512800.SH,513520.SH,True,0.8006172718303355,0.19124885651885293,True
2024-01-29,2024-01-30,512800.SH,513520.SH,True,0.7918694920957566,0.19999900422454725,True
2024-01-30,2024-01-31,512800.SH,513520.SH,True,0.8006288192007227,0.19114972984759163,True
2024-01-31,2024-02-01,512800.SH,513520.SH,True,0.7994420025980139,0.19230435885515684,True
2024-02-01,2024-02-02,512800.SH,513520.SH,True,0.7981449223813591,0.19361483045134842,True
2024-02-02,2024-02-05,512800.SH,513520.SH,True,0.8002268870754381,0.19162876724486347,True
2024-02-05,2024-02-06,512800.SH,513520.SH,True,0.8062367124489437,0.18563000813846559,True
2024-02-06,2024-02-07,512800.SH,513520.SH,True,0.8078920806526863,0.18388556081000795,True
2024-07-29,2024-07-30,512800.SH,513520.SH,True,0.8007020402186131,0.19879965383759465,True
2024-07-30,2024-07-31,512800.SH,513520.SH,True,0.7979651456081676,0.20153747335283767,True
2024-08-16,2024-08-19,518880.SH,513520.SH,True,0.7965677764936144,0.19628829418743043,True
2024-08-19,2024-08-20,518880.SH,513520.SH,True,0.7929505636590353,0.19993794759214617,True
2024-08-20,2024-08-21,518880.SH,513520.SH,True,0.7935572150673057,0.19935670388111615,True
2024-08-21,2024-08-22,518880.SH,513520.SH,True,0.792085908134449,0.20082321945845455,True
2024-08-22,2024-08-23,518880.SH,513520.SH,True,0.7925761989671537,0.20030404692458648,True
2024-08-23,2024-08-26,518880.SH,513520.SH,True,0.7943266601589776,0.1985816687036941,True
2024-08-26,2024-08-27,518880.SH,513520.SH,True,0.7947381457941636,0.19816138057801339,True
2024-08-27,2024-08-28,518880.SH,513520.SH,True,0.7938194744732731,0.19908056175325806,True
2024-08-28,2024-08-29,518880.SH,513520.SH,True,0.7955100884545303,0.19738382509173702,True
2024-08-29,2024-08-30,518880.SH,513520.SH,True,0.7942776941267033,0.19861052469465987,True
2024-08-30,2024-09-02,518880.SH,513520.SH,True,0.7942087073041084,0.19863998285243634,True
2024-09-02,2024-09-03,518880.SH,513520.SH,True,0.7945059229902961,0.1983530955014975,True
2024-09-03,2024-09-04,518880.SH,513520.SH,True,0.8001699152853265,0.19258816941587703,True
