signal_date,main_strategy_target,expanded_strategy_target,state,expanded_target_is_new_etf,combined_target_count
2024-01-09,518880.SH,513520.SH,different_etfs,True,2
2024-01-10,518880.SH,513520.SH,different_etfs,True,2
2024-01-11,518880.SH,513520.SH,different_etfs,True,2
2024-01-12,518880.SH,513520.SH,different_etfs,True,2
2024-01-15,518880.SH,513520.SH,different_etfs,True,2
2024-01-16,518880.SH,513520.SH,different_etfs,True,2
2024-01-17,518880.SH,513520.SH,different_etfs,True,2
2024-01-18,518880.SH,513520.SH,different_etfs,True,2
2024-01-19,518880.SH,513520.SH,different_etfs,True,2
2024-01-22,513500.SH,513520.SH,different_etfs,True,2
2024-01-23,513500.SH,513520.SH,different_etfs,True,2
2024-01-24,513500.SH,513520.SH,different_etfs,True,2
2024-01-25,512800.SH,513520.SH,different_etfs,True,2
2024-01-26,512800.SH,513520.SH,different_etfs,True,2
2024-01-29,512800.SH,513520.SH,different_etfs,True,2
2024-01-30,512800.SH,513520.SH,different_etfs,True,2
2024-01-31,512800.SH,513520.SH,different_etfs,True,2
2024-02-01,512800.SH,513520.SH,different_etfs,True,2
2024-02-02,512800.SH,513520.SH,different_etfs,True,2
2024-02-05,512800.SH,513520.SH,different_etfs,True,2
2024-02-06,512800.SH,513520.SH,different_etfs,True,2
2024-02-07,512800.SH,512800.SH,same_etf,False,1
2024-02-08,512800.SH,512800.SH,same_etf,False,1
2024-02-19,512800.SH,512800.SH,same_etf,False,1
2024-02-20,512800.SH,512800.SH,same_etf,False,1
2024-02-21,512800.SH,512800.SH,same_etf,False,1
2024-02-22,512800.SH,512800.SH,same_etf,False,1
2024-02-23,512800.SH,512800.SH,same_etf,False,1
2024-02-26,512800.SH,512800.SH,same_etf,False,1
2024-02-27,512800.SH,512800.SH,same_etf,False,1
2024-02-28,512800.SH,512800.SH,same_etf,False,1
2024-02-29,512800.SH,512800.SH,same_etf,False,1
2024-03-01,512800.SH,512800.SH,same_etf,False,1
2024-03-04,515050.SH,515050.SH,same_etf,False,1
2024-03-05,515050.SH,515050.SH,same_etf,False,1
2024-03-06,515050.SH,515050.SH,same_etf,False,1
2024-03-07,515050.SH,515050.SH,same_etf,False,1
2024-03-08,515050.SH,515050.SH,same_etf,False,1
2024-03-11,515050.SH,515050.SH,same_etf,False,1
2024-03-12,515050.SH,515050.SH,same_etf,False,1
2024-03-13,515050.SH,515050.SH,same_etf,False,1
2024-03-14,515050.SH,515050.SH,same_etf,False,1
2024-03-15,515050.SH,515050.SH,same_etf,False,1
2024-03-18,515050.SH,515050.SH,same_etf,False,1
