signal_date,main_strategy_target,expanded_strategy_target,state,expanded_target_is_new_etf,combined_target_count
2022-06-16,159755.SZ,159755.SZ,same_etf,False,1
2022-06-17,159755.SZ,159755.SZ,same_etf,False,1
2022-06-20,159755.SZ,159755.SZ,same_etf,False,1
2022-06-21,159755.SZ,159755.SZ,same_etf,False,1
2022-06-22,159755.SZ,159755.SZ,same_etf,False,1
2022-06-23,159755.SZ,159755.SZ,same_etf,False,1
2022-06-24,159755.SZ,159755.SZ,same_etf,False,1
2022-06-27,159755.SZ,159755.SZ,same_etf,False,1
2022-06-28,159755.SZ,159755.SZ,same_etf,False,1
2022-06-29,159755.SZ,159755.SZ,same_etf,False,1
2022-06-30,159755.SZ,159755.SZ,same_etf,False,1
2022-07-01,159755.SZ,159755.SZ,same_etf,False,1
2022-07-04,159755.SZ,159755.SZ,same_etf,False,1
2022-07-05,159755.SZ,159755.SZ,same_etf,False,1
2022-07-06,159755.SZ,159755.SZ,same_etf,False,1
2022-07-07,159755.SZ,159755.SZ,same_etf,False,1
2022-07-08,159755.SZ,159755.SZ,same_etf,False,1
2022-07-11,159755.SZ,159755.SZ,same_etf,False,1
2022-07-12,159755.SZ,159755.SZ,same_etf,False,1
2022-07-13,159755.SZ,159755.SZ,same_etf,False,1
2022-07-14,159755.SZ,159755.SZ,same_etf,False,1
2022-07-15,159755.SZ,159755.SZ,same_etf,False,1
2022-07-18,159755.SZ,159755.SZ,same_etf,False,1
2022-07-19,159755.SZ,159755.SZ,same_etf,False,1
2022-07-20,159755.SZ,159755.SZ,same_etf,False,1
2022-07-21,159755.SZ,159755.SZ,same_etf,False,1
2022-07-22,159755.SZ,159755.SZ,same_etf,False,1
2022-07-25,159755.SZ,159755.SZ,same_etf,False,1
2022-07-26,159755.SZ,159755.SZ,same_etf,False,1
2022-07-27,159755.SZ,159755.SZ,same_etf,False,1
2022-07-28,CASH,CASH,both_cash,False,0
2022-07-29,CASH,CASH,both_cash,False,0
2022-08-01,CASH,CASH,both_cash,False,0
2022-08-02,CASH,CASH,both_cash,False,0
2022-08-03,CASH,CASH,both_cash,False,0
2022-08-04,CASH,CASH,both_cash,False,0
2022-08-05,CASH,CASH,both_cash,False,0
2022-08-08,CASH,CASH,both_cash,False,0
2022-08-09,CASH,CASH,both_cash,False,0
2022-08-10,CASH,CASH,both_cash,False,0
2022-08-11,CASH,CASH,both_cash,False,0
2022-08-12,CASH,CASH,both_cash,False,0
