variant,total_return,max_drawdown,trade_count,total_fees,blocked_orders
baseline,5.828736360510463,-0.2025355093608684,133.0,803.0186275638932,0.0
sleeve50,8.876611514666557,-0.2025355093608684,146.0,980.7845713371779,0.0
staged50,11.564635327018578,-0.2025355093608684,141.0,1059.5572837744708,0.0
full_switch,12.288586368301928,-0.2025355093608684,137.0,1067.3360773814145,0.0
