signal_date,from_symbol,to_symbol,from_rank,to_rank,score_gap,roc20_gap,confirmation_days,new_minus_old_5d,new_minus_old_10d,new_minus_old_20d
2022-08-26,159941.SZ,159865.SZ,6.0,2.0,0.16932308574981403,0.0006232828195424922,2,0.021638158185859235,-0.06815736028943664,-0.07267396806668303
2024-01-15,518880.SH,159941.SZ,8.0,2.0,0.17402926460964785,0.008583997338580174,2,0.06531825913870459,0.06473168347678382,0.057793352336679815
2024-09-25,518880.SH,159851.SZ,6.0,1.0,0.17705556638194164,0.15189041867493436,2,0.6600943896616791,0.5439237182624816,0.6125992845577743
2025-02-06,512800.SH,513500.SH,11.0,5.0,0.12750579910388815,0.020688888709595066,2,-0.023054046326409505,-0.03662175797459111,-0.10224404019541333
