variant,label,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,cash_management_annual_rate,cash_interest_income,cash_interest_calendar_days,cash_management_fees,delta_total_return,delta_max_drawdown,delta_trade_count
baseline,现行策略,5.597971070322513,0.26324771668052227,0.22337591195052947,1.1973709525768594,2.0627451443276428,-0.20906256593091377,1.2591815063033063,16.321750180777745,264.0,0.519592280712369,6588.810666412409,35773.73721643926,0.0,0.0,0.0,113.0,0.015,8605.972602739756,2949.0,1388.3800000000065,0.0,0.0,0.0
sleeve25,25%机会成本双袖,6.960527758344012,0.2929646298371973,0.22611883710876182,1.2924159215754862,2.241098923697083,-0.20906256593091377,1.4013251417473254,16.416601937638177,282.0,0.5273918064981621,7095.273877536023,38417.772047935716,0.0,0.0,0.0,118.0,0.015,9099.780821917844,2949.0,1471.9400000000019,1.362556688021499,0.0,18.0
sleeve50,50%机会成本双袖,7.350394484055325,0.300644237711738,0.22923209393200958,1.3047787110128957,2.2661500351336823,-0.20906256593091377,1.4380586805343623,16.512950479083997,284.0,0.5310706004796868,7271.251575202593,39398.424688877465,3.0,3.0,0.0,120.0,0.015,9201.041095890445,2949.0,1488.6000000000033,1.7524234137328119,0.0,20.0
sleeve75,75%机会成本双袖,8.10781616735812,0.3147063932769103,0.23504738311581821,1.325671410965907,2.3173922712980937,-0.20906256593091377,1.505321585792204,16.625469267689272,288.0,0.5364657628583651,7580.648965796739,41043.79299848019,3.0,3.0,0.0,123.0,0.015,9429.328767123347,2949.0,1525.5600000000038,2.5098450970356065,0.0,24.0
staged50,首日50%后全仓切换,8.599266554303037,0.32329182168162074,0.24114029312916765,1.3260888481480209,2.329643329318486,-0.20906256593091377,1.5463878970492253,16.731594340293626,286.0,0.5409827565087497,7784.719509441004,42197.41961879611,3.0,3.0,0.0,126.0,0.015,9546.73972602743,2949.0,1543.9400000000044,3.001295483980524,0.0,22.0
full_switch,100%直接换仓,8.636409561411659,0.3239249257301313,0.2411287650298679,1.3282026609002637,2.3333048028553804,-0.20906256593091377,1.5494161964757223,16.732791959227885,283.0,0.5407265562035171,7800.37334078145,42288.109905701276,3.0,3.0,0.0,126.0,0.015,9569.383561643857,2949.0,1547.9400000000028,3.0384384910891455,0.0,19.0
