start_year,variant,total_return,delta_total_return,max_drawdown
2018,sleeve50,7.350394484055325,1.7524234137328119,-0.20906256593091377
2018,staged50,8.599266554303037,3.001295483980524,-0.20906256593091377
2018,full_switch,8.636409561411659,3.0384384910891455,-0.20906256593091377
2021,sleeve50,7.321746829223921,1.7499925177589164,-0.20900219323884395
2021,staged50,8.563328710123981,2.991574398658977,-0.20900219323884395
2021,full_switch,8.598314495497087,3.026560184032083,-0.20900219323884395
2023,sleeve50,5.857920724035892,1.5713820705063535,-0.13717182068336575
2023,staged50,6.8665416982187235,2.5800030446891853,-0.13717182068336575
2023,full_switch,6.893840075371326,2.607301421841788,-0.13717182068336575
2024,sleeve50,5.114464871070001,1.5286514480666442,-0.12853172039551286
2024,staged50,5.923475569476546,2.337662146473189,-0.12998970746183713
2024,full_switch,5.94831850417637,2.3625050811730137,-0.12998287728512892
2025,sleeve50,2.871856919184071,0.0,-0.12533872208131325
2025,staged50,2.871856919184071,0.0,-0.12533872208131325
2025,full_switch,2.871856919184071,0.0,-0.12533872208131325
