cost_multiple,variant,total_return,delta_total_return,max_drawdown,trade_count
1.0,sleeve50,7.350394484055325,1.7524234137328119,-0.20906256593091377,284.0
1.0,staged50,8.599266554303037,3.001295483980524,-0.20906256593091377,286.0
1.0,full_switch,8.636409561411659,3.0384384910891455,-0.20906256593091377,283.0
2.0,sleeve50,5.670602019950807,1.4905275064777488,-0.23389242959289547,270.0
2.0,staged50,6.62545928653881,2.4453847730657516,-0.23389242959289547,272.0
2.0,full_switch,6.65270601062478,2.4726314971517223,-0.23389242959289547,269.0
3.0,sleeve50,4.374895517446385,1.3426755284482637,-0.2686770777911116,248.0
3.0,staged50,5.037662330079253,2.0054423410811317,-0.2686770777911116,248.0
3.0,full_switch,5.057537980287143,2.025317991289022,-0.2686770777911116,246.0
