symbol,entry_date,entry_completed_date,exit_date,exit_completed_date,buy_fill_count,sell_fill_count,quantity,average_buy_price,average_sell_price,buy_cost,sell_proceeds,total_fees,net_pnl,net_return,holding_days,outcome
561580.SH,2024-04-25,2024-04-25,2024-04-30,2024-04-30,1,1,3800.0,0.9201028295993806,0.9139020214319228,3501.3907524776464,3467.8276814413066,10.0,-33.56307103633981,-0.009585639938241686,3,负
513730.SH,2024-07-30,2024-07-30,2024-08-06,2024-08-06,1,1,3400.0,1.1541077229499817,1.0940381028532982,3928.9662580299378,3714.7295497012137,10.0,-214.23670832872403,-0.05452750017663588,5,负
513730.SH,2024-09-05,2024-09-05,2024-09-12,2024-09-12,1,1,3100.0,1.1871968152999877,1.174819373369217,3685.3101274299615,3636.9400574445726,10.0,-48.37006998538891,-0.013125101636730085,5,负
