satellite_share,standard_total_return,standard_cagr,standard_max_drawdown,standard_sharpe,standard_five_year_total_return,standard_five_year_cagr,standard_five_year_max_drawdown,standard_terminal_wealth_gap_vs_core_pct,small_total_return,small_five_year_total_return,small_max_drawdown,small_terminal_wealth_gap_vs_core_pct,small_trade_count,small_total_fees,small_extra_fees_vs_core,small_signal_execution_success_rate,small_actual_satellite_weight_median,small_weight_shortfall_median_pp
0.05,5.417651141497639,0.2589196344231235,-0.2215708769529945,1.1822921787837222,4.009693777583476,0.38032514160408204,-0.2215708769529945,-0.004514022632416181,5.41482836277362,4.184928490475586,-0.24875239360555423,-0.00766833136167322,151.0,938.9540652521681,97.0005917394783,1.0,0.046847731504524606,0.3152268495475393
0.1,5.39881056782023,0.2584612913466644,-0.22091742830203254,1.1805740900656974,3.994986604719638,0.3795136212069914,-0.22091742830203254,-0.007436513507643627,5.399420833880828,4.172475010661899,-0.24784003096229001,-0.010051774532889635,152.0,942.9822924313578,101.02881891866798,1.0,0.0964793538564093,0.3520646143590711
0.15,5.375185277799179,0.25788487444986585,-0.22057071556201313,1.1780778295712493,3.9765444261401957,0.37849330295192196,-0.22057071556201313,-0.01110119462050796,5.373595307290217,4.151600951212662,-0.2469404875243626,-0.014046813284642523,152.0,941.47837100636,99.52489749367021,1.0,0.14725791577715913,0.27420842228408626
0.2,5.352253250426231,0.2573235792318802,-0.22023889116883855,1.1753489084277529,3.958643416517721,0.37750002794389514,-0.22023889116883855,-0.014658338999199216,5.3305764625554355,4.116830007848517,-0.24605714258791844,-0.020701545034955693,152.0,939.2568718713204,97.3033983586306,1.0,0.1958415237970323,0.41584762029677064
0.25,5.325440712587852,0.2566650469690275,-0.22045357169272728,1.1718803973934202,3.9377132348969726,0.3763350286667051,-0.22045357169272728,-0.0188174160271094,5.31995505587294,4.1082450183519015,-0.24395928308979875,-0.022344606644786436,153.0,944.1712709690732,102.21779745638344,1.0,0.2459693274021016,0.4030672597898424
0.3,5.2992887469280845,0.2560203784817938,-0.22018747565666552,1.1682609492415164,3.91729870366916,0.3751949192075541,-0.22018747565666552,-0.022874027164252242,5.274125541307324,4.071202288236955,-0.24339601934786204,-0.029434130493265265,153.0,941.7529297370353,99.79945622434548,1.0,0.29632716750927635,0.3672832490723643
