variant,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,cash_management_annual_rate,cash_interest_income,cash_interest_calendar_days,cash_management_fees,five_year_total_return,five_year_cagr,five_year_max_drawdown,five_year_sharpe
core45,5.446751925595348,0.2596252707523643,0.22321579110222606,1.1847021416577974,2.0396193826546645,-0.2218193578066835,1.1704355892087146,16.152772791304464,256.0,0.5188373818431133,6417.139758380486,34933.2207946086,0.0,0.0,0.0,110.0,0.015,8495.342465753449,2949.0,1370.8500000000026,4.03241019108162,0.38157486288491804,-0.2218193578066835,1.4041547546512605
current51_new20,5.449449618744274,0.25969054303614625,0.22328837924760606,1.1846346714280154,2.038569737543469,-0.22023889116883855,1.179131177322644,16.200044427695754,277.0,0.5192729349879331,6505.11623140631,35330.11461627424,0.0,0.0,0.0,110.0,0.015,8497.767123287716,2949.0,1371.0400000000075,4.034516042004961,0.3816904854994525,-0.22023889116883855,1.404062948766327
proposed55_new20,5.352253250426231,0.2573235792318802,0.22341371222112344,1.1753489084277529,2.0213463002703125,-0.22023889116883855,1.1683839210514912,16.299880260167154,284.0,0.5196152338279165,6518.520321415065,35375.981614197495,0.0,0.0,0.0,109.0,0.015,8439.287671232923,2949.0,1361.6200000000113,3.958643416517721,0.37750002794389514,-0.22023889116883855,1.3913472170920012
current51_new20_12000,5.474528672204675,0.2602962034191727,0.22362345244653573,1.1854212524038736,2.0427490018101655,-0.24605714258791844,1.0578689189084056,16.1649015847224,147.0,0.5225101155572963,921.8186823796275,4108.559409399031,0.0,0.0,0.0,0.0,0.015,959.0958904109564,2949.0,155.0899999999998,4.233182600757883,0.39242835705774515,-0.24605714258791844,1.4316273519009126
proposed55_new20_12000,5.3305764625554355,0.25679137323280843,0.2235709234640212,1.1727064619232581,2.0189415686991516,-0.24605714258791844,1.043624950415957,16.258093191940077,152.0,0.5223296140823227,939.2568718713204,4097.205099445581,0.0,0.0,0.0,0.0,0.015,948.5342465753429,2949.0,153.36999999999966,4.116830007848517,0.38617994687087753,-0.24605714258791844,1.414232646816497
