date,symbol,side,qty,price,raw_open,fee,commission_rate,slippage_rate
2018-09-21,512800.SH,BUY,25500.0,0.47056399880647665,0.4699999988079071,5.0,0.0003,0.0012
2018-10-12,512800.SH,SELL,25500.0,0.46044679547548295,0.460999995470047,5.0,0.0003,0.0012
2018-11-06,512800.SH,BUY,23900.0,0.49058800954818726,0.4900000095367431,5.0,0.0003,0.0012
2018-11-12,512800.SH,SELL,23900.0,0.472432389998436,0.4729999899864197,5.0,0.0003,0.0012
2019-01-28,510880.SH,BUY,6800.0,1.6509788486957548,1.64900004863739,5.0,0.0003,0.0012
2019-02-25,510880.SH,SELL,6800.0,1.7858543876171116,1.787999987602234,5.0,0.0003,0.0012
2019-05-20,513500.SH,BUY,13200.0,0.9244893909156322,0.921999990940094,5.0,0.0003,0.0027
2019-05-27,513500.SH,SELL,13200.0,0.9045511052310468,0.9070000052452089,5.0,0.0003,0.0027
2019-06-13,513500.SH,BUY,12900.0,0.9285001990437506,0.9259999990463256,5.0,0.0003,0.0027
2019-06-20,513500.SH,SELL,12900.0,0.9374619976222515,0.9399999976158142,5.0,0.0003,0.0027
2019-07-02,513500.SH,BUY,12700.0,0.9545704219937323,0.9520000219345092,5.0,0.0003,0.0027
2019-07-09,513500.SH,SELL,12700.0,0.9524214833557606,0.9549999833106996,5.0,0.0003,0.0027
2019-07-17,513500.SH,BUY,12500.0,0.967605473703146,0.9649999737739564,5.0,0.0003,0.0027
2019-08-02,513500.SH,SELL,12500.0,0.9524214833557606,0.9549999833106996,5.0,0.0003,0.0027
2019-08-20,159915.SZ,BUY,7600.0,1.5668780572891237,1.565000057220459,5.0,0.0003,0.0012
2019-08-30,159915.SZ,SELL,7600.0,1.5671172057151794,1.569000005722046,5.0,0.0003,0.0012
2019-09-09,159915.SZ,BUY,7200.0,1.6409668582439425,1.6390000581741333,5.0,0.0003,0.0012
2019-09-27,159915.SZ,SELL,7200.0,1.5601256361961364,1.562000036239624,5.0,0.0003,0.0012
2019-09-27,513500.SH,BUY,11400.0,0.9886622014343739,0.9860000014305116,5.0,0.0003,0.0027
2019-10-10,513500.SH,SELL,11400.0,0.9613971866846084,0.9639999866485596,5.0,0.0003,0.0027
2019-11-01,159915.SZ,BUY,6800.0,1.6109307675361635,1.6089999675750732,5.0,0.0003,0.0012
2019-11-18,159915.SZ,SELL,6800.0,1.6110644352436065,1.6130000352859497,5.0,0.0003,0.0012
2019-11-19,513500.SH,BUY,10600.0,1.0317783439874648,1.0290000438690186,5.0,0.0003,0.0027
2019-12-17,513500.SH,SELL,10600.0,1.0461677247285843,1.0490000247955322,5.0,0.0003,0.0027
2019-12-20,512800.SH,BUY,19500.0,0.5686816186189652,0.5680000185966492,5.0,0.0003,0.0012
2019-12-27,512800.SH,SELL,19500.0,0.5663195719003677,0.5669999718666077,5.0,0.0003,0.0012
2019-12-27,159915.SZ,BUY,6400.0,1.7300736448764802,1.7280000448226929,5.0,0.0003,0.0012
2020-01-06,159915.SZ,SELL,6400.0,1.753892841911316,1.75600004196167,5.0,0.0003,0.0012
2020-06-04,518880.SH,BUY,2900.0,3.819578057289124,3.815000057220459,5.0,0.0003,0.0012
2020-06-08,518880.SH,SELL,2900.0,3.769471129512787,3.7739999294281006,5.0,0.0003,0.0012
2020-06-08,159941.SZ,BUY,20400.0,0.5444660827875137,0.5429999828338623,5.0,0.0003,0.0027
2020-06-23,159941.SZ,SELL,20400.0,0.5505095862090588,0.5519999861717224,5.0,0.0003,0.0027
2020-11-03,159985.SZ,BUY,10100.0,1.1093296401023867,1.1080000400543213,5.0,0.0003,0.0012
2020-11-10,159985.SZ,SELL,10100.0,1.1376332581043245,1.1390000581741333,5.0,0.0003,0.0012
2021-03-25,513500.SH,BUY,9700.0,1.194215684700012,1.190999984741211,5.0,0.0003,0.0027
2021-03-31,513500.SH,SELL,9700.0,1.2366520095109939,1.2400000095367432,5.0,0.0003,0.0027
2021-04-09,159941.SZ,BUY,17100.0,0.7008873009562492,0.6990000009536743,5.0,0.0003,0.0027
2021-04-23,159941.SZ,SELL,17100.0,0.6931234928667545,0.6949999928474426,5.0,0.0003,0.0027
2021-06-08,512760.SH,BUY,18400.0,0.6437716066837311,0.6430000066757202,5.0,0.0003,0.0012
2021-08-19,512760.SH,SELL,18400.0,0.7550927823781968,0.7559999823570251,5.0,0.0003,0.0012
2021-10-28,159865.SZ,BUY,17300.0,0.8039635732650757,0.8029999732971191,5.0,0.0003,0.0012
2021-10-29,159865.SZ,SELL,17300.0,0.7910495957136154,0.7919999957084656,5.0,0.0003,0.0012
2021-10-29,510630.SH,BUY,9800.0,1.3876632372379305,1.3860000371932983,5.0,0.0003,0.0012
2021-11-11,510630.SH,SELL,9800.0,1.377345148563385,1.378999948501587,5.0,0.0003,0.0012
2021-11-11,512980.SH,BUY,3600.0,0.7388855756521225,0.7379999756813049,5.0,0.0003,0.0012
2021-11-17,512980.SH,SELL,100.0,0.7870543876171112,0.7879999876022339,5.0,0.0003,0.0012
2021-11-17,159865.SZ,BUY,12700.0,0.8640355756521225,0.8629999756813049,5.0,0.0003,0.0012
2021-11-25,159865.SZ,SELL,12700.0,0.8240099880933762,0.824999988079071,5.0,0.0003,0.0012
2021-11-25,512980.SH,SELL,100.0,0.7770663971424103,0.777999997138977,5.0,0.0003,0.0012
2021-11-25,512690.SH,BUY,11000.0,0.9611519785165789,0.959999978542328,5.0,0.0003,0.0012
2021-12-07,512980.SH,SELL,3400.0,0.7381132223844529,0.7390000224113464,5.0,0.0003,0.0012
2021-12-07,512690.SH,BUY,2500.0,0.9801747723102571,0.9789999723434448,5.0,0.0003,0.0012
2021-12-28,512690.SH,SELL,13500.0,1.0097868371486665,1.0110000371932983,5.0,0.0003,0.0012
2022-01-25,512200.SH,BUY,5800.0,2.3287911751747137,2.325999975204468,5.0,0.0003,0.0012
2022-02-07,512200.SH,SELL,5800.0,2.203352889537811,2.2060000896453857,5.0,0.0003,0.0012
2022-02-15,159981.SZ,BUY,7800.0,1.6489763551235201,1.6469999551773071,5.0,0.0003,0.0012
2022-04-06,159981.SZ,SELL,7800.0,1.699957621908188,1.7020000219345093,5.0,0.0003,0.0012
2022-04-13,510880.SH,BUY,5400.0,2.4499364267349244,2.447000026702881,5.0,0.0003,0.0012
2022-04-22,510880.SH,SELL,5400.0,2.3292016171455385,2.3320000171661377,5.0,0.0003,0.0012
2022-05-09,518880.SH,BUY,3200.0,3.9467303121566775,3.941999912261963,5.0,0.0003,0.0012
2022-05-16,518880.SH,SELL,3200.0,3.872347693347931,3.877000093460083,5.0,0.0003,0.0012
2022-05-30,159981.SZ,BUY,7100.0,1.7390843885421754,1.7369999885559082,5.0,0.0003,0.0012
2022-06-07,159981.SZ,SELL,7100.0,1.815818359041214,1.8179999589920044,5.0,0.0003,0.0012
2022-06-07,159755.SZ,BUY,11500.0,1.1213440047740937,1.1200000047683716,5.0,0.0003,0.0012
2022-07-29,159755.SZ,SELL,11500.0,1.2055516171455383,1.2070000171661377,5.0,0.0003,0.0012
2022-08-17,159941.SZ,BUY,19500.0,0.7149250995218753,0.7129999995231628,5.0,0.0003,0.0027
2022-08-30,159941.SZ,SELL,19500.0,0.6612098876357079,0.6629999876022339,5.0,0.0003,0.0027
2022-09-01,159865.SZ,BUY,14700.0,0.8760500000000001,0.875,5.0,0.0003,0.0012
2022-09-16,159865.SZ,SELL,14700.0,0.8439860285758972,0.8450000286102295,5.0,0.0003,0.0012
2022-10-11,518880.SH,BUY,3200.0,3.808564700698853,3.803999900817871,5.0,0.0003,0.0012
2022-10-12,518880.SH,SELL,3200.0,3.797437645721436,3.802000045776367,5.0,0.0003,0.0012
2022-10-12,159985.SZ,BUY,7000.0,1.7571059952259065,1.7549999952316284,5.0,0.0003,0.0012
2022-11-30,159985.SZ,SELL,7000.0,1.8447836028575897,1.847000002861023,5.0,0.0003,0.0012
2022-11-30,513200.SH,BUY,13400.0,0.967605473703146,0.9649999737739564,5.0,0.0003,0.0027
2023-02-01,513200.SH,SELL,13400.0,1.0641191313862801,1.0670000314712524,5.0,0.0003,0.0027
2023-02-09,512690.SH,BUY,16100.0,0.8820571823358536,0.8809999823570251,5.0,0.0003,0.0012
2023-03-09,512690.SH,SELL,16100.0,0.9059116052389147,0.9070000052452089,5.0,0.0003,0.0012
2023-05-04,510880.SH,BUY,5500.0,2.6391631178855897,2.635999917984009,5.0,0.0003,0.0012
2023-05-25,510880.SH,SELL,5500.0,2.5549304876327517,2.558000087738037,5.0,0.0003,0.0012
2023-05-31,513500.SH,BUY,10000.0,1.4097962181687353,1.406000018119812,5.0,0.0003,0.0027
2023-06-21,513500.SH,SELL,10000.0,1.4829850885868072,1.4869999885559082,5.0,0.0003,0.0027
2023-07-06,159985.SZ,BUY,7400.0,2.0124119904518127,2.009999990463257,5.0,0.0003,0.0012
2023-09-26,159985.SZ,SELL,7400.0,2.2732688228607176,2.2760000228881836,5.046656786750792,0.0003,0.0012
2023-11-07,513200.SH,BUY,18100.0,0.9305055732250214,0.9279999732971193,5.052645262611865,0.0003,0.0027
2023-11-28,513200.SH,SELL,18100.0,0.8766267080843448,0.8790000081062317,5.0,0.0003,0.0027
2023-11-28,513310.SH,BUY,12900.0,1.2303128980875013,1.2269999980926514,5.0,0.0003,0.0027
2023-12-05,513310.SH,SELL,12900.0,1.2077302657604216,1.2109999656677246,5.0,0.0003,0.0027
2023-12-07,159941.SZ,BUY,18000.0,0.8633247014343738,0.8610000014305115,5.0,0.0003,0.0027
2024-01-05,159941.SZ,SELL,18000.0,0.8856024114131927,0.8880000114440918,5.0,0.0003,0.0027
2024-01-05,518880.SH,BUY,2700.0,4.664590719795227,4.658999919891357,5.0,0.0003,0.0012
2024-01-05,513520.SH,BUY,2400.0,1.3215585588812826,1.3179999589920044,5.0,0.0003,0.0027
2024-01-23,518880.SH,SELL,2700.0,4.617452544784546,4.623000144958496,5.0,0.0003,0.0012
2024-01-23,513520.SH,SELL,300.0,1.547809645652771,1.5520000457763672,5.0,0.0003,0.0027
2024-01-23,513500.SH,BUY,7900.0,1.6554577229499816,1.6510000228881836,5.0,0.0003,0.0027
2024-01-26,513500.SH,SELL,7900.0,1.6605044619560239,1.6649999618530271,5.0,0.0003,0.0027
2024-01-26,512800.SH,BUY,23400.0,0.5506600119352342,0.550000011920929,5.0,0.0003,0.0012
2024-01-26,513520.SH,BUY,100.0,1.395758359837532,1.3919999599456787,5.0,0.0003,0.0027
2024-02-08,513520.SH,SELL,2200.0,1.3742794209241866,1.378000020980835,5.0,0.0003,0.0027
2024-02-08,512800.SH,BUY,5600.0,0.5616731894969941,0.5609999895095825,5.0,0.0003,0.0012
2024-03-05,512800.SH,SELL,29000.0,0.5743099880933762,0.574999988079071,5.0,0.0003,0.0012
2024-03-05,515050.SH,BUY,53200.0,0.31237440644502634,0.3120000064373016,5.0,0.0003,0.0012
2024-03-27,515050.SH,SELL,53200.0,0.30962800238132476,0.3100000023841858,5.0,0.0003,0.0012
2024-03-27,512400.SH,BUY,16700.0,0.9851808272123338,0.984000027179718,5.0,0.0003,0.0012
2024-04-17,512400.SH,SELL,16700.0,1.0527352200031281,1.0540000200271606,5.274203452215671,0.0003,0.0012
2024-04-17,512800.SH,BUY,29700.0,0.5917092205286026,0.5910000205039978,5.272129154909849,0.0003,0.0012
2024-04-25,512800.SH,SELL,29700.0,0.5982811771392822,0.5989999771118164,5.330685288311003,0.0003,0.0012
2024-04-25,513530.SH,BUY,17400.0,1.0207486066937446,1.0180000066757202,5.328307726941346,0.0003,0.0027
2024-06-12,513530.SH,SELL,17400.0,1.1608572342395782,1.1640000343322754,6.059674762730597,0.0003,0.0027
2024-06-12,159941.SZ,BUY,18900.0,1.0648674363374708,1.062000036239624,6.037798364033459,0.0003,0.0027
2024-07-23,159941.SZ,SELL,18900.0,1.1129868561148646,1.116000056266785,6.310635474171282,0.0003,0.0027
2024-07-23,513500.SH,BUY,10600.0,1.984343272268772,1.9789999723434448,6.310211605814694,0.0003,0.0027
2024-07-26,513500.SH,SELL,10600.0,1.8958673228263854,1.9010000228881836,6.028858086587905,0.0003,0.0027
2024-07-26,159611.SZ,BUY,19000.0,1.0582684410572052,1.0570000410079956,6.03213011402607,0.0003,0.0012
2024-07-30,159611.SZ,SELL,19000.0,1.0517363733291627,1.0529999732971191,5.9948973279762265,0.0003,0.0012
2024-07-30,512800.SH,BUY,25000.0,0.6417691727876664,0.640999972820282,5.0,0.0003,0.0012
2024-07-30,513520.SH,BUY,2700.0,1.4709609076499937,1.4670000076293943,5.0,0.0003,0.0027
2024-08-01,513520.SH,SELL,2700.0,1.4640364542126656,1.468000054359436,5.0,0.0003,0.0027
2024-08-01,512800.SH,BUY,6200.0,0.63676317756176,0.6359999775886536,5.0,0.0003,0.0012
2024-08-08,512800.SH,SELL,31200.0,0.6232512128591537,0.6240000128746033,5.833631352361678,0.0003,0.0012
2024-08-19,518880.SH,BUY,2800.0,5.508602254867554,5.501999855041504,5.0,0.0003,0.0012
2024-08-19,513520.SH,BUY,2600.0,1.4920176353812216,1.4880000352859497,5.0,0.0003,0.0027
2024-09-05,513520.SH,SELL,2600.0,1.4161659572005272,1.4199999570846558,5.0,0.0003,0.0027
2024-09-05,518880.SH,BUY,600.0,5.489579401397705,5.482999801635742,5.0,0.0003,0.0012
2024-09-27,518880.SH,SELL,3400.0,5.744098727607727,5.750999927520752,5.858980702159881,0.0003,0.0012
2025-01-03,512800.SH,BUY,27600.0,0.7268712109804154,0.7260000109672546,6.018493626917839,0.0003,0.0012
2025-02-10,512800.SH,SELL,27600.0,0.7351168014287949,0.7360000014305115,6.086767115830422,0.0003,0.0012
2025-02-12,513200.SH,BUY,28500.0,0.7109142913937568,0.7089999914169312,6.0783171914166205,0.0003,0.0027
2025-03-27,513200.SH,SELL,28500.0,0.8028265071332454,0.8050000071525574,6.864166635989249,0.0003,0.0027
