symbol,entry_date,entry_completed_date,exit_date,exit_completed_date,buy_fill_count,sell_fill_count,quantity,average_buy_price,average_sell_price,buy_cost,sell_proceeds,total_fees,net_pnl,net_return,holding_days,outcome
561580.SH,2024-04-25,2024-04-29,2024-04-26,2024-04-30,2,2,34300.0,0.9201290998150935,0.9139282290218175,31574.81317251962,31333.361620708445,28.76168360180521,-241.4515518111766,-0.0076469669192316125,3,负
513730.SH,2024-07-31,2024-07-31,2024-08-06,2024-08-06,1,1,28400.0,1.1611265923500063,1.0940381028532982,32985.888021307,31061.360916397356,19.21400320313215,-1924.5271049096445,-0.058343953137369176,4,负
513730.SH,2024-09-05,2024-09-05,2024-09-12,2024-09-12,1,1,26700.0,1.1871968152999877,1.174819373369217,31707.66441500022,31358.266965777406,18.919749671240325,-349.39744922281534,-0.011019337301221177,5,负
