signal_start,signal_end,execution_start,execution_end,signal_days,current_expanded_pick,proposed_expanded_pick,current_combined_target,proposed_combined_target,current_return,proposed_return,proposed_minus_current_pp
2024-04-24,2024-04-26,2024-04-25,2024-04-29,3,513530.SH,561580.SH,513530 100%,513530 80%+561580 20%,0.005873089329379688,0.005039867400493003,-0.08332219288866849
2024-07-29,2024-07-30,2024-07-30,2024-07-31,2,513520.SH,513730.SH,512800 80%+513520 20%,512800 80%+513730 20%,-0.009441188286124058,-0.013732518766256918,-0.429133048013286
2024-07-31,2024-08-02,2024-08-01,2024-08-05,3,512760.SH,513730.SH,512800 100%,512800 80%+513730 20%,-0.016019612543860084,-0.026506828567238405,-1.048721602337832
2024-09-04,2024-09-09,2024-09-05,2024-09-10,4,513500.SH,513730.SH,518880 100%,518880 80%+513730 20%,0.008101515486493627,0.004453793151599994,-0.3647722334893633
2024-09-10,2024-09-10,2024-09-11,2024-09-11,1,518880.SH,513730.SH,518880 100%,518880 80%+513730 20%,0.005251899986999264,0.0038781368949438733,-0.13737630920553912
