variant,family,holdings,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,cash_management_annual_rate,cash_interest_income,cash_interest_calendar_days,cash_management_fees,pool_size_mean,pool_size_min,pool_size_max,membership_changes,membership_review_events,candidate_day_rate,final_members,return_2018_2020,mdd_2018_2020,return_2021_2022,mdd_2021_2022,return_2023_2024,mdd_2023_2024,return_2025_2026,mdd_2025_2026,portfolio_overlap_vs_primary,portfolio_overlap_vs_core45,target_agreement_vs_primary,target_agreement_vs_core45,membership_jaccard_vs_primary,raw_review_passes
primary_leave_one__512100.SH__h2,primary_leave_one_h2,2,4.803003962890459,0.24341105740838076,0.22612834468250442,1.112793594370948,1.9591558779300413,-0.315905749428798,0.7705179720486321,27.725392251934263,433.0,0.6583015145894101,12397.767787313602,57595.81393049062,0.0,0.0,0.0,41.0,0.015,7589.753424657561,2948.0,1204.5000000000018,20.10515569167943,4,41,41,14,0.4002041858090863,510300.SH|510500.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|512400.SH|515210.SH|515220.SH|516150.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|512980.SH|513520.SH|513030.SH,0.7631261347780007,-0.14190711462285177,-0.1820391263158303,-0.28222076724023293,0.36953144732544296,-0.22726402106097898,1.9380889848009777,-0.12746409409901804,0.9880040837161818,0.574527820316488,,,0.9840598612599011,417.0
primary_leave_one__512200.SH__h2,primary_leave_one_h2,2,4.521421997150533,0.23577185340610862,0.2223471237419252,1.0992306349187528,1.9256492007034811,-0.3298983312465753,0.7146803456543892,27.261259424384374,418.0,0.6532228069908576,11992.665503044,55999.57244822774,0.0,0.0,0.0,41.0,0.015,7554.164383561657,2948.0,1199.7499999999989,20.045431342521695,4,41,41,14,0.3956100051046452,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|512070.SH|512800.SH|159851.SZ|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|512400.SH|515210.SH|515220.SH|516150.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|512980.SH|513520.SH|513030.SH,0.7631261347780007,-0.14190711462285177,-0.1879669015409725,-0.2808984964974799,0.31087090228970404,-0.23769141793922122,1.9419406236616648,-0.12749047676134106,0.979836651352731,0.5752935171005615,,,0.9803270894375428,416.0
primary_leave_one__512400.SH__h2,primary_leave_one_h2,2,4.431978501945352,0.2332738031819499,0.22432543863012222,1.082113962485305,1.8954410062782332,-0.30944780230345326,0.7538389397032945,27.416991639655226,425.0,0.6608461537015642,12600.330821137035,58208.82480707827,0.0,0.0,0.0,48.0,0.015,7339.438356164391,2948.0,1159.530000000004,19.981623277182237,4,41,41,14,0.39714139867279225,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|515210.SH|515220.SH|516150.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|512980.SH|513520.SH|513030.SH,0.7631261347780007,-0.14190711462285177,-0.11318689746918342,-0.2217987315589448,0.2697190869447186,-0.28109301211612825,1.7361185482145332,-0.1276921956396072,0.9430832057172026,0.5482388973966309,,,0.9750097506592544,415.0
primary_leave_one__512660.SH__h2,primary_leave_one_h2,2,3.988116553192028,0.22031693778460304,0.21903286935347957,1.052785004391545,1.844335603282873,-0.3493053555445973,0.6307287715102732,26.164826130123046,405.0,0.6519162068973008,10626.172642003537,50885.50230214027,0.0,0.0,0.0,36.0,0.015,7161.616438356176,2948.0,1144.6200000000001,19.85706993363961,4,41,41,14,0.3991832567636549,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|159755.SZ|515790.SH|512400.SH|515210.SH|515220.SH|516150.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|512980.SH|513520.SH|513030.SH,0.6054928722083306,-0.14239485805277086,-0.1875286314020529,-0.2706693091393412,0.3674841199275467,-0.22705323807659017,1.796390729849716,-0.12532879625921733,0.9272588055130169,0.5678917815211842,,,0.9582920375403162,413.0
primary_leave_one__512690.SH__h2,primary_leave_one_h2,2,4.631616221062532,0.23880115541255775,0.24057583439290636,1.04398716646195,1.8096071373917024,-0.4051902821216675,0.5893555841520709,27.495104392105524,424.0,0.6894120067144826,11663.00934034402,53948.10779930768,0.0,0.0,0.0,40.0,0.015,6719.917808219155,2948.0,1072.7800000000043,19.981623277182237,4,41,41,14,0.39356814701378257,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|512400.SH|515210.SH|515220.SH|516150.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|512980.SH|513520.SH|513030.SH,0.7631261347780007,-0.14190711462285177,-0.3245544110483598,-0.4051902821216675,0.5535074684084593,-0.31318069744350474,2.0440091453610347,-0.1274630975154294,0.8925472179683512,0.5114854517611026,,,0.9750097506592544,415.0
primary_leave_one__512760.SH__h2,primary_leave_one_h2,2,4.504177612933154,0.23529301088008547,0.23484604771432152,1.0511437755223554,1.8173116794411242,-0.282049768530804,0.8342251514891352,28.16332433146305,442.0,0.6658212087666093,13407.984032501625,63049.24502416406,0.0,0.0,0.0,49.0,0.015,7686.739726027392,2948.0,1217.3600000000004,19.981623277182237,4,41,41,14,0.3961204696273609,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|512070.SH|512800.SH|159851.SZ|512200.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|512400.SH|515210.SH|515220.SH|516150.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|512980.SH|513520.SH|513030.SH,0.7631261347780007,-0.14190711462285177,-0.08750049128290316,-0.2452390663645091,0.312077021137966,-0.22962334746742064,1.6074565948765698,-0.20437786749709164,0.9645227156712608,0.5742725880551302,,,0.9750097506592544,415.0
primary_leave_one__512800.SH__h2,primary_leave_one_h2,2,5.809433727990457,0.2682954016084145,0.2270869557897606,1.1997508008104034,2.1116261133768415,-0.29562396990940454,0.9075563178812427,25.971366905257124,397.0,0.648617045694905,12664.346995949998,60569.99725331692,0.0,0.0,0.0,45.0,0.015,8354.342465753398,2948.0,1330.0899999999986,19.797345584481878,4,41,41,13,0.38437978560490044,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|512070.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|512400.SH|515210.SH|515220.SH|516150.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|512980.SH|513520.SH|513030.SH,0.8388653762320213,-0.14190711462285177,-0.15689255533588853,-0.271074325812799,0.37654441067089195,-0.22624738949001966,2.1907142388384666,-0.12746275757921888,0.9236855538540072,0.557427258805513,,,0.9463471677087695,412.0
primary_leave_one__512980.SH__h2,primary_leave_one_h2,2,5.560882153351926,0.2624658113138474,0.23175074253379552,1.1595461328657513,2.039479017182117,-0.2730553357493688,0.9612183940428789,28.718438028514374,452.0,0.6867893610884753,13662.9740921392,63489.98829614992,0.0,0.0,0.0,45.0,0.015,7393.273972602748,2948.0,1179.1400000000017,20.045431342521695,4,41,41,14,0.40428790199081166,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|512400.SH|515210.SH|515220.SH|516150.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|513520.SH|513030.SH,0.7631261347780007,-0.14190711462285177,-0.16704580425489934,-0.2730553357493688,0.5283496671849355,-0.22688058534623123,1.9230416737232234,-0.12746411048130635,0.9453802960694232,0.5625319040326697,,,0.9803270894375428,416.0
primary_leave_one__513030.SH__h2,primary_leave_one_h2,2,4.549666705466074,0.23655333009833912,0.22390806431981333,1.0960376841001038,1.9151379423951398,-0.3414194509371776,0.6928525291954317,28.383563089953707,439.0,0.6537915296851062,12335.229915316024,57094.07443901089,0.0,0.0,0.0,38.0,0.015,7521.287671232875,2948.0,1194.0500000000009,20.475752935171005,4,41,41,14,0.4012251148545176,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|512400.SH|515210.SH|515220.SH|516150.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|512980.SH|513520.SH,0.7631261347780007,-0.14190711462285177,-0.21235005544389185,-0.30881288024524467,0.35487276323240735,-0.22722202647093814,1.9495228127190987,-0.12534180742253487,0.9997447677386422,0.5809086268504339,,,0.9967078299091895,423.0
primary_leave_one__513090.SH__h2,primary_leave_one_h2,2,4.472618928465338,0.23441327459005934,0.22211223003480415,1.0950584244119743,1.9076642699395456,-0.3204570826447405,0.7314966255557237,29.233361624876004,457.0,0.6607375927259811,12781.523945429104,59290.68223282988,0.0,0.0,0.0,39.0,0.015,7378.027397260275,2948.0,1176.9600000000025,20.10515569167943,4,41,41,14,0.40428790199081166,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|512400.SH|515210.SH|515220.SH|516150.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|512980.SH|513520.SH|513030.SH,0.7631261347780007,-0.14190711462285177,-0.21156851521944853,-0.30881288024524467,0.36811117773902713,-0.2229268554968037,1.8775738303545029,-0.127470897582032,0.9780500255232262,0.569933639612047,,,0.9840598612599011,417.0
primary_leave_one__513130.SH__h2,primary_leave_one_h2,2,4.31344412712427,0.22990715896481317,0.2214519475231424,1.0805043153440803,1.8792018628883804,-0.3518436892055684,0.6534355056471894,28.268049701880756,442.0,0.6541809037372956,12141.027380642003,55172.81697081507,0.0,0.0,0.0,42.0,0.015,7406.794520547934,2948.0,1176.7799999999975,20.229198570699335,4,41,41,14,0.4032669729453803,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513530.SH|513200.SH|513310.SH|512010.SH|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|512400.SH|515210.SH|515220.SH|516150.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|512980.SH|513520.SH|513030.SH,0.7631261347780007,-0.14190711462285177,-0.21235005544389185,-0.30881288024524467,0.3041684417525006,-0.22460117821663095,1.9337682311692115,-0.12744764614836368,0.9719244512506381,0.5617662072485963,,,0.9897172455044082,419.0
primary_leave_one__513200.SH__h2,primary_leave_one_h2,2,3.524972546543024,0.205672110047866,0.2244529138008163,0.9769164980298538,1.6870373905349765,-0.3414194509371776,0.6024030250277405,28.494060863639966,436.0,0.6462269932496549,11843.490181249257,54420.31633530465,0.0,0.0,0.0,38.0,0.015,7335.698630137,2948.0,1167.2499999999986,20.352220520673814,4,41,41,14,0.40275650842266464,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513310.SH|512010.SH|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|512400.SH|515210.SH|515220.SH|516150.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|512980.SH|513520.SH|513030.SH,0.7631261347780007,-0.14190711462285177,-0.21235005544389185,-0.30881288024524467,0.3689625672196706,-0.22722202647093814,1.3801687333237096,-0.22903689945238204,0.967330270546197,0.5541092394078612,,,0.9934518940345707,421.0
