candidate,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,return_2021_2022,max_drawdown_2021_2022,return_2025_2026,max_drawdown_2025_2026,completed_operations,failed_operations,failed_operation_rate,false_start_rate,material_premature_exit_rate,return_p_raw,return_p_holm,failure_p_raw,failure_p_holm
raw_w150,5.410460336102823,0.2594342171380979,0.22236411566577857,1.1878227649767685,2.060562223443564,-0.22632838451238413,1.146273445538168,16.198734676490584,249.0,0.5178675065938187,6186.882460239727,33791.722230611456,0.0,0.0,0.0,104.0,0.1928799646120094,-0.22632838451238413,2.976547152843907,-0.1253386540907978,64.0,44.0,0.6875,0.484375,0.21875,,,,
raw_w100,3.419355891052291,0.20260075043673043,0.20674054514900211,1.0294350595553274,1.7648007717720529,-0.23009080303228013,0.8805252003414797,17.60214799466333,262.0,0.48971033536720154,6271.235701643851,33816.48853367151,0.0,0.0,0.0,100.0,0.12110646281237036,-0.23009080303228013,1.799134798909773,-0.12526498301989142,71.0,50.0,0.704225352112676,0.5211267605633803,0.22535211267605634,1.0,1.0,1.0,1.0
raw_w125,3.5916098251708792,0.20832318678403894,0.20550048647737584,1.0584437552572301,1.807132898352079,-0.21704080229749334,0.959834208954382,16.15176828011798,249.0,0.49597115335782915,5736.933750203778,30994.167312009933,0.0,0.0,0.0,100.0,0.10786652319721335,-0.21704080229749334,1.9685458303252608,-0.1287699387673935,66.0,47.0,0.7121212121212122,0.48484848484848486,0.25757575757575757,1.0,1.0,1.0,1.0
raw_w175,3.8831737828134933,0.21759411273025142,0.22412178444106579,1.0235823883241906,1.7662057397943318,-0.3067680588715913,0.7093115024120982,16.657961244817663,242.0,0.5267174966703319,5528.980053992679,29569.74067953587,0.0,0.0,0.0,93.0,0.17230541005022082,-0.21772709578102012,2.991844257933675,-0.1253388330819134,66.0,48.0,0.7272727272727273,0.5,0.22727272727272727,1.0,1.0,1.0,1.0
raw_w200,2.562336931806832,0.17084129315938656,0.22157275806595453,0.8491509822556387,1.4568354017834484,-0.32925399682599155,0.5188738627512395,17.424025303229968,238.0,0.5116906903518937,4913.7574414578985,25927.806181490436,0.0,0.0,0.0,90.0,0.037098809151219214,-0.2334349961291735,2.7561654756401244,-0.12533371958506367,69.0,51.0,0.7391304347826086,0.5652173913043478,0.17391304347826086,1.0,1.0,1.0,1.0
horizon_normalized,0.9222033557727698,0.0845104834302639,0.20300793043984372,0.5162412297318485,0.8357054880275044,-0.345184189406902,0.24482721406061628,23.072708031927903,289.0,0.5122028453438305,5114.750634160536,27123.596859102832,0.0,0.0,0.0,91.0,-0.09959807460900727,-0.27092000762561663,1.4713256649352533,-0.23227420147474165,92.0,68.0,0.7391304347826086,0.6195652173913043,0.18478260869565216,1.0,1.0,1.0,1.0
cross_section_rank,1.5473647908638313,0.12309452959769329,0.22332236443791642,0.650753370466419,1.0884972395650743,-0.47793929191471995,0.25755264670655575,23.191073888664828,312.0,0.5219856651738237,6303.349541018738,33018.35949808896,0.0,0.0,0.0,103.0,-0.05827340757524513,-0.33386137500087354,1.0801862236470678,-0.20719068325928058,94.0,68.0,0.723404255319149,0.574468085106383,0.26595744680851063,1.0,1.0,1.0,1.0
volatility_adjusted,0.6735894834217304,0.06602175788269804,0.18802076848717758,0.44716121108880447,0.706651153362162,-0.3417469817813462,0.19318900064182437,24.504938823069125,310.0,0.6130989956414309,5803.434864353629,31335.316891629707,0.0,0.0,0.0,98.0,-0.1767235289050867,-0.27594243604493063,0.6301607619049288,-0.24993091601052786,99.0,81.0,0.8181818181818182,0.6363636363636364,0.18181818181818182,1.0,1.0,1.0,1.0
