variant,period,total_return,cagr,annual_volatility,sharpe,max_drawdown
rich,2018—20,0.051909634406791305,0.02045198958504013,0.10354020817405102,0.25293189819354683,-0.12741151909373727
rich,2021—22,0.0847726850082533,0.04184572488174543,0.2489389010958222,0.29325324825208016,-0.2707252023620833
rich,2023—24,0.6440625005222969,0.2833050423268033,0.2624499852642624,1.1162354839259832,-0.1663883119910401
rich,2025以后,2.4258485785574155,1.075317422022692,0.3415598198098972,2.3829120229514764,-0.17902828127702686
no_dde,2018—20,0.051909634406791305,0.02045198958504013,0.10354020817405102,0.25293189819354683,-0.12741151909373727
no_dde,2021—22,0.0847726850082533,0.04184572488174543,0.2489389010958222,0.29325324825208016,-0.2707252023620833
no_dde,2023—24,0.5759848691914746,0.25636325241518265,0.26565341444048624,1.0230392631754397,-0.1613404421129062
no_dde,2025以后,0.8707848364402351,0.4497508000224859,0.2748799184520833,1.5343308069990653,-0.1233277339242973
specific,2018—20,0.051909634406791305,0.02045198958504013,0.10354020817405102,0.25293189819354683,-0.12741151909373727
specific,2021—22,0.0847726850082533,0.04184572488174543,0.2489389010958222,0.29325324825208016,-0.2707252023620833
specific,2023—24,0.5759848691914746,0.25636325241518265,0.26565341444048624,1.0230392631754397,-0.1613404421129062
specific,2025以后,1.2570310745766693,0.6204138672869528,0.33026939800927396,1.6763963575388712,-0.20586005916005512
joint,2018—20,0.051909634406791305,0.02045198958504013,0.10354020817405102,0.25293189819354683,-0.12741151909373727
joint,2021—22,0.0847726850082533,0.04184572488174543,0.2489389010958222,0.29325324825208016,-0.2707252023620833
joint,2023—24,0.5759848691914746,0.25636325241518265,0.26565341444048624,1.0230392631754397,-0.1613404421129062
joint,2025以后,0.620350845153572,0.33132853989012134,0.276178269461667,1.2089242150825041,-0.187234499866195
joint_valid,2018—20,0.8393009797912163,0.2760732785012254,0.16624958707687407,1.5956319613291479,-0.10724488158672951
joint_valid,2021—22,-0.008771211240278687,-0.004428534244579119,0.24845078020659692,0.10475164945616305,-0.33016595804006377
joint_valid,2023—24,0.4502790611306544,0.20504428129593033,0.25206350848773124,0.8927462999363444,-0.16484980348161482
joint_valid,2025以后,0.6018032657103873,0.3222714430733451,0.2737190659761621,1.1915471088888088,-0.1806698440131731
without_weak_edge_filter,2018—20,0.8393009797912163,0.2760732785012254,0.16624958707687407,1.5956319613291479,-0.10724488158672951
without_weak_edge_filter,2021—22,-0.008771211240278687,-0.004428534244579119,0.24845078020659692,0.10475164945616305,-0.33016595804006377
without_weak_edge_filter,2023—24,0.4502790611306544,0.20504428129593033,0.25206350848773124,0.8927462999363444,-0.16484980348161482
without_weak_edge_filter,2025以后,0.5886208162078663,0.315808255970502,0.2747904498587623,1.1696378339233615,-0.1820229267130088
without_emerging_trend,2018—20,0.8393009797912163,0.2760732785012254,0.16624958707687407,1.5956319613291479,-0.10724488158672951
without_emerging_trend,2021—22,-0.008771211240278687,-0.004428534244579119,0.24845078020659692,0.10475164945616305,-0.33016595804006377
without_emerging_trend,2023—24,0.4502790611306544,0.20504428129593033,0.25206350848773124,0.8927462999363444,-0.16484980348161482
without_emerging_trend,2025以后,0.6018032657103873,0.3222714430733451,0.2737190659761621,1.1915471088888088,-0.1806698440131731
without_quality_extension,2018—20,0.8393009797912163,0.2760732785012254,0.16624958707687407,1.5956319613291479,-0.10724488158672951
without_quality_extension,2021—22,-0.008771211240278687,-0.004428534244579119,0.24845078020659692,0.10475164945616305,-0.33016595804006377
without_quality_extension,2023—24,0.4502790611306544,0.20504428129593033,0.25206350848773124,0.8927462999363444,-0.16484980348161482
without_quality_extension,2025以后,-0.039939156194143455,-0.023877653968948143,0.17683669219583542,-0.05318017752559262,-0.20162278887464513
without_hot_exit_protection,2018—20,0.8393009797912163,0.2760732785012254,0.16624958707687407,1.5956319613291479,-0.10724488158672951
without_hot_exit_protection,2021—22,-0.008771211240278687,-0.004428534244579119,0.24845078020659692,0.10475164945616305,-0.33016595804006377
without_hot_exit_protection,2023—24,0.4502790611306544,0.20504428129593033,0.25206350848773124,0.8927462999363444,-0.16484980348161482
without_hot_exit_protection,2025以后,0.6018032657103873,0.3222714430733451,0.2737190659761621,1.1915471088888088,-0.1806698440131731
without_all,2018—20,0.8393009797912163,0.2760732785012254,0.16624958707687407,1.5956319613291479,-0.10724488158672951
without_all,2021—22,-0.008771211240278687,-0.004428534244579119,0.24845078020659692,0.10475164945616305,-0.33016595804006377
without_all,2023—24,0.4502790611306544,0.20504428129593033,0.25206350848773124,0.8927462999363444,-0.16484980348161482
without_all,2025以后,0.48160992756337473,0.2625095099767336,0.2628526485321646,1.047807018692679,-0.19352824360988685
