date,symbol,category,matched_count,matched_turnover,positive_dde_share,market_hot_count,market_hot_turnover,matched_count_share,matched_turnover_share,ai_reviewed,ai_negative_count,ai_direction_score,ai_negative_risk,prior5_count_mean,count_acceleration,count_history_percentile,turnover_history_percentile,cross_section_count_percentile,hot_score
2024-01-02,513130.SH,港股与亚洲,2,101155.0,1.0,62,1823007.0,0.032258064516129,0.0554879931892746,False,0,,0.0,,,,,0.3823529411764705,0.5264705882352941
2024-01-02,513200.SH,港股与亚洲,0,0.0,,62,1823007.0,0.0,0.0,False,0,,0.0,,,,,0.1176470588235294,0.4235294117647059
2024-01-02,513310.SH,港股与亚洲,0,0.0,,62,1823007.0,0.0,0.0,False,0,,0.0,,,,,0.1176470588235294,0.4235294117647059
2024-01-02,513500.SH,美股,0,0.0,,62,1823007.0,0.0,0.0,False,0,,0.0,,,,,0.1176470588235294,0.4235294117647059
2024-01-02,513520.SH,港股与亚洲,0,0.0,,62,1823007.0,0.0,0.0,False,0,,0.0,,,,,0.1176470588235294,0.4235294117647059
2024-01-02,513530.SH,港股与亚洲,0,0.0,,62,1823007.0,0.0,0.0,False,0,,0.0,,,,,0.1176470588235294,0.4235294117647059
2024-01-02,515050.SH,科技数字,7,207684.0,0.8571428571428571,62,1823007.0,0.1129032258064516,0.113923863155764,False,0,,0.0,,,,,0.8137254901960784,0.5984593837535014
2024-01-02,515210.SH,周期资源,5,151312.0,1.0,62,1823007.0,0.0806451612903225,0.0830013269285307,False,0,,0.0,,,,,0.6666666666666666,0.5833333333333333
2024-01-02,515220.SH,周期资源,5,151312.0,1.0,62,1823007.0,0.0806451612903225,0.0830013269285307,False,0,,0.0,,,,,0.6666666666666666,0.5833333333333333
2024-01-02,515790.SH,高端制造,18,744992.0,0.8888888888888888,62,1823007.0,0.2903225806451613,0.4086610748066244,False,0,,0.0,,,,,1.0,0.638888888888889
2024-01-02,516020.SH,周期资源,5,151312.0,1.0,62,1823007.0,0.0806451612903225,0.0830013269285307,False,0,,0.0,,,,,0.6666666666666666,0.5833333333333333
2024-01-02,516150.SH,周期资源,5,151312.0,1.0,62,1823007.0,0.0806451612903225,0.0830013269285307,False,0,,0.0,,,,,0.6666666666666666,0.5833333333333333
2024-01-02,516970.SH,基建公用,3,147692.0,0.6666666666666666,62,1823007.0,0.0483870967741935,0.0810155967585423,False,0,,0.0,,,,,0.4607843137254901,0.5088235294117647
2024-01-02,518880.SH,商品,10,370727.0,0.9,62,1823007.0,0.1612903225806451,0.203360162632398,False,0,,0.0,,,,,0.8529411764705882,0.6105882352941175
2024-01-02,560280.SH,高端制造,17,726957.0,0.8823529411764706,62,1823007.0,0.2741935483870967,0.398768079332663,False,0,,0.0,,,,,0.9509803921568628,0.6284313725490196
2024-01-02,561360.SH,周期资源,5,151312.0,1.0,62,1823007.0,0.0806451612903225,0.0830013269285307,False,0,,0.0,,,,,0.6666666666666666,0.5833333333333333
2024-01-02,561380.SH,基建公用,3,147692.0,0.6666666666666666,62,1823007.0,0.0483870967741935,0.0810155967585423,False,0,,0.0,,,,,0.4607843137254901,0.5088235294117647
2024-01-02,562500.SH,科技数字,7,221905.0,0.8571428571428571,62,1823007.0,0.1129032258064516,0.1217247108760416,False,0,,0.0,,,,,0.8137254901960784,0.5984593837535014
2024-01-02,562600.SH,医药医疗,2,46093.0,1.0,62,1823007.0,0.032258064516129,0.0252840499241089,False,0,,0.0,,,,,0.3823529411764705,0.5264705882352941
2024-01-02,563380.SH,高端制造,17,726957.0,0.8823529411764706,62,1823007.0,0.2741935483870967,0.398768079332663,False,0,,0.0,,,,,0.9509803921568628,0.6284313725490196
2024-01-03,159611.SZ,基建公用,5,268698.0,0.6,45,1581559.0,0.1111111111111111,0.1698943890174188,False,0,,0.0,,,,,0.6372549019607843,0.5374509803921568
2024-01-03,159647.SZ,医药医疗,5,105714.0,1.0,45,1581559.0,0.1111111111111111,0.0668416416965791,False,0,,0.0,,,,,0.6372549019607843,0.5774509803921568
2024-01-03,159745.SZ,基建公用,3,133925.0,0.6666666666666666,45,1581559.0,0.0666666666666666,0.0846791046050131,False,0,,0.0,,,,,0.3823529411764705,0.4931372549019607
2024-01-03,159755.SZ,高端制造,9,545379.0,0.8888888888888888,45,1581559.0,0.2,0.3448363292169309,False,0,,0.0,,,,,0.9607843137254902,0.6310457516339869
2024-01-03,159766.SZ,消费农业,4,143786.0,1.0,45,1581559.0,0.0888888888888888,0.090914091728478,False,0,,0.0,,,,,0.4607843137254901,0.542156862745098
2024-01-03,159819.SZ,科技数字,6,420585.0,0.8333333333333334,45,1581559.0,0.1333333333333333,0.2659306418540187,False,0,,0.0,,,,,0.7941176470588235,0.592156862745098
2024-01-03,159851.SZ,金融地产,2,33285.0,1.0,45,1581559.0,0.0444444444444444,0.0210456897276674,False,0,,0.0,,,,,0.3235294117647059,0.5147058823529411
2024-01-03,159865.SZ,消费农业,4,143786.0,1.0,45,1581559.0,0.0888888888888888,0.090914091728478,False,0,,0.0,,,,,0.4607843137254901,0.542156862745098
2024-01-03,159869.SZ,科技数字,5,274641.0,0.8,45,1581559.0,0.1111111111111111,0.1736520736817279,False,0,,0.0,,,,,0.6372549019607843,0.5574509803921568
2024-01-03,159915.SZ,宽基,0,0.0,,45,1581559.0,0.0,0.0,False,0,,0.0,,,,,0.1274509803921568,0.4254901960784313
2024-01-03,159941.SZ,美股,0,0.0,,45,1581559.0,0.0,0.0,False,0,,0.0,,,,,0.1274509803921568,0.4254901960784313
2024-01-03,159981.SZ,商品,8,300916.0,0.875,45,1581559.0,0.1777777777777777,0.1902654279732845,False,0,,0.0,,,,,0.8725490196078431,0.6120098039215687
2024-01-03,159985.SZ,商品,8,300916.0,0.875,45,1581559.0,0.1777777777777777,0.1902654279732845,False,0,,0.0,,,,,0.8725490196078431,0.6120098039215687
2024-01-03,159996.SZ,消费农业,4,143786.0,1.0,45,1581559.0,0.0888888888888888,0.090914091728478,False,0,,0.0,,,,,0.4607843137254901,0.542156862745098
2024-01-03,510300.SH,宽基,0,0.0,,45,1581559.0,0.0,0.0,False,0,,0.0,,,,,0.1274509803921568,0.4254901960784313
2024-01-03,510500.SH,宽基,0,0.0,,45,1581559.0,0.0,0.0,False,0,,0.0,,,,,0.1274509803921568,0.4254901960784313
2024-01-03,510630.SH,消费农业,5,147616.0,1.0,45,1581559.0,0.1111111111111111,0.0933357528868667,False,0,,0.0,,,,,0.6372549019607843,0.5774509803921568
2024-01-03,510880.SH,风格红利,0,0.0,,45,1581559.0,0.0,0.0,False,0,,0.0,,,,,0.1274509803921568,0.4254901960784313
2024-01-03,512010.SH,医药医疗,5,105714.0,1.0,45,1581559.0,0.1111111111111111,0.0668416416965791,False,0,,0.0,,,,,0.6372549019607843,0.5774509803921568
2024-01-03,512040.SH,风格红利,0,0.0,,45,1581559.0,0.0,0.0,False,0,,0.0,,,,,0.1274509803921568,0.4254901960784313
2024-01-03,512070.SH,金融地产,2,33285.0,1.0,45,1581559.0,0.0444444444444444,0.0210456897276674,False,0,,0.0,,,,,0.3235294117647059,0.5147058823529411
2024-01-03,512100.SH,宽基,0,0.0,,45,1581559.0,0.0,0.0,False,0,,0.0,,,,,0.1274509803921568,0.4254901960784313
2024-01-03,512200.SH,金融地产,2,33285.0,1.0,45,1581559.0,0.0444444444444444,0.0210456897276674,False,0,,0.0,,,,,0.3235294117647059,0.5147058823529411
2024-01-03,512400.SH,周期资源,6,251641.0,1.0,45,1581559.0,0.1333333333333333,0.1591094609812217,False,0,,0.0,,,,,0.7941176470588235,0.6088235294117647
2024-01-03,512660.SH,高端制造,9,545379.0,0.8888888888888888,45,1581559.0,0.2,0.3448363292169309,False,0,,0.0,,,,,0.9607843137254902,0.6310457516339869
