,baseline,rank5_1d,rank5_2d,gap3_1d,gap3_2d,gap5_1d,gap5_2d,gap10_1d,gap10_2d,rank8_gap5_1d,rank8_gap5_2d,top1_gap5_1d,top1_gap5_2d
2024-06-24,175143.77887578425,146008.45037424657,181174.35543425253,144170.88969954156,179960.19626096924,145819.11228030056,179960.19626096924,147252.3916119695,174868.60680028232,167817.40001774338,175143.77887578425,178698.9981335935,175143.77887578425
2024-06-25,173055.9770378631,144267.74884188268,179013.75353224447,142452.28818663262,177815.1943726941,144081.01075022548,177815.1943726941,145497.3900670171,172783.40496465,165816.69825649765,173055.9770378631,176568.29625790686,173055.9770378631
2024-06-26,175786.1706051391,146544.04347860906,181839.14687521628,144699.68289145135,180620.18776373108,146353.90539496273,180620.18776373108,147792.38465968374,175510.19853993686,168432.9920921376,175786.1706051391,179354.5896930036,175786.1706051391
2024-06-27,175625.58224530634,146410.15318358038,181672.9589212673,144567.49247320794,180455.199722807,146220.2150854382,180455.199722807,147657.39444438223,175349.81016560824,168279.10324669388,175625.58224530634,179190.70157235235,175625.58224530634
2024-06-28,177873.97244306025,148284.74501097295,183999.74877722433,146418.28440436028,182765.18965200623,148092.0069250378,182765.18965200623,149547.38620463613,177595.40037556918,170433.69385338333,177873.97244306025,181485.29156869024,177873.97244306025
2024-07-01,177552.77657838282,148016.9484587917,183667.35305674246,146153.8878084054,182435.1939006253,147824.61036770671,182435.1939006253,149277.38968077902,177274.6045057419,170125.89781618622,177552.77657838282,181157.4957889852,177552.77657838282
2024-07-02,177873.97244306025,148284.74501097295,183999.74877722433,146418.28440436028,182765.18965200623,148092.0069250378,182765.18965200623,149547.38620463613,177595.40037556918,170433.69385338333,177873.97244306025,181485.29156869024,177873.97244306025
2024-07-03,181728.3802542251,151498.3515235195,187988.55686075857,149591.09083422326,186725.1976771756,151300.81342785686,186725.1976771756,152787.3927706838,181445.00817700656,174127.30133867767,181728.3802542251,185418.89954035848,181728.3802542251
2024-07-04,182370.77198357997,152033.94462788198,188653.34830172232,150119.88402613305,187385.18917993744,151835.60654251903,187385.18917993744,153327.38581839803,182086.5999166611,174742.8934130719,182370.77198357997,186074.49109976858,182370.77198357997
2024-07-05,183816.1820921462,153239.05305588333,190149.15876276657,151309.6923471322,188870.19956545072,153038.9149579319,188870.19956545072,154542.39431563616,183530.21001263882,176128.00309992337,183816.1820921462,187549.6014160451,183816.1820921462
