,baseline,rank5_1d,rank5_2d,gap3_1d,gap3_2d,gap5_1d,gap5_2d,gap10_1d,gap10_2d,rank8_gap5_1d,rank8_gap5_2d,top1_gap5_1d,top1_gap5_2d
2020-04-22,97651.16102369271,97651.16102369271,97651.16102369271,97651.16102369271,97651.16102369271,97651.16102369271,97651.16102369271,97651.16102369271,97651.16102369271,97651.16102369271,97651.16102369271,97651.16102369271,97651.16102369271
2020-04-23,97654.17732506257,97654.17732506257,97654.17732506257,97654.17732506257,97654.17732506257,97654.17732506257,97654.17732506257,97654.17732506257,97654.17732506257,97654.17732506257,97654.17732506257,97654.17732506257,97654.17732506257
2020-04-24,97657.19362643243,97657.19362643243,97657.19362643243,97657.19362643243,97657.19362643243,97657.19362643243,97657.19362643243,97657.19362643243,97657.19362643243,97657.19362643243,97657.19362643243,97657.19362643243,97657.19362643243
2020-04-27,97668.18253054202,97668.18253054202,97668.18253054202,97668.18253054202,97668.18253054202,97668.18253054202,97668.18253054202,97668.18253054202,97668.18253054202,97668.18253054202,97668.18253054202,97668.18253054202,97668.18253054202
2020-04-28,97671.19883191188,97671.19883191188,97671.19883191188,97671.19883191188,97671.19883191188,97671.19883191188,97671.19883191188,97671.19883191188,97671.19883191188,97671.19883191188,97671.19883191188,97671.19883191188,97671.19883191188
2020-04-29,97674.21513328174,97674.21513328174,97674.21513328174,97674.21513328174,97674.21513328174,97674.21513328174,97674.21513328174,97674.21513328174,97674.21513328174,97674.21513328174,97674.21513328174,97674.21513328174,97674.21513328174
2020-04-30,97677.2314346516,97677.2314346516,97677.2314346516,97677.2314346516,97677.2314346516,97677.2314346516,97677.2314346516,97677.2314346516,97677.2314346516,97677.2314346516,97677.2314346516,97677.2314346516,97677.2314346516
2020-05-06,97700.17924287078,97700.17924287078,97700.17924287078,97700.17924287078,97700.17924287078,97700.17924287078,97700.17924287078,97700.17924287078,97700.17924287078,97700.17924287078,97700.17924287078,97700.17924287078,97700.17924287078
2020-05-07,97703.19554424065,97703.19554424065,97703.19554424065,97703.19554424065,97703.19554424065,97703.19554424065,97703.19554424065,97703.19554424065,97703.19554424065,97703.19554424065,97703.19554424065,97703.19554424065,97703.19554424065
2020-05-08,97706.21184561051,97706.21184561051,97706.21184561051,97706.21184561051,97706.21184561051,97706.21184561051,97706.21184561051,97706.21184561051,97706.21184561051,97706.21184561051,97706.21184561051,97706.21184561051,97706.21184561051
2020-05-11,97717.2007497201,97717.2007497201,97717.2007497201,97717.2007497201,97717.2007497201,97717.2007497201,97717.2007497201,97717.2007497201,97717.2007497201,97717.2007497201,97717.2007497201,97717.2007497201,97717.2007497201
2020-05-12,97720.21705108996,97720.21705108996,97720.21705108996,97720.21705108996,97720.21705108996,97720.21705108996,97720.21705108996,97720.21705108996,97720.21705108996,97720.21705108996,97720.21705108996,97720.21705108996,97720.21705108996
2020-05-13,97723.23335245982,97723.23335245982,97723.23335245982,97723.23335245982,97723.23335245982,97723.23335245982,97723.23335245982,97723.23335245982,97723.23335245982,97723.23335245982,97723.23335245982,97723.23335245982,97723.23335245982
2020-05-14,97726.24965382968,97726.24965382968,97726.24965382968,97726.24965382968,97726.24965382968,97726.24965382968,97726.24965382968,97726.24965382968,97726.24965382968,97726.24965382968,97726.24965382968,97726.24965382968,97726.24965382968
2020-05-15,97729.26595519955,97729.26595519955,97729.26595519955,97729.26595519955,97729.26595519955,97729.26595519955,97729.26595519955,97729.26595519955,97729.26595519955,97729.26595519955,97729.26595519955,97729.26595519955,97729.26595519955
2020-05-18,97740.25485930913,97740.25485930913,97740.25485930913,97740.25485930913,97740.25485930913,97740.25485930913,97740.25485930913,97740.25485930913,97740.25485930913,97740.25485930913,97740.25485930913,97740.25485930913,97740.25485930913
2020-05-19,97743.271160679,97743.271160679,97743.271160679,97743.271160679,97743.271160679,97743.271160679,97743.271160679,97743.271160679,97743.271160679,97743.271160679,97743.271160679,97743.271160679,97743.271160679
2020-05-20,97746.28746204886,97746.28746204886,97746.28746204886,97746.28746204886,97746.28746204886,97746.28746204886,97746.28746204886,97746.28746204886,97746.28746204886,97746.28746204886,97746.28746204886,97746.28746204886,97746.28746204886
2020-05-21,97749.30376341872,97749.30376341872,97749.30376341872,97749.30376341872,97749.30376341872,97749.30376341872,97749.30376341872,97749.30376341872,97749.30376341872,97749.30376341872,97749.30376341872,97749.30376341872,97749.30376341872
2020-05-22,97752.32006478858,97752.32006478858,97752.32006478858,97752.32006478858,97752.32006478858,97752.32006478858,97752.32006478858,97752.32006478858,97752.32006478858,97752.32006478858,97752.32006478858,97752.32006478858,97752.32006478858
2020-05-25,97763.30896889817,97763.30896889817,97763.30896889817,97763.30896889817,97763.30896889817,97763.30896889817,97763.30896889817,97763.30896889817,97763.30896889817,97763.30896889817,97763.30896889817,97763.30896889817,97763.30896889817
2020-05-26,97766.32527026803,97766.32527026803,97766.32527026803,97766.32527026803,97766.32527026803,97766.32527026803,97766.32527026803,97766.32527026803,97766.32527026803,97766.32527026803,97766.32527026803,97766.32527026803,97766.32527026803
2020-05-27,97769.3415716379,97769.3415716379,97769.3415716379,97769.3415716379,97769.3415716379,97769.3415716379,97769.3415716379,97769.3415716379,97769.3415716379,97769.3415716379,97769.3415716379,97769.3415716379,97769.3415716379
2020-05-28,97772.35787300776,97772.35787300776,97772.35787300776,97772.35787300776,97772.35787300776,97772.35787300776,97772.35787300776,97772.35787300776,97772.35787300776,97772.35787300776,97772.35787300776,97772.35787300776,97772.35787300776
2020-05-29,97775.37417437762,97775.37417437762,97775.37417437762,97775.37417437762,97775.37417437762,97775.37417437762,97775.37417437762,97775.37417437762,97775.37417437762,97775.37417437762,97775.37417437762,97775.37417437762,97775.37417437762
2020-06-01,97786.36307848721,97786.36307848721,97786.36307848721,97786.36307848721,97786.36307848721,97786.36307848721,97786.36307848721,97786.36307848721,97786.36307848721,97786.36307848721,97786.36307848721,97786.36307848721,97786.36307848721
2020-06-02,97789.37937985707,97789.37937985707,97789.37937985707,97789.37937985707,97789.37937985707,97789.37937985707,97789.37937985707,97789.37937985707,97789.37937985707,97789.37937985707,97789.37937985707,97789.37937985707,97789.37937985707
2020-06-03,97792.39568122693,97792.39568122693,97792.39568122693,97792.39568122693,97792.39568122693,97792.39568122693,97792.39568122693,97792.39568122693,97792.39568122693,97792.39568122693,97792.39568122693,97792.39568122693,97792.39568122693
2020-06-04,97776.9500472772,97776.9500472772,97776.9500472772,97776.9500472772,97776.9500472772,97776.9500472772,97776.9500472772,97776.9500472772,97776.9500472772,97776.9500472772,97776.9500472772,97776.9500472772,97776.9500472772
2020-06-05,97700.44951226591,97700.44951226591,97700.44951226591,97700.44951226591,97700.44951226591,97700.44951226591,97700.44951226591,97700.44951226591,97700.44951226591,97700.44951226591,97700.44951226591,97700.44951226591,97700.44951226591
2020-06-08,96300.81171302653,96300.81171302653,96300.81171302653,96300.81171302653,96300.81171302653,96300.81171302653,96300.81171302653,96300.81171302653,96300.81171302653,96300.81171302653,96300.81171302653,96300.81171302653,96300.81171302653
2020-06-09,96506.11689038281,96506.11689038281,96506.11689038281,96506.11689038281,96506.11689038281,96506.11689038281,96506.11689038281,96506.11689038281,96506.11689038281,96506.11689038281,96506.11689038281,96506.11689038281,96506.11689038281
2020-06-10,97538.15030062717,97538.15030062717,97538.15030062717,97538.15030062717,97538.15030062717,97538.15030062717,97538.15030062717,97538.15030062717,97538.15030062717,97538.15030062717,97538.15030062717,97538.15030062717,97538.15030062717
2020-06-11,96656.65114129108,96656.65114129108,96656.65114129108,96656.65114129108,96656.65114129108,96656.65114129108,96656.65114129108,96656.65114129108,96656.65114129108,96656.65114129108,96656.65114129108,96656.65114129108,96656.65114129108
2020-06-12,94012.1536632828,94012.1536632828,94012.1536632828,94012.1536632828,94012.1536632828,94012.1536632828,94012.1536632828,94012.1536632828,94012.1536632828,94012.1536632828,94012.1536632828,94012.1536632828,94012.1536632828
2020-06-15,91720.25164568942,91720.25164568942,91720.25164568942,91720.25164568942,91720.25164568942,91720.25164568942,91720.25164568942,91720.25164568942,91720.25164568942,91720.25164568942,91720.25164568942,91720.25164568942,91720.25164568942
2020-06-16,95775.15198195499,95775.15198195499,95775.15198195499,95775.15198195499,95775.15198195499,95775.15198195499,95775.15198195499,95775.15198195499,95775.15198195499,95775.15198195499,95775.15198195499,95775.15198195499,95775.15198195499
2020-06-17,97185.55484021228,97185.55484021228,97185.55484021228,97185.55484021228,97185.55484021228,97185.55484021228,97185.55484021228,97185.55484021228,97185.55484021228,97185.55484021228,97185.55484021228,97185.55484021228,97185.55484021228
2020-06-18,97009.25711000484,97009.25711000484,97009.25711000484,97009.25711000484,97009.25711000484,97009.25711000484,97009.25711000484,97009.25711000484,97009.25711000484,97009.25711000484,97009.25711000484,97009.25711000484,97009.25711000484
2020-06-19,97714.45853913348,97714.45853913348,97714.45853913348,97714.45853913348,97714.45853913348,97714.45853913348,97714.45853913348,97714.45853913348,97714.45853913348,97714.45853913348,97714.45853913348,97714.45853913348,97714.45853913348
2020-06-22,97185.55484021228,97185.55484021228,97185.55484021228,97185.55484021228,97185.55484021228,97185.55484021228,97185.55484021228,97185.55484021228,97185.55484021228,97185.55484021228,97185.55484021228,97185.55484021228,97185.55484021228
2020-06-23,97736.20368428002,97736.20368428002,97736.20368428002,97736.20368428002,97736.20368428002,97736.20368428002,97736.20368428002,97736.20368428002,97736.20368428002,97736.20368428002,97736.20368428002,97736.20368428002,97736.20368428002
2020-06-24,98111.65783463538,98111.65783463538,98111.65783463538,98111.65783463538,98111.65783463538,98111.65783463538,98111.65783463538,98111.65783463538,98111.65783463538,98111.65783463538,98111.65783463538,98111.65783463538,98111.65783463538
2020-06-29,97118.80911210726,97118.80911210726,97118.80911210726,97118.80911210726,97118.80911210726,97118.80911210726,97118.80911210726,97118.80911210726,97118.80911210726,97118.80911210726,97118.80911210726,97118.80911210726,97118.80911210726
2020-06-30,97129.87233070342,97129.87233070342,97129.87233070342,97129.87233070342,97129.87233070342,97129.87233070342,97129.87233070342,97129.87233070342,97129.87233070342,97129.87233070342,97129.87233070342,97129.87233070342,97129.87233070342
2020-07-01,97132.88863207329,97132.88863207329,97132.88863207329,97132.88863207329,97132.88863207329,97132.88863207329,97132.88863207329,97132.88863207329,97132.88863207329,97132.88863207329,97132.88863207329,97132.88863207329,97132.88863207329
2020-07-02,97135.90493344315,97135.90493344315,97135.90493344315,97135.90493344315,97135.90493344315,97135.90493344315,97135.90493344315,97135.90493344315,97135.90493344315,97135.90493344315,97135.90493344315,97135.90493344315,97135.90493344315
2020-07-03,97138.92123481301,97138.92123481301,97138.92123481301,97138.92123481301,97138.92123481301,97138.92123481301,97138.92123481301,97138.92123481301,97138.92123481301,97138.92123481301,97138.92123481301,97138.92123481301,97138.92123481301
2020-07-06,97149.9101389226,97149.9101389226,97149.9101389226,97149.9101389226,97149.9101389226,97149.9101389226,97149.9101389226,97149.9101389226,97149.9101389226,97149.9101389226,97149.9101389226,97149.9101389226,97149.9101389226
2020-07-07,97152.92644029246,97152.92644029246,97152.92644029246,97152.92644029246,97152.92644029246,97152.92644029246,97152.92644029246,97152.92644029246,97152.92644029246,97152.92644029246,97152.92644029246,97152.92644029246,97152.92644029246
2020-07-08,97155.94274166232,97155.94274166232,97155.94274166232,97155.94274166232,97155.94274166232,97155.94274166232,97155.94274166232,97155.94274166232,97155.94274166232,97155.94274166232,97155.94274166232,97155.94274166232,97155.94274166232
2020-07-09,97158.95904303218,97158.95904303218,97158.95904303218,97158.95904303218,97158.95904303218,97158.95904303218,97158.95904303218,97158.95904303218,97158.95904303218,97158.95904303218,97158.95904303218,97158.95904303218,97158.95904303218
2020-07-10,97161.97534440205,97161.97534440205,97161.97534440205,97161.97534440205,97161.97534440205,97161.97534440205,97161.97534440205,97161.97534440205,97161.97534440205,97161.97534440205,97161.97534440205,97161.97534440205,97161.97534440205
2020-07-13,97172.96424851163,97172.96424851163,97172.96424851163,97172.96424851163,97172.96424851163,97172.96424851163,97172.96424851163,97172.96424851163,97172.96424851163,97172.96424851163,97172.96424851163,97172.96424851163,97172.96424851163
2020-07-14,97175.9805498815,97175.9805498815,97175.9805498815,97175.9805498815,97175.9805498815,97175.9805498815,97175.9805498815,97175.9805498815,97175.9805498815,97175.9805498815,97175.9805498815,97175.9805498815,97175.9805498815
2020-07-15,97178.99685125136,97178.99685125136,97178.99685125136,97178.99685125136,97178.99685125136,97178.99685125136,97178.99685125136,97178.99685125136,97178.99685125136,97178.99685125136,97178.99685125136,97178.99685125136,97178.99685125136
2020-07-16,97182.01315262122,97182.01315262122,97182.01315262122,97182.01315262122,97182.01315262122,97182.01315262122,97182.01315262122,97182.01315262122,97182.01315262122,97182.01315262122,97182.01315262122,97182.01315262122,97182.01315262122
2020-07-17,97185.02945399108,97185.02945399108,97185.02945399108,97185.02945399108,97185.02945399108,97185.02945399108,97185.02945399108,97185.02945399108,97185.02945399108,97185.02945399108,97185.02945399108,97185.02945399108,97185.02945399108
2020-07-20,97196.01835810067,97196.01835810067,97196.01835810067,97196.01835810067,97196.01835810067,97196.01835810067,97196.01835810067,97196.01835810067,97196.01835810067,97196.01835810067,97196.01835810067,97196.01835810067,97196.01835810067
2020-07-21,97199.03465947053,97199.03465947053,97199.03465947053,97199.03465947053,97199.03465947053,97199.03465947053,97199.03465947053,97199.03465947053,97199.03465947053,97199.03465947053,97199.03465947053,97199.03465947053,97199.03465947053
2020-07-22,97202.0509608404,97202.0509608404,97202.0509608404,97202.0509608404,97202.0509608404,97202.0509608404,97202.0509608404,97202.0509608404,97202.0509608404,97202.0509608404,97202.0509608404,97202.0509608404,97202.0509608404
2020-07-23,97205.06726221026,97205.06726221026,97205.06726221026,97205.06726221026,97205.06726221026,97205.06726221026,97205.06726221026,97205.06726221026,97205.06726221026,97205.06726221026,97205.06726221026,97205.06726221026,97205.06726221026
2020-07-24,97208.08356358012,97208.08356358012,97208.08356358012,97208.08356358012,97208.08356358012,97208.08356358012,97208.08356358012,97208.08356358012,97208.08356358012,97208.08356358012,97208.08356358012,97208.08356358012,97208.08356358012
2020-07-27,97219.07246768971,97219.07246768971,97219.07246768971,97219.07246768971,97219.07246768971,97219.07246768971,97219.07246768971,97219.07246768971,97219.07246768971,97219.07246768971,97219.07246768971,97219.07246768971,97219.07246768971
2020-07-28,97222.08876905957,97222.08876905957,97222.08876905957,97222.08876905957,97222.08876905957,97222.08876905957,97222.08876905957,97222.08876905957,97222.08876905957,97222.08876905957,97222.08876905957,97222.08876905957,97222.08876905957
2020-07-29,97225.10507042943,97225.10507042943,97225.10507042943,97225.10507042943,97225.10507042943,97225.10507042943,97225.10507042943,97225.10507042943,97225.10507042943,97225.10507042943,97225.10507042943,97225.10507042943,97225.10507042943
2020-07-30,97228.1213717993,97228.1213717993,97228.1213717993,97228.1213717993,97228.1213717993,97228.1213717993,97228.1213717993,97228.1213717993,97228.1213717993,97228.1213717993,97228.1213717993,97228.1213717993,97228.1213717993
2020-07-31,97231.13767316916,97231.13767316916,97231.13767316916,97231.13767316916,97231.13767316916,97231.13767316916,97231.13767316916,97231.13767316916,97231.13767316916,97231.13767316916,97231.13767316916,97231.13767316916,97231.13767316916
2020-08-03,97242.12657727874,97242.12657727874,97242.12657727874,97242.12657727874,97242.12657727874,97242.12657727874,97242.12657727874,97242.12657727874,97242.12657727874,97242.12657727874,97242.12657727874,97242.12657727874,97242.12657727874
2020-08-04,97245.1428786486,97245.1428786486,97245.1428786486,97245.1428786486,97245.1428786486,97245.1428786486,97245.1428786486,97245.1428786486,97245.1428786486,97245.1428786486,97245.1428786486,97245.1428786486,97245.1428786486
2020-08-05,97248.15918001847,97248.15918001847,97248.15918001847,97248.15918001847,97248.15918001847,97248.15918001847,97248.15918001847,97248.15918001847,97248.15918001847,97248.15918001847,97248.15918001847,97248.15918001847,97248.15918001847
2020-08-06,97251.17548138833,97251.17548138833,97251.17548138833,97251.17548138833,97251.17548138833,97251.17548138833,97251.17548138833,97251.17548138833,97251.17548138833,97251.17548138833,97251.17548138833,97251.17548138833,97251.17548138833
2020-08-07,97254.1917827582,97254.1917827582,97254.1917827582,97254.1917827582,97254.1917827582,97254.1917827582,97254.1917827582,97254.1917827582,97254.1917827582,97254.1917827582,97254.1917827582,97254.1917827582,97254.1917827582
2020-08-10,97265.18068686778,97265.18068686778,97265.18068686778,97265.18068686778,97265.18068686778,97265.18068686778,97265.18068686778,97265.18068686778,97265.18068686778,97265.18068686778,97265.18068686778,97265.18068686778,97265.18068686778
2020-08-11,97268.19698823764,97268.19698823764,97268.19698823764,97268.19698823764,97268.19698823764,97268.19698823764,97268.19698823764,97268.19698823764,97268.19698823764,97268.19698823764,97268.19698823764,97268.19698823764,97268.19698823764
2020-08-12,97271.2132896075,97271.2132896075,97271.2132896075,97271.2132896075,97271.2132896075,97271.2132896075,97271.2132896075,97271.2132896075,97271.2132896075,97271.2132896075,97271.2132896075,97271.2132896075,97271.2132896075
2020-08-13,97274.22959097737,97274.22959097737,97274.22959097737,97274.22959097737,97274.22959097737,97274.22959097737,97274.22959097737,97274.22959097737,97274.22959097737,97274.22959097737,97274.22959097737,97274.22959097737,97274.22959097737
2020-08-14,97277.24589234723,97277.24589234723,97277.24589234723,97277.24589234723,97277.24589234723,97277.24589234723,97277.24589234723,97277.24589234723,97277.24589234723,97277.24589234723,97277.24589234723,97277.24589234723,97277.24589234723
2020-08-17,97288.23479645682,97288.23479645682,97288.23479645682,97288.23479645682,97288.23479645682,97288.23479645682,97288.23479645682,97288.23479645682,97288.23479645682,97288.23479645682,97288.23479645682,97288.23479645682,97288.23479645682
2020-08-18,97291.25109782668,97291.25109782668,97291.25109782668,97291.25109782668,97291.25109782668,97291.25109782668,97291.25109782668,97291.25109782668,97291.25109782668,97291.25109782668,97291.25109782668,97291.25109782668,97291.25109782668
2020-08-19,97294.26739919654,97294.26739919654,97294.26739919654,97294.26739919654,97294.26739919654,97294.26739919654,97294.26739919654,97294.26739919654,97294.26739919654,97294.26739919654,97294.26739919654,97294.26739919654,97294.26739919654
2020-08-20,97297.2837005664,97297.2837005664,97297.2837005664,97297.2837005664,97297.2837005664,97297.2837005664,97297.2837005664,97297.2837005664,97297.2837005664,97297.2837005664,97297.2837005664,97297.2837005664,97297.2837005664
2020-08-21,97300.30000193627,97300.30000193627,97300.30000193627,97300.30000193627,97300.30000193627,97300.30000193627,97300.30000193627,97300.30000193627,97300.30000193627,97300.30000193627,97300.30000193627,97300.30000193627,97300.30000193627
2020-08-24,97311.28890604585,97311.28890604585,97311.28890604585,97311.28890604585,97311.28890604585,97311.28890604585,97311.28890604585,97311.28890604585,97311.28890604585,97311.28890604585,97311.28890604585,97311.28890604585,97311.28890604585
2020-08-25,97314.30520741572,97314.30520741572,97314.30520741572,97314.30520741572,97314.30520741572,97314.30520741572,97314.30520741572,97314.30520741572,97314.30520741572,97314.30520741572,97314.30520741572,97314.30520741572,97314.30520741572
2020-08-26,97317.32150878558,97317.32150878558,97317.32150878558,97317.32150878558,97317.32150878558,97317.32150878558,97317.32150878558,97317.32150878558,97317.32150878558,97317.32150878558,97317.32150878558,97317.32150878558,97317.32150878558
2020-08-27,97320.33781015544,97320.33781015544,97320.33781015544,97320.33781015544,97320.33781015544,97320.33781015544,97320.33781015544,97320.33781015544,97320.33781015544,97320.33781015544,97320.33781015544,97320.33781015544,97320.33781015544
2020-08-28,97323.3541115253,97323.3541115253,97323.3541115253,97323.3541115253,97323.3541115253,97323.3541115253,97323.3541115253,97323.3541115253,97323.3541115253,97323.3541115253,97323.3541115253,97323.3541115253,97323.3541115253
2020-08-31,97334.34301563489,97334.34301563489,97334.34301563489,97334.34301563489,97334.34301563489,97334.34301563489,97334.34301563489,97334.34301563489,97334.34301563489,97334.34301563489,97334.34301563489,97334.34301563489,97334.34301563489
2020-09-01,97337.35931700475,97337.35931700475,97337.35931700475,97337.35931700475,97337.35931700475,97337.35931700475,97337.35931700475,97337.35931700475,97337.35931700475,97337.35931700475,97337.35931700475,97337.35931700475,97337.35931700475
2020-09-02,97340.37561837462,97340.37561837462,97340.37561837462,97340.37561837462,97340.37561837462,97340.37561837462,97340.37561837462,97340.37561837462,97340.37561837462,97340.37561837462,97340.37561837462,97340.37561837462,97340.37561837462
2020-09-03,97343.39191974448,97343.39191974448,97343.39191974448,97343.39191974448,97343.39191974448,97343.39191974448,97343.39191974448,97343.39191974448,97343.39191974448,97343.39191974448,97343.39191974448,97343.39191974448,97343.39191974448
2020-09-04,97346.40822111434,97346.40822111434,97346.40822111434,97346.40822111434,97346.40822111434,97346.40822111434,97346.40822111434,97346.40822111434,97346.40822111434,97346.40822111434,97346.40822111434,97346.40822111434,97346.40822111434
2020-09-07,97357.39712522393,97357.39712522393,97357.39712522393,97357.39712522393,97357.39712522393,97357.39712522393,97357.39712522393,97357.39712522393,97357.39712522393,97357.39712522393,97357.39712522393,97357.39712522393,97357.39712522393
2020-09-08,97360.41342659379,97360.41342659379,97360.41342659379,97360.41342659379,97360.41342659379,97360.41342659379,97360.41342659379,97360.41342659379,97360.41342659379,97360.41342659379,97360.41342659379,97360.41342659379,97360.41342659379
2020-09-09,97363.42972796365,97363.42972796365,97363.42972796365,97363.42972796365,97363.42972796365,97363.42972796365,97363.42972796365,97363.42972796365,97363.42972796365,97363.42972796365,97363.42972796365,97363.42972796365,97363.42972796365
2020-09-10,97366.44602933351,97366.44602933351,97366.44602933351,97366.44602933351,97366.44602933351,97366.44602933351,97366.44602933351,97366.44602933351,97366.44602933351,97366.44602933351,97366.44602933351,97366.44602933351,97366.44602933351
2020-09-11,97369.46233070338,97369.46233070338,97369.46233070338,97369.46233070338,97369.46233070338,97369.46233070338,97369.46233070338,97369.46233070338,97369.46233070338,97369.46233070338,97369.46233070338,97369.46233070338,97369.46233070338
2020-09-14,97380.45123481296,97380.45123481296,97380.45123481296,97380.45123481296,97380.45123481296,97380.45123481296,97380.45123481296,97380.45123481296,97380.45123481296,97380.45123481296,97380.45123481296,97380.45123481296,97380.45123481296
2020-09-15,97383.46753618283,97383.46753618283,97383.46753618283,97383.46753618283,97383.46753618283,97383.46753618283,97383.46753618283,97383.46753618283,97383.46753618283,97383.46753618283,97383.46753618283,97383.46753618283,97383.46753618283
2020-09-16,97386.48383755269,97386.48383755269,97386.48383755269,97386.48383755269,97386.48383755269,97386.48383755269,97386.48383755269,97386.48383755269,97386.48383755269,97386.48383755269,97386.48383755269,97386.48383755269,97386.48383755269
2020-09-17,97389.50013892255,97389.50013892255,97389.50013892255,97389.50013892255,97389.50013892255,97389.50013892255,97389.50013892255,97389.50013892255,97389.50013892255,97389.50013892255,97389.50013892255,97389.50013892255,97389.50013892255
2020-09-18,97392.51644029241,97392.51644029241,97392.51644029241,97392.51644029241,97392.51644029241,97392.51644029241,97392.51644029241,97392.51644029241,97392.51644029241,97392.51644029241,97392.51644029241,97392.51644029241,97392.51644029241
2020-09-21,97403.505344402,97403.505344402,97403.505344402,97403.505344402,97403.505344402,97403.505344402,97403.505344402,97403.505344402,97403.505344402,97403.505344402,97403.505344402,97403.505344402,97403.505344402
2020-09-22,97406.52164577186,97406.52164577186,97406.52164577186,97406.52164577186,97406.52164577186,97406.52164577186,97406.52164577186,97406.52164577186,97406.52164577186,97406.52164577186,97406.52164577186,97406.52164577186,97406.52164577186
2020-09-23,97409.53794714173,97409.53794714173,97409.53794714173,97409.53794714173,97409.53794714173,97409.53794714173,97409.53794714173,97409.53794714173,97409.53794714173,97409.53794714173,97409.53794714173,97409.53794714173,97409.53794714173
2020-09-24,97412.55424851159,97412.55424851159,97412.55424851159,97412.55424851159,97412.55424851159,97412.55424851159,97412.55424851159,97412.55424851159,97412.55424851159,97412.55424851159,97412.55424851159,97412.55424851159,97412.55424851159
2020-09-25,97415.57054988145,97415.57054988145,97415.57054988145,97415.57054988145,97415.57054988145,97415.57054988145,97415.57054988145,97415.57054988145,97415.57054988145,97415.57054988145,97415.57054988145,97415.57054988145,97415.57054988145
2020-09-28,97426.55945399104,97426.55945399104,97426.55945399104,97426.55945399104,97426.55945399104,97426.55945399104,97426.55945399104,97426.55945399104,97426.55945399104,97426.55945399104,97426.55945399104,97426.55945399104,97426.55945399104
2020-09-29,97429.5757553609,97429.5757553609,97429.5757553609,97429.5757553609,97429.5757553609,97429.5757553609,97429.5757553609,97429.5757553609,97429.5757553609,97429.5757553609,97429.5757553609,97429.5757553609,97429.5757553609
2020-09-30,97432.59205673076,97432.59205673076,97432.59205673076,97432.59205673076,97432.59205673076,97432.59205673076,97432.59205673076,97432.59205673076,97432.59205673076,97432.59205673076,97432.59205673076,97432.59205673076,97432.59205673076
2020-10-09,97467.49876905953,97467.49876905953,97467.49876905953,97467.49876905953,97467.49876905953,97467.49876905953,97467.49876905953,97467.49876905953,97467.49876905953,97467.49876905953,97467.49876905953,97467.49876905953,97467.49876905953
2020-10-12,97478.48767316912,97478.48767316912,97478.48767316912,97478.48767316912,97478.48767316912,97478.48767316912,97478.48767316912,97478.48767316912,97478.48767316912,97478.48767316912,97478.48767316912,97478.48767316912,97478.48767316912
2020-10-13,97481.50397453898,97481.50397453898,97481.50397453898,97481.50397453898,97481.50397453898,97481.50397453898,97481.50397453898,97481.50397453898,97481.50397453898,97481.50397453898,97481.50397453898,97481.50397453898,97481.50397453898
2020-10-14,97484.52027590884,97484.52027590884,97484.52027590884,97484.52027590884,97484.52027590884,97484.52027590884,97484.52027590884,97484.52027590884,97484.52027590884,97484.52027590884,97484.52027590884,97484.52027590884,97484.52027590884
2020-10-15,97487.5365772787,97487.5365772787,97487.5365772787,97487.5365772787,97487.5365772787,97487.5365772787,97487.5365772787,97487.5365772787,97487.5365772787,97487.5365772787,97487.5365772787,97487.5365772787,97487.5365772787
2020-10-16,97490.55287864857,97490.55287864857,97490.55287864857,97490.55287864857,97490.55287864857,97490.55287864857,97490.55287864857,97490.55287864857,97490.55287864857,97490.55287864857,97490.55287864857,97490.55287864857,97490.55287864857
2020-10-19,97501.54178275816,97501.54178275816,97501.54178275816,97501.54178275816,97501.54178275816,97501.54178275816,97501.54178275816,97501.54178275816,97501.54178275816,97501.54178275816,97501.54178275816,97501.54178275816,97501.54178275816
2020-10-20,97504.55808412802,97504.55808412802,97504.55808412802,97504.55808412802,97504.55808412802,97504.55808412802,97504.55808412802,97504.55808412802,97504.55808412802,97504.55808412802,97504.55808412802,97504.55808412802,97504.55808412802
2020-10-21,97507.57438549788,97507.57438549788,97507.57438549788,97507.57438549788,97507.57438549788,97507.57438549788,97507.57438549788,97507.57438549788,97507.57438549788,97507.57438549788,97507.57438549788,97507.57438549788,97507.57438549788
2020-10-22,97510.59068686774,97510.59068686774,97510.59068686774,97510.59068686774,97510.59068686774,97510.59068686774,97510.59068686774,97510.59068686774,97510.59068686774,97510.59068686774,97510.59068686774,97510.59068686774,97510.59068686774
2020-10-23,97513.6069882376,97513.6069882376,97513.6069882376,97513.6069882376,97513.6069882376,97513.6069882376,97513.6069882376,97513.6069882376,97513.6069882376,97513.6069882376,97513.6069882376,97513.6069882376,97513.6069882376
2020-10-26,97524.59589234719,97524.59589234719,97524.59589234719,97524.59589234719,97524.59589234719,97524.59589234719,97524.59589234719,97524.59589234719,97524.59589234719,97524.59589234719,97524.59589234719,97524.59589234719,97524.59589234719
2020-10-27,97527.61219371705,97527.61219371705,97527.61219371705,97527.61219371705,97527.61219371705,97527.61219371705,97527.61219371705,97527.61219371705,97527.61219371705,97527.61219371705,97527.61219371705,97527.61219371705,97527.61219371705
2020-10-28,97530.62849508692,97530.62849508692,97530.62849508692,97530.62849508692,97530.62849508692,97530.62849508692,97530.62849508692,97530.62849508692,97530.62849508692,97530.62849508692,97530.62849508692,97530.62849508692,97530.62849508692
