variant,signal_date,from_symbol,to_symbol,from_rank,to_rank,score_gap,roc20_gap,confirmation_days,new_minus_old_5d,new_minus_old_10d,new_minus_old_20d
rank5_2d,2024-02-23,512800.SH,513530.SH,6.0,5.0,0.005064617086170231,0.008476432448390803,2.0,-0.011228912322156948,0.022482912830256274,-0.013190556698430278
rank5_2d,2024-09-25,518880.SH,159851.SZ,6.0,1.0,0.17705556638194164,0.15189041867493436,2.0,0.6600943896616791,0.5439237182624816,0.6125992845577743
rank5_2d,2025-01-14,512800.SH,159981.SZ,7.0,5.0,0.023859730574309457,-0.0030356600727199368,2.0,-0.023134102121490918,-0.04282940924052392,-0.06002257548193257
rank5_2d,2025-01-22,159981.SZ,513500.SH,9.0,4.0,0.13486683984143033,0.009128876248273743,2.0,-0.009381920056934168,-0.009213006516460953,-0.05938119375265849
gap3_1d,2021-11-09,510630.SH,159865.SZ,6.0,2.0,0.10926631786737773,0.020803167895815156,1.0,0.002483793255621203,-0.016625169111953886,-0.04533274029171108
gap3_1d,2022-02-21,159981.SZ,515220.SH,8.0,2.0,0.33977366618089466,0.1457769777655069,1.0,-0.019322440756104897,-0.058452480320147604,-0.05872145018204433
gap3_1d,2022-08-23,159941.SZ,159915.SZ,19.0,5.0,0.2002528794629984,-0.03389452092302436,1.0,-0.04161527886206162,-0.039751286304815836,-0.09574412020280298
gap3_1d,2022-09-08,159865.SZ,510880.SH,11.0,3.0,0.11613406139326687,0.05062534389593276,1.0,-0.012474792298383552,0.04991567031400934,-0.031538824244813024
gap3_1d,2023-05-22,510880.SH,159611.SZ,7.0,3.0,0.07878240949572546,0.04941311065773868,1.0,0.035046872224724135,0.011030509953364742,0.003502403287905409
gap3_1d,2024-01-12,518880.SH,159941.SZ,6.0,2.0,0.12562302175544093,-0.002755460360494677,1.0,0.04738490352504687,0.039735675824899674,0.0693620603984485
gap3_1d,2024-02-26,512800.SH,513530.SH,6.0,4.0,0.036252431683653885,0.036082194204521745,1.0,-0.00780966380774073,-0.00019024928250144235,-0.027730104392893473
gap3_1d,2024-03-14,515050.SH,512400.SH,6.0,1.0,0.05708459583965009,-0.0689945116800239,1.0,-0.013153848158412806,0.04283801892232142,0.1658198672349095
gap3_1d,2024-09-24,518880.SH,159851.SZ,7.0,2.0,0.12577819812702484,0.11920457768146209,1.0,0.5439962281565468,0.38760154935675484,0.49921026765800103
gap3_1d,2025-01-13,512800.SH,159981.SZ,8.0,2.0,0.08934988612667444,0.0207918865890242,1.0,-0.03234175418515106,-0.07869554267966417,-0.08237343744125014
gap3_1d,2025-01-20,159981.SZ,513500.SH,8.0,2.0,0.12879817798393323,-0.0013666704780757044,1.0,0.020749828252892843,-0.0018533743757933596,-0.012014164528409088
gap3_1d,2026-07-29,159985.SZ,512800.SH,7.0,1.0,0.11214647164750419,0.04466192911339939,1.0,,,
gap3_2d,2022-08-25,159941.SZ,159865.SZ,7.0,3.0,0.15872594539816343,-0.0036957088475695343,2.0,0.04934480241045103,0.010140011027367501,-0.007765798721258821
gap3_2d,2022-09-14,159865.SZ,510880.SH,8.0,3.0,0.1029072259000795,0.03619691244228873,2.0,0.0252462553893269,0.028681101026376,-0.009634689024697218
gap3_2d,2024-01-15,518880.SH,159941.SZ,8.0,2.0,0.17402926460964785,0.008583997338580174,2.0,0.06531825913870459,0.06473168347678382,0.057793352336679815
gap3_2d,2024-09-25,518880.SH,159851.SZ,6.0,1.0,0.17705556638194164,0.15189041867493436,2.0,0.6600943896616791,0.5439237182624816,0.6125992845577743
gap3_2d,2025-01-22,512800.SH,513500.SH,10.0,4.0,0.1436555168715713,0.03366026635376329,2.0,-0.03141855398743887,-0.054659875450755346,-0.1075772427256404
gap5_1d,2021-11-09,510630.SH,159865.SZ,6.0,2.0,0.10926631786737773,0.020803167895815156,1.0,0.002483793255621203,-0.016625169111953886,-0.04533274029171108
gap5_1d,2022-02-21,159981.SZ,515220.SH,8.0,2.0,0.33977366618089466,0.1457769777655069,1.0,-0.019322440756104897,-0.058452480320147604,-0.05872145018204433
gap5_1d,2022-08-23,159941.SZ,159915.SZ,19.0,5.0,0.2002528794629984,-0.03389452092302436,1.0,-0.04161527886206162,-0.039751286304815836,-0.09574412020280298
gap5_1d,2022-09-08,159865.SZ,510880.SH,11.0,3.0,0.11613406139326687,0.05062534389593276,1.0,-0.012474792298383552,0.04991567031400934,-0.031538824244813024
gap5_1d,2023-05-22,510880.SH,159611.SZ,7.0,3.0,0.07878240949572546,0.04941311065773868,1.0,0.035046872224724135,0.011030509953364742,0.003502403287905409
gap5_1d,2024-01-12,518880.SH,159941.SZ,6.0,2.0,0.12562302175544093,-0.002755460360494677,1.0,0.04738490352504687,0.039735675824899674,0.0693620603984485
gap5_1d,2024-03-14,515050.SH,512400.SH,6.0,1.0,0.05708459583965009,-0.0689945116800239,1.0,-0.013153848158412806,0.04283801892232142,0.1658198672349095
gap5_1d,2024-09-24,518880.SH,159851.SZ,7.0,2.0,0.12577819812702484,0.11920457768146209,1.0,0.5439962281565468,0.38760154935675484,0.49921026765800103
gap5_1d,2025-01-13,512800.SH,159981.SZ,8.0,2.0,0.08934988612667444,0.0207918865890242,1.0,-0.03234175418515106,-0.07869554267966417,-0.08237343744125014
gap5_1d,2025-01-20,159981.SZ,513500.SH,8.0,2.0,0.12879817798393323,-0.0013666704780757044,1.0,0.020749828252892843,-0.0018533743757933596,-0.012014164528409088
gap5_1d,2026-07-29,159985.SZ,512800.SH,7.0,1.0,0.11214647164750419,0.04466192911339939,1.0,,,
gap5_2d,2022-08-25,159941.SZ,159865.SZ,7.0,3.0,0.15872594539816343,-0.0036957088475695343,2.0,0.04934480241045103,0.010140011027367501,-0.007765798721258821
gap5_2d,2022-09-14,159865.SZ,510880.SH,8.0,3.0,0.1029072259000795,0.03619691244228873,2.0,0.0252462553893269,0.028681101026376,-0.009634689024697218
gap5_2d,2024-01-15,518880.SH,159941.SZ,8.0,2.0,0.17402926460964785,0.008583997338580174,2.0,0.06531825913870459,0.06473168347678382,0.057793352336679815
gap5_2d,2024-09-25,518880.SH,159851.SZ,6.0,1.0,0.17705556638194164,0.15189041867493436,2.0,0.6600943896616791,0.5439237182624816,0.6125992845577743
gap5_2d,2025-01-22,512800.SH,513500.SH,10.0,4.0,0.1436555168715713,0.03366026635376329,2.0,-0.03141855398743887,-0.054659875450755346,-0.1075772427256404
gap10_1d,2021-11-09,510630.SH,159865.SZ,6.0,2.0,0.10926631786737773,0.020803167895815156,1.0,0.002483793255621203,-0.016625169111953886,-0.04533274029171108
gap10_1d,2022-02-21,159981.SZ,515220.SH,8.0,2.0,0.33977366618089466,0.1457769777655069,1.0,-0.019322440756104897,-0.058452480320147604,-0.05872145018204433
gap10_1d,2022-08-23,159941.SZ,159915.SZ,19.0,5.0,0.2002528794629984,-0.03389452092302436,1.0,-0.04161527886206162,-0.039751286304815836,-0.09574412020280298
gap10_1d,2022-09-08,159865.SZ,510880.SH,11.0,3.0,0.11613406139326687,0.05062534389593276,1.0,-0.012474792298383552,0.04991567031400934,-0.031538824244813024
gap10_1d,2024-01-12,518880.SH,159941.SZ,6.0,2.0,0.12562302175544093,-0.002755460360494677,1.0,0.04738490352504687,0.039735675824899674,0.0693620603984485
gap10_1d,2024-09-24,518880.SH,159851.SZ,7.0,2.0,0.12577819812702484,0.11920457768146209,1.0,0.5439962281565468,0.38760154935675484,0.49921026765800103
gap10_1d,2025-01-22,512800.SH,513500.SH,10.0,4.0,0.1436555168715713,0.03366026635376329,1.0,-0.03141855398743887,-0.054659875450755346,-0.1075772427256404
gap10_1d,2026-07-29,159985.SZ,512800.SH,7.0,1.0,0.11214647164750419,0.04466192911339939,1.0,,,
gap10_2d,2022-08-26,159941.SZ,159865.SZ,6.0,2.0,0.16932308574981403,0.0006232828195424922,2.0,0.021638158185859235,-0.06815736028943664,-0.07267396806668303
gap10_2d,2024-01-15,518880.SH,159941.SZ,8.0,2.0,0.17402926460964785,0.008583997338580174,2.0,0.06531825913870459,0.06473168347678382,0.057793352336679815
gap10_2d,2024-09-25,518880.SH,159851.SZ,6.0,1.0,0.17705556638194164,0.15189041867493436,2.0,0.6600943896616791,0.5439237182624816,0.6125992845577743
gap10_2d,2025-02-06,512800.SH,513500.SH,11.0,5.0,0.12750579910388815,0.020688888709595066,2.0,-0.023054046326409505,-0.03662175797459111,-0.10224404019541333
rank8_gap5_1d,2022-08-23,159941.SZ,159915.SZ,19.0,5.0,0.2002528794629984,-0.03389452092302436,1.0,-0.04161527886206162,-0.039751286304815836,-0.09574412020280298
rank8_gap5_1d,2022-09-08,159865.SZ,510880.SH,11.0,3.0,0.11613406139326687,0.05062534389593276,1.0,-0.012474792298383552,0.04991567031400934,-0.031538824244813024
rank8_gap5_1d,2025-01-22,512800.SH,513500.SH,10.0,4.0,0.1436555168715713,0.03366026635376329,1.0,-0.03141855398743887,-0.054659875450755346,-0.1075772427256404
rank8_gap5_2d,2025-02-06,512800.SH,513500.SH,11.0,5.0,0.12750579910388815,0.020688888709595066,2.0,-0.023054046326409505,-0.03662175797459111,-0.10224404019541333
top1_gap5_1d,2024-03-14,515050.SH,512400.SH,6.0,1.0,0.05708459583965009,-0.0689945116800239,1.0,-0.013153848158412806,0.04283801892232142,0.1658198672349095
top1_gap5_1d,2024-09-25,518880.SH,159851.SZ,6.0,1.0,0.17705556638194164,0.15189041867493436,1.0,0.6600943896616791,0.5439237182624816,0.6125992845577743
top1_gap5_1d,2026-07-29,159985.SZ,512800.SH,7.0,1.0,0.11214647164750419,0.04466192911339939,1.0,,,
