date,price_core,core_plus_weak_edge,core_plus_entry_exceptions,full_strategy
2023-07-04,137807.15329342466,137807.15329342466,137807.15329342466,137807.15329342466
2023-07-05,137811.41343041096,137811.41343041096,137811.41343041096,137811.41343041096
2023-07-06,137916.07656399487,137916.07656399487,137916.07656399487,137916.07656399487
2023-07-07,137514.7657557592,137514.7657557592,137514.7657557592,137514.7657557592
2023-07-10,137782.8295878212,137782.8295878212,137782.8295878212,137782.8295878212
2023-07-11,138400.23390567704,138400.23390567704,138400.23390567704,138400.23390567704
2023-07-12,140664.03338230058,140664.03338230058,140664.03338230058,140664.03338230058
2023-07-13,139635.0425413887,139635.0425413887,139635.0425413887,139635.0425413887
2023-07-14,139703.6375693123,139703.6375693123,139703.6375693123,139703.6375693123
2023-07-17,141075.63626087114,141075.63626087114,141075.63626087114,141075.63626087114
2023-07-18,141281.4377001564,141281.4377001564,141281.4377001564,141281.4377001564
2023-07-19,144505.63298976823,144505.63298976823,144505.63298976823,144505.63298976823
2023-07-20,145534.64018619462,145534.64018619462,145534.64018619462,145534.64018619462
2023-07-21,144299.83155048295,144299.83155048295,144299.83155048295,144299.83155048295
2023-07-24,144574.24437320634,144574.24437320634,144574.24437320634,144574.24437320634
2023-07-25,147249.6303728859,147249.6303728859,147249.6303728859,147249.6303728859
2023-07-26,148278.6375693123,148278.6375693123,148278.6375693123,148278.6375693123
2023-07-27,149993.6441115181,149993.6441115181,149993.6441115181,149993.6441115181
2023-07-28,148278.6375693123,148278.6375693123,148278.6375693123,148278.6375693123
2023-07-31,147592.63822353288,147592.63822353288,147592.63822353288,147592.63822353288
2023-08-01,149101.8433264534,149101.8433264534,149101.8433264534,149101.8433264534
2023-08-02,149444.83482158586,149444.83482158586,149444.83482158586,149444.83482158586
2023-08-03,147729.84463489457,147729.84463489457,147729.84463489457,147729.84463489457
2023-08-04,149239.03338230058,149239.03338230058,149239.03338230058,149239.03338230058
2023-08-07,147592.63822353288,147592.63822353288,147592.63822353288,147592.63822353288
2023-08-08,146975.23390567704,146975.23390567704,146975.23390567704,146975.23390567704
2023-08-09,150062.2391394417,150062.2391394417,150062.2391394417,150062.2391394417
2023-08-10,150268.04057872697,150268.04057872697,150268.04057872697,150268.04057872697
2023-08-11,151365.64280307695,151365.64280307695,151365.64280307695,151365.64280307695
2023-08-14,152257.44358814164,152257.44358814164,152257.44358814164,152257.44358814164
2023-08-15,153492.2358683388,153492.2358683388,153492.2358683388,153492.2358683388
2023-08-16,153286.4344290535,153286.4344290535,153286.4344290535,153286.4344290535
2023-08-17,155756.03534496232,155756.03534496232,155756.03534496232,155756.03534496232
2023-08-18,157539.63691509172,157539.63691509172,157539.63691509172,157539.63691509172
2023-08-21,160763.83220470353,160763.83220470353,160763.83220470353,160763.83220470353
2023-08-22,155893.24175632402,155893.24175632402,155893.24175632402,155893.24175632402
2023-08-23,155756.03534496232,155756.03534496232,155756.03534496232,155756.03534496232
2023-08-24,156853.6375693123,156853.6375693123,156853.6375693123,156853.6375693123
2023-08-25,160146.44424236222,160146.44424236222,160146.44424236222,160146.44424236222
