variant,label,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,cash_management_annual_rate,cash_interest_income,cash_interest_calendar_days,cash_management_fees,return_since_2024,cagr_since_2024,sharpe_since_2024,max_drawdown_since_2024,delta_total_return_vs_price_core,delta_cagr_vs_price_core,delta_sharpe_vs_price_core,delta_max_drawdown_vs_price_core,delta_return_since_2024_vs_price_core
price_core,纯价格核心,2.8609938007879707,0.18199785529711732,0.21901041558050113,0.9011715795360543,1.531332176321781,-0.28438713140987093,0.6399651573362305,18.96163006423552,302.0,0.49732202642695095,7733.72625483779,43950.72225282132,3.0,3.0,0.0,126.0,0.015,9138.739726027417,2951.0,1486.709999999998,1.5944046620629462,0.44780180419548543,1.4960310157074443,-0.28438713140987093,0.0,0.0,0.0,0.0,0.0
core_plus_weak_edge,核心＋弱边缘确认,2.2197970471567094,0.15572563693041963,0.2056944389815861,0.8323889183284415,1.4123567271126525,-0.28861573850802014,0.5395604471725379,17.76384527074448,290.0,0.46857694317941445,6423.750585085309,35789.154151445015,3.0,3.0,0.0,123.0,0.015,8984.095890410987,2951.0,1458.6800000000128,1.1635508630796196,0.3492592879361085,1.3652770436107358,-0.28861573850802014,-0.6411967536312613,-0.026272218366697686,-0.06878266120761278,-0.004228607098149206,-0.43085379898332654
core_plus_entry_exceptions,核心＋弱边缘＋新趋势/质量延伸,5.625765742441509,0.26370500508096906,0.22717101326438696,1.18227206800879,2.046209132705497,-0.20906256593091377,1.2613688342852938,17.938592193974902,300.0,0.5131422072112127,8036.355637766576,44803.01650521576,3.0,3.0,0.0,133.0,0.015,10159.60273972611,2951.0,1647.9500000000126,3.4522002414039115,0.7854383189442813,2.143404142273999,-0.15892264108449916,2.764771941653538,0.08170714978385174,0.2811004884727356,0.07532456547895716,1.8577955793409653
full_strategy,当前完整策略,8.483803369053872,0.32106046289212076,0.2411250684617937,1.3184750587312013,2.315162819444296,-0.20906256593091377,1.535714734306942,16.865410105368195,285.0,0.5411946849428532,8129.3547865476985,43604.038080959916,3.0,3.0,0.0,127.0,0.015,9569.383561643857,2951.0,1547.9400000000028,5.3726659363556,1.052097456074561,2.405856388570654,-0.13000260126541985,5.622809568265901,0.13906260759500344,0.417303479195147,0.07532456547895716,3.7782612742926536
