variant,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,cash_management_annual_rate,cash_interest_income,cash_interest_calendar_days,cash_management_fees,return_2018_2020,mdd_2018_2020,return_2021_2022,mdd_2021_2022,return_2023_2024,mdd_2023_2024,return_2025_2026,mdd_2025_2026,candidate_day_rate,directional_ruler_size_mean
directional_eligible_ruler_51,1.1597233706947963,0.1001329441149239,0.22139692481100784,0.5581598477382641,0.8900638343825106,-0.46392176875767055,0.21584014990947392,23.578318813145753,323.0,0.5362769946975746,6190.158151876848,34397.139991187454,0.0,0.0,0.0,113.0,0.015,6085.684931506836,2947.0,991.8599999999942,0.06521948289111035,-0.15861412970201771,-0.29447102310078943,-0.46392176875767055,0.18117326551865687,-0.22613666002766142,1.4329353166102776,-0.1530999288883107,0.3411644535240041,11.198161389172625
directional_only_ruler_51,1.5405838362018218,0.12250245536608806,0.22045813967365027,0.6545185177880445,1.0318989777731338,-0.4101484223933032,0.29867835319531455,20.58608752326249,295.0,0.479299242818849,5885.373123079546,33332.81967675985,0.0,0.0,0.0,109.0,0.015,6890.219178082197,2947.0,1118.050000000006,-0.0004743201496945071,-0.1550890523488474,-0.1412683228387599,-0.4101484223933032,0.13046658672621247,-0.2261916619160934,1.6183298698813045,-0.21061462327800184,0.28651685393258425,13.737997957099081
eligible_only_ruler_51,2.0089013615602482,0.14628785187780702,0.2119153313785794,0.7746374685908869,1.2620108048629952,-0.33792759934781735,0.43289702338647373,18.778573448059067,291.0,0.4833567975916166,5719.561893827217,33569.1238935113,0.0,0.0,0.0,120.0,0.015,8322.94520547939,2947.0,1359.070000000006,0.0630083772678891,-0.1544246435375014,-0.01549011525763122,-0.33792759934781735,0.14952916057762544,-0.2268506780040329,1.5011007713301217,-0.12532763347991827,0.28651685393258425,30.861593462717057
directional_eligible_theme_dedup_51,1.1057791222137987,0.09668942279106552,0.22145892692351515,0.5433588327431595,0.8662160970355228,-0.46392176875767055,0.2084175162764807,23.82821945918334,325.0,0.5362799669338925,6198.114669329404,34637.704636466515,0.0,0.0,0.0,113.0,0.015,6043.9315068493015,2947.0,985.0100000000001,0.06521948289111035,-0.15861412970201771,-0.29447102310078943,-0.46392176875767055,0.15134623005032521,-0.24583980588294274,1.4336208400599064,-0.15299468727648535,0.3411644535240041,11.198161389172625
directional_eligible_ruler_exit_51,0.9916857486502142,0.08914401197129806,0.2154664983227008,0.5190741391828667,0.8360468790374747,-0.47824958807504847,0.1863964218560065,21.603915198273917,329.0,0.5700715412345192,6686.077158636368,36480.38597409366,0.0,0.0,0.0,128.0,0.015,6533.260273972573,2947.0,1054.5100000000004,0.38270659993980716,-0.15045314942379784,-0.14326516756272412,-0.34404430336971503,-0.1272831379201501,-0.301349739330421,0.9265087608850675,-0.2152231968084114,0.3411644535240041,11.198161389172625
directional_eligible_ruler_core45,2.1974102583207173,0.15495352078045999,0.22324527968655053,0.7815013405818362,1.2886342446430894,-0.3149083826107768,0.4920590537978177,23.558385172127263,324.0,0.5772287444589574,7365.103916207476,40231.596133539686,0.0,0.0,0.0,110.0,0.015,5885.342465753428,2947.0,958.4899999999968,-0.015209926532775864,-0.19116488967385747,-0.0977718183077615,-0.3149083826107768,0.3305152472463966,-0.1536771212397493,1.7046959918242588,-0.18333076983699892,0.36465781409601633,10.384065372829419
