membership,challenger_count,single_total_return,single_cagr,single_sharpe,single_max_drawdown,dual_total_return,dual_cagr,dual_sharpe,dual_max_drawdown,dual_trade_count,new_etf_only_total_return,new_etf_only_cagr,new_etf_only_sharpe,new_etf_only_max_drawdown,new_etf_only_trade_count
none,0,5.419517735131328,0.2590633305190324,1.1825756631104145,-0.2218193578066835,5.419517735131328,0.2590633305190324,1.1825756631104145,-0.2218193578066835,256.0,5.419517735131328,0.2590633305190324,1.1825756631104145,-0.2218193578066835,256.0
560280,1,5.419517735131328,0.2590633305190324,1.1825756631104145,-0.2218193578066835,5.419517735131328,0.2590633305190324,1.1825756631104145,-0.2218193578066835,256.0,5.419517735131328,0.2590633305190324,1.1825756631104145,-0.2218193578066835,256.0
561380,1,5.419517735131328,0.2590633305190324,1.1825756631104145,-0.2218193578066835,5.419517735131328,0.2590633305190324,1.1825756631104145,-0.2218193578066835,256.0,5.419517735131328,0.2590633305190324,1.1825756631104145,-0.2218193578066835,256.0
512980,1,5.184540815266821,0.2532596624909307,1.1671502014555268,-0.2531344160704029,5.399965981187469,0.25858758601693066,1.184157731007274,-0.2243713095268235,265.0,5.4323990452758855,0.2593760727475227,1.1844777332540521,-0.22023889116883855,266.0
513520,1,4.8087782059634305,0.24356428269471309,1.0845231497535233,-0.22738656361990617,5.309847731273828,0.2563781798921323,1.1712511552058078,-0.2218193578066835,273.0,5.411654418981037,0.2588721486066421,1.1807354791519233,-0.2218193578066835,268.0
513030,1,5.48694325890104,0.26069428769613046,1.1855191516467825,-0.2218193578066835,5.457143275034081,0.2599752957210548,1.1860740602831383,-0.2218193578066835,266.0,5.4293803911791905,0.25930283282922795,1.1833588907997028,-0.2218193578066835,260.0
561360,1,5.419517735131328,0.2590633305190324,1.1825756631104145,-0.2218193578066835,5.419517735131328,0.2590633305190324,1.1825756631104145,-0.2218193578066835,256.0,5.419517735131328,0.2590633305190324,1.1825756631104145,-0.2218193578066835,256.0
560280+561380,2,5.419517735131328,0.2590633305190324,1.1825756631104145,-0.2218193578066835,5.419517735131328,0.2590633305190324,1.1825756631104145,-0.2218193578066835,256.0,5.419517735131328,0.2590633305190324,1.1825756631104145,-0.2218193578066835,256.0
560280+512980,2,5.184540815266821,0.2532596624909307,1.1671502014555268,-0.2531344160704029,5.399965981187469,0.25858758601693066,1.184157731007274,-0.2243713095268235,265.0,5.4323990452758855,0.2593760727475227,1.1844777332540521,-0.22023889116883855,266.0
560280+513520,2,4.8087782059634305,0.24356428269471309,1.0845231497535233,-0.22738656361990617,5.309847731273828,0.2563781798921323,1.1712511552058078,-0.2218193578066835,273.0,5.411654418981037,0.2588721486066421,1.1807354791519233,-0.2218193578066835,268.0
