variant,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,cash_management_annual_rate,cash_interest_income,cash_interest_calendar_days,cash_management_fees,return_2018_2020,mdd_2018_2020,return_2021_2022,mdd_2021_2022,return_2023_2024,mdd_2023_2024,return_2025_2026,mdd_2025_2026,candidate_day_rate,ruler_size_mean,share_multiplier
theme_tail_x0.60,-0.2475775577164513,-0.03464129395727833,0.11186265756200749,-0.27109060980311056,-0.3724663008534313,-0.3109245100071224,-0.11141384111688331,9.278794089632584,115.0,0.1716646364790265,2051.2310877890104,12427.43486037612,0.0,0.0,0.0,39.0,0.015,8944.602739725968,2947.0,1455.2799999999934,-0.02795931274083019,-0.11579023987279169,-0.047894980706074564,-0.16175304811601143,-0.13463596899385344,-0.2285906314325934,-0.06050688352210509,-0.08920286016609791,0.07303370786516854,10.972931562819204,0.6
theme_tail_x0.80,2.266738692609193,0.1580281922775335,0.18847505551539484,0.9023051439571708,1.4797950146615177,-0.226738047353639,0.6969637170380142,10.382611198202335,144.0,0.28960377579112595,2745.381599341631,15406.655061503647,0.0,0.0,0.0,58.0,0.015,8685.328767123236,2947.0,1418.6200000000028,-0.02795931274083019,-0.11579023987279169,-0.047894980706074564,-0.16175304811601143,0.03716496610727216,-0.18910959942565697,2.403276692963567,-0.13265156106876663,0.10316649642492338,10.972931562819204,0.8
theme_tail_x1.00,2.1294586661714514,0.1518827026643439,0.189043195119541,0.8709273610859338,1.4227179743450395,-0.226738047353639,0.6698597982872073,10.634407205515632,146.0,0.2902048419623229,2774.8379083535087,15498.393623936174,0.0,0.0,0.0,58.0,0.015,8631.863013698598,2947.0,1409.5600000000063,-0.02795931274083019,-0.11579023987279169,-0.047894980706074564,-0.16175304811601143,0.03716496610727216,-0.18910959942565697,2.2602588521298315,-0.13265047577624522,0.10367722165474974,10.972931562819204,1.0
theme_tail_x1.20,0.8749228584946991,0.08101931509953575,0.1735040428156218,0.5527545745039885,0.8717937444854681,-0.2704118172122898,0.29961455063160436,13.037479310931355,177.0,0.2947566262537307,3330.3983169952016,17586.65477919817,0.0,0.0,0.0,66.0,0.015,8600.424657534279,2947.0,1400.659999999996,-0.02795931274083019,-0.11579023987279169,-0.044783886139545204,-0.15903114608590097,-0.03699683631148465,-0.18904773621231186,1.0968608254941308,-0.16713637950584326,0.12870275791624106,10.972931562819204,1.2
theme_tail_x1.40,1.1987941103660562,0.1025802730340728,0.21739685309634366,0.5748888703381174,0.9214556344117267,-0.41213249165877863,0.24890120315726819,19.491060412266446,254.0,0.46149488804999406,4787.808962169477,25617.082673032874,0.0,0.0,0.0,84.0,0.015,6926.712328767151,2947.0,1128.079999999998,-0.012935336287940191,-0.16573249477000163,-0.2026370244999971,-0.33863042985827163,0.03247238961822019,-0.247672589551869,1.705854549378393,-0.20232054093308005,0.22625127681307455,10.972931562819204,1.4
theme_tail_x1.80,1.1982624888136173,0.10254722966508045,0.21740206771382897,0.5747370560080776,0.9212072916385283,-0.41213249165877863,0.24882102658866193,19.738025887689094,256.0,0.4619954816999585,4836.672420989004,25812.402060552824,0.0,0.0,0.0,84.0,0.015,6923.301369863042,2947.0,1127.249999999998,-0.012935336287940191,-0.16573249477000163,-0.2026370244999971,-0.33863042985827163,0.03247238961822019,-0.247672589551869,1.7052003314189061,-0.20243947505286775,0.22880490296220635,10.972931562819204,1.8
