variant,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,cash_management_annual_rate,cash_interest_income,cash_interest_calendar_days,cash_management_fees,return_2018_2020,mdd_2018_2020,return_2021_2022,mdd_2021_2022,return_2023_2024,mdd_2023_2024,return_2025_2026,mdd_2025_2026,candidate_day_rate,ruler_size_mean
theme_monotone_tail_relative_exit,2.1294586661714514,0.1518827026643439,0.189043195119541,0.8709273610859338,1.4227179743450395,-0.226738047353639,0.6698597982872073,10.634407205515632,146.0,0.2902048419623229,2774.8379083535087,15498.393623936174,0.0,0.0,0.0,58.0,0.015,8631.863013698598,2947.0,1409.5600000000063,-0.02795931274083019,-0.11579023987279169,-0.047894980706074564,-0.16175304811601143,0.03716496610727216,-0.18910959942565697,2.2602588521298315,-0.13265047577624522,0.10367722165474974,10.972931562819204
theme_monotone_tail_formal_exit_ablation,1.9293018164611584,0.14248513532561358,0.18954475301373874,0.8242343633933422,1.3411874726384072,-0.2554343713567587,0.5578150448931095,10.150096514173097,142.0,0.2984920110307543,2568.2143877574827,14571.594967444536,0.0,0.0,0.0,59.0,0.015,8351.136986301372,2947.0,1362.3500000000088,-0.04159898212389157,-0.1281976198065461,-0.033819338723586,-0.19931919200949455,-0.011697480034696728,-0.18899729652500175,2.200874239722293,-0.13264931956332737,0.10367722165474974,10.972931562819204
asset_monotone_tail_relative_exit,1.6433232022154636,0.1280312605478997,0.20937121136858158,0.7018139939642649,1.1480042990186508,-0.27935287538987696,0.4583137380247608,20.890880146092304,288.0,0.47594134646275704,6201.737610689038,36461.523025599716,0.0,0.0,0.0,104.0,0.015,7332.616438356148,2947.0,1181.1299999999978,-0.03994456650906242,-0.16573249477000163,-0.008328313084981609,-0.2514936862172875,0.01778664009527753,-0.24394981916549152,1.7279053555129433,-0.12809780494527978,0.2814096016343207,30.861593462717057
theme_fixed_count_relative_exit,0.6960461635120996,0.06766845850223291,0.23482055619987263,0.40686608013031733,0.6470962785612142,-0.473351822850969,0.14295594785010002,30.32344129075869,394.0,0.6382010386088393,7692.520777738342,43221.88074921548,0.0,0.0,0.0,130.0,0.015,4631.383561643832,2947.0,744.9199999999971,-0.07092009384758469,-0.24518729000036177,-0.26789720663012195,-0.473351822850969,0.28583785386717997,-0.24759303170972913,0.9392166471285501,-0.26144371642126596,0.44484167517875384,10.972931562819204
asset_fixed_count_relative_exit,1.2491224650620754,0.10567722273959723,0.2208193095319521,0.5823500710089105,0.9566205543350822,-0.4101987736012799,0.2576244239148245,25.01107217662724,342.0,0.5447224093288059,6660.553632626436,37572.537880153635,0.0,0.0,0.0,120.0,0.015,6236.712328767134,2947.0,1002.0000000000027,0.028831636813242856,-0.167796966262986,-0.19126336261228505,-0.3872284614004313,0.024185720915426367,-0.24391741982433512,1.639264756396992,-0.12811039193855756,0.34576098059244126,30.861593462717057
