track,start,candidate,cost_multiplier,capital,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,cash_management_annual_rate,cash_interest_income,cash_interest_calendar_days,cash_management_fees,without_best_round_return,removed_round
mixed,2018-07-02,False,1,100000,7.783859913346859,0.30376974886913577,0.24166279093963597,1.2584559186491233,2.2045668124780744,-0.20906256593091377,1.4530088039267568,17.022602908259394,295.0,0.547036360107782,9009.296774651968,48727.18735511541,3.0,3.0,0.0,132.0,0.015,9636.452054794549,2992.0,1562.940000000002,4.4334769183891485,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-06-30', 'net_pnl': 378569.4473583406}"
mixed,2018-07-02,False,2,100000,5.906235751948835,0.266049956414675,0.24373051714456112,1.1247910687865432,1.9695849471867017,-0.23389242959289547,1.1374885321331336,17.092046260716344,280.0,0.5492390032990342,15425.300761911847,83252.59800588014,3.0,3.0,0.0,120.0,0.015,8314.232876712307,2992.0,1348.9200000000028,3.2684522075571865,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-06-30', 'net_pnl': 301693.21148039046}"
mixed,2018-07-02,False,1,9825,11.009391981207575,0.3545127763104736,0.2552356411845518,1.3594091162278072,2.473107545739237,-0.2025355093608684,1.7503734403374134,17.337061086484663,143.0,0.5549600537936852,1291.0372490425343,6088.274041002991,0.0,0.0,0.0,0.0,0.015,1016.7945205479443,2992.0,165.73000000000098,6.3618417321960985,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-06-30', 'net_pnl': 51573.56892992667}"
mixed,2018-07-02,True,1,100000,4.604943332024377,0.23419059536051812,0.24415644641313575,1.0150662392474155,1.7399808564627972,-0.324429400554787,0.721853799193424,16.047601643574612,280.0,0.5612095732863869,6962.680952477355,36202.25130462167,3.0,3.0,0.0,129.0,0.015,8136.1232876712575,2992.0,1310.620000000004,2.8230193854571484,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-07-03', 'net_pnl': 201346.78961424972}"
mixed,2018-07-02,True,2,100000,3.5179568645341597,0.2021326829180603,0.24610707837168644,0.8979785403499408,1.53861793026306,-0.3555681149137655,0.5684780902446293,16.058913563684538,254.0,0.5625948985435396,12036.506324852395,62861.31473453162,3.0,3.0,0.0,109.0,0.015,7264.9315068493115,2992.0,1170.8600000000008,2.081592722583567,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-07-03', 'net_pnl': 164117.3103926147}"
mixed,2018-07-02,True,1,9825,6.692073288011014,0.28281557305836214,0.256133843835978,1.1352620673665241,2.022897996569288,-0.30694106775771013,0.9214002385682977,16.124317703314546,133.0,0.5665773220900422,959.5663747254766,4193.945616381168,0.0,0.0,0.0,0.0,0.015,860.835616438357,2992.0,139.02000000000004,4.23226878526312,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-07-03', 'net_pnl': 27217.18179695587}"
mixed,2021-01-04,False,1,100000,7.748440280354613,0.4648814795723655,0.28290058011619207,1.5412810226990947,2.7746312112175033,-0.20900219323884395,2.22428995776665,18.57384463998282,227.0,0.6895063260982887,7954.62438835828,42400.774634138346,3.0,3.0,0.0,98.0,0.015,6785.835616438365,2075.0,1091.9900000000007,4.411377851420576,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-06-30', 'net_pnl': 377079.22981845215}"
mixed,2021-01-04,False,2,100000,6.284942428878705,0.4184295789875965,0.2845228356705071,1.4164161854639528,2.549386644837683,-0.23593038921384624,1.7735298126784922,18.619167552601656,214.0,0.6915178203413546,14113.526785961749,75357.22034417151,3.0,3.0,0.0,88.0,0.015,5963.178082191777,2075.0,957.9700000000018,3.5069445687098932,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-06-30', 'net_pnl': 317632.57413398783}"
mixed,2021-01-04,True,1,100000,4.159320974380423,0.33485305331739235,0.28539870455443855,1.192070179196137,2.092273998495476,-0.32019762526542983,1.04576994610692,17.924695932299493,197.0,0.6882999393467151,5475.084581219339,27840.816693579556,3.0,3.0,0.0,80.0,0.015,4835.876712328769,2075.0,769.4400000000011,2.512741210023282,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-07-03', 'net_pnl': 185982.9350555442}"
mixed,2021-01-04,True,2,100000,3.3734898642182225,0.29658559268747164,0.28712440761608293,1.0813942450066638,1.897666179928856,-0.35387048000190424,0.8381190561187123,17.911900353530203,185.0,0.6893917459499529,9814.07020161385,49880.36406035543,3.0,3.0,0.0,70.0,0.015,4372.8493150685,2075.0,694.9699999999983,1.9830626145752994,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-07-03', 'net_pnl': 158846.61250241665}"
