track,candidate,period,total_return,cagr,annual_volatility,sharpe,max_drawdown
mixed,False,2018—20,0.004639293967415803,0.0018533951433579166,0.09556072554938037,0.06762441354458647,-0.13718481429352214
mixed,False,2021—22,0.23620671475347677,0.1127429724828295,0.25251512661115333,0.5614705510590029,-0.20906256593091377
mixed,False,2023—24,1.0106134578841433,0.41966252300719176,0.2557070203641431,1.5494904967595258,-0.13582739902523422
mixed,False,2025以后,2.517673742960104,1.1081225206206864,0.34027151989269283,2.43849102193616,-0.1790099457936033
mixed,True,2018—20,0.10791562213749462,0.04184979799025568,0.10703993800767828,0.4480376686445274,-0.12314657667758278
mixed,True,2021—22,-0.03158216849123374,-0.016037553979310615,0.23870489102471684,0.048415394868005654,-0.324429400554787
mixed,True,2023—24,0.7964924012333705,0.34168186326266214,0.26284215125912663,1.2910494321980963,-0.15834558433525037
mixed,True,2025以后,1.9078793127782934,0.883094846361864,0.34961556649117653,2.0480636298980404,-0.2600750131376607
uniform_keyword,False,2018—20,0.004639293967415803,0.0018533951433579166,0.09556072554938037,0.06762441354458647,-0.13718481429352214
uniform_keyword,False,2021—22,0.23620671475347677,0.1127429724828295,0.25251512661115333,0.5614705510590029,-0.20906256593091377
uniform_keyword,False,2023—24,1.0106134578841433,0.41966252300719176,0.2557070203641431,1.5494904967595258,-0.13582739902523422
uniform_keyword,False,2025以后,2.6197434666093518,1.1441811183999744,0.3388786227445339,2.499037718900892,-0.15518788778741877
uniform_keyword,True,2018—20,0.10791562213749462,0.04184979799025568,0.10703993800767828,0.4480376686445274,-0.12314657667758278
uniform_keyword,True,2021—22,-0.03158216849123374,-0.016037553979310615,0.23870489102471684,0.048415394868005654,-0.324429400554787
uniform_keyword,True,2023—24,0.7964924012333705,0.34168186326266214,0.26284215125912663,1.2910494321980963,-0.15834558433525037
uniform_keyword,True,2025以后,1.9781291693886756,0.9099380317041843,0.34816224325253,2.097316092503424,-0.2421995724338114
