test,symbol,total_return,final_equity,challenger_trades,gap_vs_core45
add_one,560280.SH,5.821975423462932,682197.5423462932,0.0,0.0
add_one,561380.SH,5.821975423462932,682197.5423462932,0.0,0.0
add_one,512980.SH,5.981998556408405,698199.8556408405,5.0,16002.31329454726
add_one,513520.SH,5.821975423462932,682197.5423462932,0.0,0.0
add_one,513030.SH,5.821975423462932,682197.5423462932,0.0,0.0
add_one,561360.SH,5.821975423462932,682197.5423462932,0.0,0.0
leave_one_out,drop_560280.SH,5.981998556408405,698199.8556408405,,16002.31329454726
leave_one_out,drop_561380.SH,5.981998556408405,698199.8556408405,,16002.31329454726
leave_one_out,drop_512980.SH,5.821975423462932,682197.5423462932,,0.0
leave_one_out,drop_513520.SH,5.981998556408405,698199.8556408405,,16002.31329454726
leave_one_out,drop_513030.SH,5.981998556408405,698199.8556408405,,16002.31329454726
leave_one_out,drop_561360.SH,5.981998556408405,698199.8556408405,,16002.31329454726
