candidate,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,return_2021_2022,max_drawdown_2021_2022,return_2025_2026,max_drawdown_2025_2026,completed_operations,failed_operations,failed_operation_rate,false_start_rate,material_premature_exit_rate,return_p_raw,return_p_holm,failure_p_raw,failure_p_holm
raw_w150,5.2492756290055995,0.2559450746526102,0.2224422867711686,1.174344623623325,2.036901129325775,-0.22632838451238413,1.1308571622778738,16.103233865660595,247.0,0.5173558187433321,5997.381786747105,33031.294291793725,0.0,0.0,0.0,103.0,0.1928799646120094,-0.22632838451238413,2.8800603815006087,-0.12533492795008694,64.0,44.0,0.6875,0.484375,0.21875,,,,
raw_w100,3.2135998939553563,0.1958669927807437,0.20664072753953203,1.0014512700666403,1.7145591992034486,-0.23009080303228002,0.8512595470983038,17.63212088398413,262.0,0.4889081961864637,6268.630045773659,33803.279766520856,0.0,0.0,0.0,100.0,0.12110646281237036,-0.23009080303228002,1.671161609832157,-0.12527078246947887,71.0,50.0,0.704225352112676,0.5211267605633803,0.22535211267605634,1.0,1.0,1.0,1.0
raw_w125,3.582673152104725,0.20841970320769132,0.20560775773347312,1.0582437940522378,1.8068732390218274,-0.21704080229749323,0.9602789014851449,16.158938372864945,246.0,0.4965153290974436,5712.220957078172,30892.552023362518,0.0,0.0,0.0,97.0,0.10786652319721357,-0.21704080229749323,1.965368507854412,-0.1287809313772338,66.0,47.0,0.7121212121212122,0.48484848484848486,0.25757575757575757,1.0,1.0,1.0,1.0
raw_w175,3.1411341367861,0.19328982992167765,0.22443130328335598,0.9289266592194804,1.6049917923679062,-0.3067680588715912,0.6300846008305775,17.058769777076602,235.0,0.5270255732486786,5247.372506030539,27815.688246516293,0.0,0.0,0.0,85.0,0.17230541005022082,-0.21772709578102012,2.879215810276358,-0.12534178029936427,68.0,49.0,0.7205882352941176,0.5147058823529411,0.20588235294117646,1.0,1.0,1.0,1.0
raw_w200,2.513919539149489,0.16916428300128072,0.2217056667088476,0.8419351726811192,1.4444675293282028,-0.3292539968259913,0.5137804996508,17.329328448399284,237.0,0.5114418843141186,4807.740289556631,25503.352108422532,0.0,0.0,0.0,90.0,0.037098809151219436,-0.2334349961291734,2.7051136683008923,-0.12532185971440202,69.0,51.0,0.7391304347826086,0.5652173913043478,0.17391304347826086,1.0,1.0,1.0,1.0
horizon_normalized,0.8551053494073004,0.07987812542292616,0.20279954347251758,0.49458154519899167,0.7993749007676544,-0.34495836303721183,0.23155874442246652,23.111255198907028,289.0,0.5114410770037986,5114.807536483563,27123.637058485125,0.0,0.0,0.0,91.0,-0.09959807460900727,-0.27092000762561663,1.3842672103025846,-0.23222155730938643,92.0,68.0,0.7391304347826086,0.6195652173913043,0.18478260869565216,1.0,1.0,1.0,1.0
cross_section_rank,1.425745100266771,0.11650316284824513,0.22324348474356248,0.623433125580796,1.041473204615858,-0.47793929191471973,0.24376142497410147,23.23107069923089,312.0,0.521243089290543,6298.993156930664,32996.37683999061,0.0,0.0,0.0,103.0,-0.05827340757524513,-0.33386137500087365,0.983600436274018,-0.2071605492741837,94.0,68.0,0.723404255319149,0.574468085106383,0.26595744680851063,1.0,1.0,1.0,1.0
volatility_adjusted,0.5963126846900151,0.0598882406938539,0.18792622298098027,0.4153540107692882,0.6553086047357252,-0.3417469817813462,0.17524146191924853,24.546709831704188,310.0,0.6125077522669483,5802.972934025682,31333.25333805443,0.0,0.0,0.0,98.0,-0.1767235289050869,-0.27594243604493074,0.5548892533623986,-0.25024925244547336,99.0,81.0,0.8181818181818182,0.6363636363636364,0.18181818181818182,1.0,1.0,1.0,1.0
