symbol,entry_date,exit_date,entry_price,exit_price,startup_anchor_date,peak_date,entry_delay_days,exit_delay_days,holding_days,entry_markup_from_base,post_entry_peak_return,peak_giveback,move_capture_ratio,false_start,entry_forward_max_return_20d,entry_forward_return_20d,post_exit_max_return_10d,fixed_horizon_false_buy,material_premature_exit,failed_operation
512800.SH,2018-09-21,2018-10-17,0.47056399880647665,0.47043478595018384,2018-09-11,2018-09-28,8,8,12,0.02968055102343592,0.04980404173208752,-0.047702839009117315,0.3631026598169661,True,0.04980404173208752,0.024302740003079304,0.045841056579431605,True,False,True
512800.SH,2018-11-06,2018-11-07,0.49058800954818726,0.48741440547704695,2018-10-11,2018-11-08,18,-1,1,0.06649565358403065,-0.001198561725929026,-0.005276742876271889,0.9138132014348846,True,-0.001198561725929026,-0.01750555671308951,0.005304734596765837,True,False,True
512800.SH,2018-11-15,2018-11-20,0.47256640286445617,0.4794239892840385,2018-10-18,2018-11-19,20,1,3,0.02508982105870916,0.024194683421493446,-0.009454562227588115,0.8010431428749131,True,0.024194683421493446,0.000917515759341514,0.005373122951332077,True,False,True
510880.SH,2019-01-28,2019-03-01,1.6509788486957548,1.8887308323860168,2019-01-03,2019-03-06,17,-3,19,0.09408807836751043,0.2077683245994073,-0.052792942762082906,0.7829502627888829,False,0.17748328953927706,0.17748328953927706,0.05573537734825229,False,True,True
513500.SH,2019-04-26,2019-05-10,0.9214813296437263,0.9075430261552332,2019-03-28,2019-04-30,20,5,7,0.05312151959283007,0.008159351840955065,-0.023096871269497,0.6026484089980849,True,0.008159351840955065,-0.027652542886596576,0.014827922502444801,True,False,True
513500.SH,2019-05-20,2019-05-27,0.9244893909156322,0.9045511052310468,2019-05-14,2019-06-10,4,-9,5,0.02493279451483943,0.004879049079255626,-0.026317453465069973,0.09448497301235044,True,0.005960713331136569,0.003797320354331113,0.027028782182372035,True,False,True
513500.SH,2019-06-13,2019-06-19,0.9285001990437506,0.9374619976222515,2019-06-03,2019-07-01,7,-8,4,0.056314209876021426,0.029617410336225225,-0.01939118555138475,0.7592469885319046,True,0.037156481511736006,0.037156481511736006,0.019774639250299098,True,False,True
512800.SH,2019-06-19,2019-07-08,0.535642026257515,0.5373543876171112,2019-05-23,2019-06-20,18,12,13,0.05441340386392968,0.023071288663288225,-0.019426260719863198,0.7338599849796159,True,0.023071288663288225,-0.010533256524259405,-0.0006595035761139956,True,False,True
513500.SH,2019-07-05,2019-08-08,0.9645974124312399,0.9454404137909412,2019-06-06,2019-07-29,20,8,24,0.06350320490952965,0.0107844073356973,-0.03031754802881037,0.5652999710742223,True,0.0107844073356973,-0.0037294182137638243,0.02280375740656715,True,False,True
159915.SZ,2019-08-20,2019-08-30,1.5668780572891237,1.5671172057151794,2019-08-07,2019-09-09,9,-6,8,0.08284590765308808,0.06581360898878419,-0.061606439528944845,0.5386422265094812,False,0.06581360898878419,0.03198840284044158,0.06565096151983352,False,True,True
159915.SZ,2019-09-09,2019-09-17,1.6409668582439425,1.6440248276233673,2019-08-13,2019-09-09,19,5,5,0.11630396347362582,0.017692678371202808,-0.015553970137001438,0.8701243062463898,True,0.017692678371202808,-0.026793262253919092,-0.0012316527364223395,True,False,True
513500.SH,2019-09-24,2019-10-11,0.9946783837437629,0.96837831569314,2019-08-26,2019-09-24,20,8,8,0.047029890763507165,-0.0036980667738835127,-0.02282712517173935,0.4482517991876342,True,0.004344750224262839,0.004344750224262839,0.022327734412482148,True,False,True
159915.SZ,2019-11-01,2019-11-04,1.6109307675361635,1.6220511533260347,2019-10-08,2019-11-07,18,-3,1,0.03530255363766854,0.024873356546106562,-0.0175341424353872,0.6952751490115682,True,0.034184734786046,-0.0067853590697901645,0.017847075601030715,True,False,True
512800.SH,2019-11-05,2019-11-12,0.5666791847229005,0.5573304280996323,2019-10-08,2019-11-06,20,4,5,0.05526849947804324,0.01644809044137574,-0.03241240956340008,0.5212933537721369,True,0.01644809044137574,-0.03296257770001498,0.006584175607390774,True,False,True
513500.SH,2019-11-12,2019-12-18,1.0077134952187536,1.0471649524450302,2019-10-15,2019-12-27,20,-7,26,0.026184828991116627,0.05684806472624415,-0.016746576354161546,0.7851193849954383,False,0.045932226796624454,0.027077608399718844,0.01703180070511867,True,False,True
510500.SH,2019-12-19,2019-12-30,4.566473070144654,4.488607158088684,2019-11-26,2020-01-13,17,-9,7,0.08287243582712667,0.06778247733459053,-0.07944888744677259,0.41215050603354625,False,0.06778247733459053,0.05442427520281701,0.08630578613545348,False,True,True
513500.SH,2019-12-30,2019-12-31,1.065870063662529,1.05514336861372,2019-12-04,2020-01-03,18,-2,1,0.039873257029306775,0.009503889720976488,-0.019383463820976887,0.5910469219459631,True,0.011380266888303181,0.004812890881542353,0.01976660917477968,True,False,True
510300.SH,2019-12-31,2020-01-16,3.5822936687469484,3.663598382854462,2019-12-03,2020-01-13,20,3,11,0.06679381358464753,0.03592846059597243,-0.012773264147614705,0.8657178674162781,True,0.03592846059597243,-0.04921253982454543,0.007206487067347833,True,False,True
513500.SH,2020-02-07,2020-02-24,1.0929430334687231,1.0870570332884788,2020-01-08,2020-02-13,16,7,11,0.04487861327230158,0.0750788616924829,-0.07484504050782559,0.31827167336641604,False,0.0750788616924829,-0.07680463406138749,-0.0028122184742227496,False,False,False
518880.SH,2020-06-04,2020-06-08,3.819578057289124,3.769471129512787,2020-05-07,2020-06-22,20,-10,2,0.025940909592162775,0.017389842463915173,-0.0299868221643389,0.28509888001684935,True,0.03126571369947628,0.02157879532335283,0.030913829677290394,True,False,True
513500.SH,2020-06-08,2020-06-16,1.0598539411187171,1.0152514066576956,2020-05-14,2020-06-09,17,5,6,0.12511037449245088,0.01334717859333101,-0.05470073951937804,0.5549349897701292,True,0.01334717859333101,-0.028168003694390764,0.02437677508549929,True,False,True
159985.SZ,2020-11-03,2020-11-13,1.1093296401023867,1.1626032342910766,2020-09-29,2020-11-23,19,-6,8,0.034822399691835315,0.07452283647738445,-0.024661741949697946,0.7550266998995663,False,0.07452283647738445,0.04387366073057142,0.025285322036886715,False,False,False
159941.SZ,2021-02-04,2021-03-02,0.6758198248624802,0.662207174795866,2021-01-07,2021-02-10,20,9,13,0.06596186325622799,0.01654309530617004,-0.0360885046322007,0.5322110503693251,True,0.01654309530617004,-0.04412388643969256,-0.001822936220522986,True,False,True
510880.SH,2021-03-17,2021-03-26,2.1165368821144104,2.0425460762023926,2021-02-10,2021-04-12,20,-10,7,0.10987778838318873,0.009668247211684244,-0.04419934675320092,0.589330648119786,True,0.009668247211684244,-0.0007261260555648796,0.046243269036339685,True,False,True
513500.SH,2021-03-29,2021-05-11,1.2192831607937813,1.2695629019021988,2021-03-05,2021-05-10,16,1,27,0.05840556708440969,0.060459148793697404,-0.01812612625121357,0.8337796060852521,False,0.05963905420623439,0.05553819018900086,0.005070344270724947,False,False,False
510880.SH,2021-05-13,2021-05-20,2.1926280572891237,2.132437990474701,2021-04-13,2021-06-03,19,-10,5,0.04162852134044481,0.006098632329276432,-0.033346371795710095,0.2716628933608733,True,0.009291134340345675,0.009291134340345675,0.03449671197909443,True,False,True
518880.SH,2021-05-20,2021-06-08,3.810567194271088,3.794441224765777,2021-04-30,2021-06-01,11,5,13,0.051190950143748415,0.011135542080483507,-0.01519820970105612,0.7431635089788632,True,0.011135542080483507,-0.04869805066029931,0.00014728164044819358,True,False,True
512100.SH,2021-06-08,2021-06-28,2.625146378993988,2.6847743638038635,2021-05-11,2021-07-12,20,-10,13,0.09838755806215382,0.06660717083110002,-0.04115199659810742,0.7189618746452796,False,0.03841831159775566,0.03841831159775566,0.0429181647686645,True,False,True
515050.SH,2021-06-29,2021-07-14,0.3994787890195846,0.39352719380855555,2021-06-02,2021-07-12,18,2,11,0.11275429509164048,0.00881450584155985,-0.02350571562697723,0.7847090140511171,True,0.00881450584155985,-0.013714858883781988,0.013907031865381558,True,False,True
510500.SH,2021-07-14,2021-07-27,6.421696834373475,6.332392152404785,2021-06-16,2021-08-10,20,-10,9,0.06867981725764927,0.010013432324846638,-0.023682995248978655,0.6779710011176195,True,0.018110987708966686,0.018110987708966686,0.024257485154648428,True,False,True
513500.SH,2021-08-13,2021-08-30,1.3686855095624924,1.3752766486406325,2021-07-20,2021-08-31,18,-1,11,0.038456412858504097,0.015572953745383256,-0.0105923289250196,0.7955092834199777,True,0.015572953745383256,0.004613543720153768,0.010705727512210661,True,False,True
159865.SZ,2021-10-12,2021-10-13,0.8249888009548187,0.8110255766630173,2021-09-15,2021-10-19,12,-4,1,0.13948733015968773,0.019407802300647203,-0.035641430570973465,0.7438082673139971,True,0.06183258016537807,0.04365053250906481,0.03695869119727524,False,False,False
159865.SZ,2021-10-21,2021-10-27,0.8279924219608308,0.7960435909509659,2021-09-15,2021-11-04,19,-6,4,0.14363597808920026,0.05798068181696103,-0.09127442619811976,0.47397111245395795,False,0.05798068181696103,0.03744914131636112,0.1004422334195465,False,True,True
513500.SH,2021-10-28,2021-11-29,1.3787124999999998,1.391233480978012,2021-10-12,2021-11-19,12,6,22,0.04527103413109246,0.03429830297928382,-0.02438044746954049,0.6750792501178162,True,0.03429830297928382,0.03429830297928382,0.022833332809923057,True,False,True
159941.SZ,2021-11-24,2021-12-02,0.812187002390623,0.7898615957200527,2021-10-27,2021-11-25,20,5,6,0.05205568243417935,0.005925937575728124,-0.033217107810361024,0.3969243993832891,True,0.005925937575728124,-0.028548878022848,0.025496120805537537,True,False,True
159915.SZ,2021-11-30,2021-12-07,3.399073980903626,3.3100230914115905,2021-11-03,2021-12-13,19,-4,5,0.054957822360689024,-0.002963760717000774,-0.02330387989838001,0.5270849018272548,True,-0.002963760717000774,-0.050917959215973196,0.02385990833664353,True,False,True
515050.SH,2021-12-17,2021-12-21,0.41850161265134816,0.40151761000156405,2021-12-07,2022-01-04,8,-9,2,0.05416019412796702,0.01791722222400227,-0.05747039694734668,0.15577923003089258,True,0.01791722222400227,-0.02987234446877407,0.060974633328451766,True,True,True
512200.SH,2021-12-22,2022-01-19,2.317778057289124,2.3321980381011964,2021-11-30,2022-01-11,16,6,19,0.10528287357504551,0.02166815458042337,-0.015119084440449293,0.8678893984728911,True,0.02166815458042337,0.0035473275318520514,0.002487790887319097,True,False,True
159981.SZ,2022-01-24,2022-02-25,1.5999176496505738,1.6360344114303589,2021-12-27,2022-03-07,19,-6,19,0.12353765575271036,0.15943468682817707,-0.11804075762354649,0.4919591402548479,False,0.08255571385349314,0.015677275861607054,0.1338392433027673,False,True,True
515220.SH,2022-02-24,2022-03-16,0.9241075780391695,0.8419883947610856,2022-01-28,2022-03-29,14,-9,14,0.19858306730284148,0.11783521412354503,-0.18490958278825587,0.27094800253888507,False,0.0832072699306583,0.07346807597057636,0.2268577557576903,False,True,True
159981.SZ,2022-03-17,2022-04-06,1.6419679856777192,1.699957621908188,2022-02-17,2022-03-25,20,6,12,0.04251932442318984,0.0846740214515862,-0.04550387163790137,0.6065902531924652,False,0.0846740214515862,0.04752348621480751,0.017672438876197294,False,False,False
510880.SH,2022-04-12,2022-04-22,2.4659556591987615,2.3292016171455385,2022-03-15,2022-04-14,18,6,8,0.16483492641684516,0.027999054392713996,-0.08118282513497921,0.5076591456058828,True,0.027999054392713996,-0.07784232820837955,-0.002233269701885421,True,False,True
518880.SH,2022-05-09,2022-05-16,3.9467303121566775,3.872347693347931,2022-04-06,2022-05-09,20,5,5,0.0288660968404566,-0.001958689919029477,-0.016921096667387503,0.35289081485974333,True,-0.001958689919029477,-0.02349545402641684,0.011531082821381267,True,False,True
159981.SZ,2022-05-30,2022-06-10,1.7390843885421754,1.8517751723766327,2022-05-10,2022-06-08,14,2,8,0.07550056028366647,0.07355341470955845,-0.008154692845801725,0.9391007543563835,False,0.07355341470955845,-0.0374245000273975,-0.012299104411308992,False,False,False
