gate,dimension,value,signal_date,from_symbol,to_symbol,from_rank,to_rank,score_gap,roc20_gap,confirmation_days,new_minus_old_5d,new_minus_old_10d,new_minus_old_20d
formal_complete,rank,3.0,2021-11-09,510630.SH,159865.SZ,6.0,2.0,0.10926631786737773,0.020803167895815156,2,0.002483793255621203,-0.016625169111953886,-0.04533274029171108
formal_complete,rank,3.0,2024-01-15,518880.SH,159941.SZ,8.0,2.0,0.17402926460964785,0.008583997338580174,2,0.06531825913870459,0.06473168347678382,0.057793352336679815
formal_complete,rank,3.0,2024-08-26,518880.SH,513500.SH,4.0,1.0,0.0622155757688454,-0.02498782984955561,2,0.02281833753507878,-0.02298087154479289,-0.05313005078258959
formal_complete,rank,3.0,2024-09-25,518880.SH,159851.SZ,6.0,1.0,0.17705556638194164,0.15189041867493436,2,0.6600943896616791,0.5439237182624816,0.6125992845577743
formal_complete,rank,3.0,2025-01-20,512800.SH,513500.SH,5.0,2.0,0.09024588050719018,-0.004226562450358795,2,-0.025348184101395832,-0.01812644022469323,-0.04724087199518168
formal_complete,rank,3.0,2026-07-29,159985.SZ,512800.SH,7.0,1.0,0.11214647164750419,0.04466192911339939,2,,,
formal_complete,rank,5.0,2024-01-15,518880.SH,159941.SZ,8.0,2.0,0.17402926460964785,0.008583997338580174,2,0.06531825913870459,0.06473168347678382,0.057793352336679815
formal_complete,rank,5.0,2024-09-25,518880.SH,159851.SZ,6.0,1.0,0.17705556638194164,0.15189041867493436,2,0.6600943896616791,0.5439237182624816,0.6125992845577743
formal_complete,margin,0.03,2024-01-15,518880.SH,159941.SZ,8.0,2.0,0.17402926460964785,0.008583997338580174,2,0.06531825913870459,0.06473168347678382,0.057793352336679815
formal_complete,margin,0.03,2024-09-25,518880.SH,159851.SZ,6.0,1.0,0.17705556638194164,0.15189041867493436,2,0.6600943896616791,0.5439237182624816,0.6125992845577743
formal_complete,margin,0.05,2024-01-15,518880.SH,159941.SZ,8.0,2.0,0.17402926460964785,0.008583997338580174,2,0.06531825913870459,0.06473168347678382,0.057793352336679815
formal_complete,margin,0.05,2024-09-25,518880.SH,159851.SZ,6.0,1.0,0.17705556638194164,0.15189041867493436,2,0.6600943896616791,0.5439237182624816,0.6125992845577743
