symbol,entry_date,exit_date,entry_price,exit_price,startup_anchor_date,peak_date,entry_delay_days,exit_delay_days,holding_days,entry_markup_from_base,post_entry_peak_return,peak_giveback,move_capture_ratio,false_start,entry_forward_max_return_20d,entry_forward_return_20d,post_exit_max_return_10d,fixed_horizon_false_buy,material_premature_exit,failed_operation
512800.SH,2018-09-21,2018-10-17,0.47056399880647665,0.47043478595018384,2018-09-11,2018-09-28,8,8,12,0.02968055102343592,0.04980404173208752,-0.047702839009117315,0.3631026598169661,True,0.04980404173208752,0.024302740003079304,0.045841056579431605,True,False,True
512800.SH,2018-11-06,2018-11-13,0.49058800954818726,0.4714336028575897,2018-10-11,2018-11-08,18,3,5,0.06649565358403065,-0.001198561725929026,-0.03789062513836794,0.38111980195364314,True,-0.001198561725929026,-0.01750555671308951,0.026655703886262705,True,False,True
510880.SH,2019-01-28,2019-02-28,1.6509788486957548,1.8777439952373505,2019-01-03,2019-03-06,17,-4,18,0.09408807836751043,0.2077683245994073,-0.058302891297626,0.7602969909855659,False,0.17748328953927706,0.17748328953927706,0.06191257333046862,False,True,True
513500.SH,2019-05-20,2019-05-27,0.9244893909156322,0.9045511052310468,2019-05-14,2019-06-10,4,-9,5,0.02493279451483943,0.004879049079255626,-0.026317453465069973,0.09448497301235044,True,0.005960713331136569,0.003797320354331113,0.027028782182372035,True,False,True
513500.SH,2019-06-13,2019-06-20,0.9285001990437506,0.9374619976222515,2019-06-03,2019-07-04,7,-10,5,0.056314209876021426,0.037156481511736006,-0.02651921278666325,0.6959761367813196,True,0.037156481511736006,0.037156481511736006,0.02724163962452364,True,False,True
513500.SH,2019-07-02,2019-07-09,0.9545704219937323,0.9524214833557606,2019-06-03,2019-07-15,20,-4,5,0.08597316631465546,0.017211505158078122,-0.01913340069906244,0.7980594474002015,True,0.021401880235777826,0.021401880235777826,0.019506628845042506,True,False,True
513500.SH,2019-07-17,2019-08-05,0.967605473703146,0.9574079786002637,2019-06-26,2019-07-29,15,5,13,0.03820331868052462,0.00764211276152893,-0.018043122883500184,0.5908830725748236,True,0.00764211276152893,-0.007860120025686479,0.010018747747594814,True,False,True
159915.SZ,2019-08-20,2019-08-30,1.5668780572891237,1.5671172057151794,2019-08-07,2019-09-09,9,-6,8,0.08284590765308808,0.06581360898878419,-0.061606439528944845,0.5386422265094812,False,0.06581360898878419,0.03198840284044158,0.06565096151983352,False,True,True
159915.SZ,2019-09-09,2019-09-27,1.6409668582439425,1.5601256361961364,2019-08-13,2019-09-09,19,13,13,0.11630396347362582,0.017692678371202808,-0.06579300821080769,0.4506281990867371,True,0.017692678371202808,-0.026793262253919092,0.036454979183644376,True,False,True
513500.SH,2019-09-27,2019-10-11,0.9886622014343739,0.96837831569314,2019-08-29,2019-10-22,20,-7,5,0.026648184760039273,0.0013531498427150623,-0.02184009458113112,0.19919682130754926,True,0.011467818380410444,0.011467818380410444,0.022327734412482148,True,False,True
159915.SZ,2019-11-01,2019-11-18,1.6109307675361635,1.6110644352436065,2019-10-08,2019-11-19,18,-1,11,0.03530255363766854,0.034184734786046,-0.032974533647322724,0.5005857618610507,True,0.034184734786046,-0.0067853590697901645,0.034098929960647784,True,False,True
513500.SH,2019-11-19,2019-12-18,1.0317783439874648,1.0471649524450302,2019-10-23,2019-12-27,19,-7,21,0.04855519866669744,0.032198498278810384,-0.016746576354161546,0.7798136029522666,True,0.021537257657314957,0.01862963607529866,0.01703180070511867,True,False,True
512800.SH,2019-12-20,2019-12-27,0.5686816186189652,0.5663195719003677,2019-11-29,2020-01-03,15,-4,5,0.043452479274262545,0.014627522752968858,-0.018510311313911454,0.6662359911412609,True,0.014627522752968858,-0.008232388695658677,0.018859404767350263,True,False,True
159915.SZ,2019-12-27,2020-01-06,1.7300736448764802,1.753892841911316,2019-11-29,2020-01-20,20,-10,5,0.08129601193523395,0.10110917938743547,-0.07932132900149913,0.5045667033935574,False,0.10862331699804573,0.04966629028723535,0.08615528033844111,False,True,True
518880.SH,2020-06-04,2020-06-08,3.819578057289124,3.769471129512787,2020-05-07,2020-06-22,20,-10,2,0.025940909592162775,0.017389842463915173,-0.0299868221643389,0.28509888001684935,True,0.03126571369947628,0.021578795323352606,0.030913829677290394,True,False,True
159941.SZ,2020-06-08,2020-06-30,0.5444660827875137,0.5465203781247139,2020-05-14,2020-07-13,17,-9,14,0.07815066916541924,0.07995707742301894,-0.07054357386409316,0.5002455511598122,False,0.052407178229868956,0.0505705401783727,0.07589766650747554,False,True,True
159985.SZ,2020-11-03,2020-11-13,1.1093296401023867,1.1626032342910766,2020-09-29,2020-11-23,19,-6,8,0.034822399691835315,0.07452283647738445,-0.024661741949697946,0.7550266998995663,False,0.07452283647738445,0.04387366073057142,0.025285322036886715,False,False,False
513500.SH,2021-03-25,2021-04-02,1.194215684700012,1.2456276533961295,2021-03-05,2021-04-16,14,-9,6,0.03664560426073882,0.08188166665861685,-0.03589195041152127,0.6687688059325307,False,0.08188166665861685,0.0617847537266627,0.03722814100228855,False,False,False
159941.SZ,2021-04-09,2021-04-29,0.7008873009562492,0.7030964833557606,2021-03-19,2021-04-14,14,11,14,0.08833432873091063,0.013001630324370073,-0.00972323295099331,0.8954015638998062,True,0.013001630324370073,-0.04977589453480202,-0.0029818214155851175,True,False,True
