variant,threshold,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,cash_management_annual_rate,cash_interest_income,cash_interest_calendar_days,cash_management_fees,return_calibration_2018_2020,mdd_calibration_2018_2020,return_oos_2021_2022,mdd_oos_2021_2022,return_oos_2023_2024,mdd_oos_2023_2024,return_oos_2025_2026,mdd_oos_2025_2026,return_oos_2021_2026,mdd_oos_2021_2026,candidate_day_rate_calibration,candidate_day_rate_oos
momentum_absolute_exit,0.9206349206349206,-0.0548097487759851,-0.006962009342425635,0.20103173810055996,0.06353130003076872,0.10252826580332165,-0.5101502444965446,-0.013646978351046916,19.082905648842722,223.0,0.5039720700370337,4431.738638559351,22010.465680226676,0.0,0.0,0.0,61.0,0.015,6308.712328767141,2947.0,1029.4499999999996,0.23177683431387708,-0.10096146586216503,-0.45124892855256094,-0.5101502444965446,0.5092474239216409,-0.26605733897363704,-0.07348729939029663,-0.291097385478571,-0.2326611242445522,-0.5101502444965446,0.24058919803600654,0.414996288047513
momentum_relative_exit_ablation,0.9206349206349206,-0.028666019585757763,-0.0035982832911388707,0.20375663800009775,0.08253072907567265,0.1344517613758985,-0.5575445535965523,-0.006453804037592022,20.608985736328812,249.0,0.5123203557611428,4951.454935350555,25400.830887485146,0.0,0.0,0.0,72.0,0.015,6418.6438356164135,2947.0,1046.7999999999997,0.37384405252390884,-0.10545516270549693,-0.5009016955581687,-0.5543428490186679,0.6130827223551241,-0.23604919153997528,-0.12181015649815774,-0.296298408145502,-0.2929809037424659,-0.5575445535965523,0.24058919803600654,0.414996288047513
momentum_quality_absolute_exit,0.8343253968253967,0.6674367118769715,0.06541966533788579,0.20864291869296206,0.4189490971136602,0.6931081917914329,-0.469077719900561,0.13946444813399791,19.514912847690315,263.0,0.5332220378567624,6528.813936499816,33094.58832484603,3.0,3.0,0.0,100.0,0.015,7567.438356164357,2947.0,1219.1000000000072,0.3884700669257093,-0.13307534145816946,-0.15575450401184865,-0.35617798397090683,0.26480949276161736,-0.322005952199128,0.12465409462652799,-0.19455198312599564,0.20091657112129058,-0.469077719900561,0.24222585924713586,0.36674090571640683
momentum_quality_relative_exit_ablation,0.8343253968253967,1.3787300557294437,0.11338167347337103,0.2461562061423503,0.5750201487688814,0.9778333212387132,-0.5691754648936831,0.19920337482317463,20.08318301553878,266.0,0.5850006864491752,6245.742978100208,31365.051116439718,0.0,0.0,0.0,88.0,0.015,6241.479452054782,2947.0,1012.6600000000026,0.27248369457315835,-0.16980190022187713,-0.20636537637833907,-0.40847524624089226,0.289566457874062,-0.41906384026266064,0.8265375258534817,-0.17360347834473122,0.8693599500521414,-0.5691754648936831,0.24222585924713586,0.36674090571640683
momentum_quality_crowding_absolute_exit,0.8097619047619048,1.6924601383911848,0.1306092383599713,0.20450516057811646,0.7250484017359443,1.2171213921907433,-0.3856984335618251,0.3386304609895063,19.23571249469448,261.0,0.5438104477585621,6930.060105185399,34722.42266338885,0.0,0.0,0.0,101.0,0.015,7831.767123287712,2947.0,1254.6600000000021,0.3486429955631807,-0.12715798624407804,-0.14447285700412005,-0.34795525499648206,0.12225548165011557,-0.21319878237046408,1.0793459603896314,-0.17099011223366611,0.9964216974017195,-0.3856984335618251,0.24222585924713586,0.3682256867112101
momentum_quality_crowding_relative_exit_ablation,0.8097619047619048,1.1727529432697983,0.10095337580055475,0.22649630461855375,0.5535418378839189,0.9191881801328506,-0.49024374503847157,0.20592486252452338,20.233770490757482,292.0,0.5819802965415113,6323.984802882003,31912.16381112813,0.0,0.0,0.0,109.0,0.015,6174.205479452055,2947.0,1009.2800000000012,0.257202723204216,-0.1946544369016895,-0.17147185023687206,-0.38619330852443023,0.060749305030340484,-0.34657592733516607,0.9664595141692756,-0.15647100121123603,0.7282439046362637,-0.49024374503847157,0.24222585924713586,0.3682256867112101
balanced_risk_absolute_exit,0.7673809523809524,2.2973465496499625,0.1593674744584177,0.20424998354334467,0.8532917264309592,1.4617522913596992,-0.33992577096230236,0.46883022139586905,19.904576281092996,284.0,0.5262099671844531,6463.783404058981,33106.271923449065,5.0,0.0,5.0,115.0,0.015,7930.767123287679,2947.0,1274.0199999999977,0.2507011170647697,-0.18329269030202944,-0.16843578554022143,-0.3125959801762487,0.2964140091984113,-0.12585069617425482,1.4455218581385672,-0.180567945358167,1.6363985005373625,-0.33992577096230236,0.24222585924713586,0.3890126206384558
balanced_risk_relative_exit_ablation,0.7673809523809524,1.5955889737212514,0.12548635499325034,0.21351087778525427,0.680940358852417,1.1647236460023185,-0.31310510809274117,0.40078028671471405,20.909539228520277,303.0,0.5500893030239744,6155.123615286676,30834.021368136422,0.0,0.0,0.0,114.0,0.015,6617.219178082167,2947.0,1075.9899999999977,0.1411586524492794,-0.24657371293616137,-0.13447229630649205,-0.31310510809274117,0.09759198809540037,-0.14933104796351804,1.3942417056492902,-0.17455965403189466,1.2745206971443581,-0.31310510809274117,0.24222585924713586,0.3890126206384558
raw_momentum_absolute_exit,0.21689289725459038,-0.3029356124731849,-0.043741506852644774,0.2707999294088103,-0.036581919851434094,-0.058179011416320724,-0.7036225035619117,-0.062166156754814426,21.984510203073256,257.0,0.6173060031715852,3907.1227227816307,19588.885730239763,0.0,0.0,0.0,69.0,0.015,3629.7945205479523,2947.0,602.2599999999985,-0.06129316587336453,-0.3047445223985399,-0.4611148703291623,-0.5633411258509342,0.34461700926667604,-0.4609706901827695,0.02482123458644936,-0.4213806154775096,-0.2574205681847862,-0.6585867501523902,0.24222585924713586,0.47512991833704527
raw_momentum_relative_exit_ablation,0.21689289725459038,0.0010019968256975709,0.00012413261318289237,0.2602232054630205,0.13009260175134785,0.2099785912925439,-0.5739182331034482,0.0002162897186793464,23.869960720947844,282.0,0.5954649698629813,4806.288523752763,25103.06177502571,0.0,0.0,0.0,83.0,0.015,4171.150684931511,2947.0,676.1099999999972,-0.08009422527742238,-0.3141728254181163,-0.43650471009904346,-0.5274189275387593,0.8510031188371923,-0.2933767536009174,0.04326384744771117,-0.3239024081139855,0.08815709644564063,-0.5318948635232006,0.24222585924713586,0.47512991833704527
raw_momentum_quality_floor_absolute_exit,0.19526477549310783,0.16424236527414227,0.01902629894039598,0.26662366551610966,0.20593089956806024,0.3390128693751372,-0.5988228480485422,0.031772833989884196,20.00738348731394,246.0,0.6405675162880466,4216.540201738175,20941.190480548732,0.0,0.0,0.0,68.0,0.015,3850.3150684931456,2947.0,628.3800000000002,-0.07044901391715586,-0.28880546893322934,-0.3740957731956672,-0.4684720013370498,0.6257047736875676,-0.37501979102191074,0.23089389407238103,-0.3001145186605513,0.25247822088844707,-0.5031961699615037,0.24222585924713586,0.4491462509279881
raw_momentum_quality_floor_relative_exit_ablation,0.19526477549310783,0.7614822457008046,0.07268956124931947,0.26439229109835244,0.40729224190012686,0.6664549836741727,-0.6356863517755467,0.11434815463048559,21.429747905088842,254.0,0.6401546184051744,4968.183242563954,24636.852625578053,0.0,0.0,0.0,69.0,0.015,4066.027397260279,2947.0,642.5899999999966,-0.2122356655062847,-0.39431708656795295,-0.3730974116362361,-0.4946474995664564,1.2171554876485318,-0.22634891817954905,0.6087395607646771,-0.2463698884968849,1.2360522920003527,-0.4946474995664564,0.24222585924713586,0.4491462509279881
raw_momentum_quality_crowding_gate_absolute_exit,0.1842668736526475,0.339181267236051,0.03686071531544033,0.26217662898529437,0.2741193397495215,0.44042310470233037,-0.39821514269178504,0.0925648258031468,18.73452508194775,255.0,0.6519342303195064,5080.862516541998,26490.23800490677,0.0,0.0,0.0,87.0,0.015,4537.027397260267,2947.0,724.8999999999984,0.08535214004405911,-0.23224288688744565,-0.2607836861210382,-0.39821514269178504,0.4695814976835653,-0.21147471069644974,0.13580422660226832,-0.3848810915719262,0.23386799346218434,-0.39821514269178504,0.24222585924713586,0.4639940608760208
