variant,threshold,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,cash_management_annual_rate,cash_interest_income,cash_interest_calendar_days,cash_management_fees,return_calibration_2018_2020,mdd_calibration_2018_2020,return_oos_2021_2022,mdd_oos_2021_2022,return_oos_2023_2024,mdd_oos_2023_2024,return_oos_2025_2026,mdd_oos_2025_2026,return_oos_2021_2026,mdd_oos_2021_2026,candidate_day_rate_calibration,candidate_day_rate_oos,threshold_multiple
raw_primary_threshold_x0.750,0.13820015523948562,-0.18309334562038582,-0.02475285723987719,0.23248822266368152,0.0047940498633524615,0.007329205190245836,-0.4789296003856396,-0.051683707208629213,21.38387495687682,290.0,0.7272539586617951,4554.678640044186,23648.247620331647,0.0,0.0,0.0,101.0,0.015,3076.273972602738,2947.0,490.67000000000013,-0.030350045595573416,-0.27257120996883166,-0.3063010720825192,-0.45301303181290375,0.2460462842816793,-0.2279476641740278,-0.025341993747161506,-0.23721426221745434,-0.15752416563421545,-0.45301303181290375,0.37970540098199673,0.6310319227913883,0.75
raw_primary_threshold_x0.875,0.16123351444606654,-0.2239481724890775,-0.030934570799281635,0.24850666406687416,-0.006927765576374727,-0.0107838955131535,-0.484063480951501,-0.06390602062868903,20.297249212844548,260.0,0.6650281349399662,4359.353163018938,22173.900140233032,0.0,0.0,0.0,84.0,0.015,3812.301369863029,2947.0,611.9600000000027,0.026101565614820244,-0.23906716339956824,-0.346837896594849,-0.4823316354889642,0.32174838407258477,-0.19725157497157153,-0.12394654116554671,-0.3644810050465781,-0.24368907180652521,-0.4823316354889642,0.3044189852700491,0.5508537490720119,0.875
raw_primary_threshold_x0.950,0.1750535299700151,0.2665298677530683,0.029717553165056643,0.2646886301410144,0.24689121191176172,0.3979784678570403,-0.4151988856041534,0.07157426042176103,19.103155967775713,258.0,0.6726389681497392,4938.808331544534,25428.463331794745,0.0,0.0,0.0,90.0,0.015,4067.8767123287853,2947.0,644.3200000000012,0.0353461996800577,-0.23224288688744565,-0.2816841240368061,-0.4151988856041534,0.4619084284370345,-0.2082040185923496,0.16491491841937211,-0.3691171250371501,0.2232911736619605,-0.4151988856041534,0.265139116202946,0.4974016332590943,0.95
raw_primary_threshold_x1.000,0.1842668736526475,0.339181267236051,0.03686071531544033,0.26217662898529437,0.2741193397495215,0.44042310470233037,-0.39821514269178504,0.0925648258031468,18.73452508194775,255.0,0.6519342303195064,5080.862516541998,26490.23800490677,0.0,0.0,0.0,87.0,0.015,4537.027397260267,2947.0,724.8999999999984,0.08535214004405911,-0.23224288688744565,-0.2607836861210382,-0.39821514269178504,0.4695814976835653,-0.21147471069644974,0.13580422660226832,-0.3848810915719262,0.23386799346218434,-0.39821514269178504,0.24222585924713586,0.4639940608760208,1.0
raw_primary_threshold_x1.050,0.19348021733527987,-0.15046105695471934,-0.020006927870900415,0.25811553826519545,0.04738870192819676,0.07563687868661158,-0.5521652967366794,-0.03623358437979029,19.75805890277539,241.0,0.6332488501240434,4130.923848832711,21355.925719660507,0.0,0.0,0.0,70.0,0.015,4078.8493150684953,2947.0,658.2500000000025,0.05972603214932315,-0.2500978508828726,-0.4655562174336837,-0.5135561555831987,0.3783170523510506,-0.23164292573777134,0.08827469426522594,-0.3794317162345089,-0.19834096995592687,-0.5135561555831987,0.22749590834697217,0.42538975501113585,1.05
raw_primary_threshold_x1.125,0.20730023285922844,-0.16690560779282926,-0.022378211397594217,0.24956797549715976,0.030316712076968514,0.048109490367310034,-0.5766159739946799,-0.03880955853956396,18.004105210933307,220.0,0.6113311887178613,3661.256816088996,18598.623783583047,0.0,0.0,0.0,62.0,0.015,4135.027397260278,2947.0,678.7500000000026,0.015536280840309002,-0.27464510914006013,-0.4350720437771095,-0.5589421481418859,0.12332409184456306,-0.2342356988308093,0.29270856832772685,-0.2589342423871641,-0.17965078360585596,-0.5766159739946799,0.18821603927986907,0.3741648106904232,1.125
raw_primary_threshold_x1.250,0.23033359206580936,0.1844607633531512,0.02120309764057593,0.24898452974582813,0.21175194998409952,0.3321315484302591,-0.4757610317940537,0.044566696773421906,15.310183145961604,204.0,0.5331035733541941,3737.175674779897,18616.134416881803,0.0,0.0,0.0,66.0,0.015,5520.780821917806,2947.0,898.8200000000012,-0.015171545678982379,-0.26445273339372366,-0.3293851961668365,-0.4736302357110139,0.4965313156298785,-0.20956507173799765,0.1983981927267835,-0.34115715946875413,0.2027076981338527,-0.4736302357110139,0.13747954173486088,0.3021529324424647,1.25
