variant,start,cost,capital,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,cash_management_annual_rate,cash_interest_income,cash_interest_calendar_days,cash_management_fees,without_best_round_return
baseline,2018-07-02,1,100000,7.783859913346859,0.30376974886913577,0.24166279093963597,1.2584559186491233,2.2045668124780744,-0.20906256593091377,1.4530088039267568,17.022602908259394,295.0,0.547036360107782,9009.296774651968,48727.18735511541,3.0,3.0,0.0,132.0,0.015,9636.452054794549,2992.0,1562.940000000002,4.4334769183891485
baseline,2018-07-02,2,100000,5.906235751948835,0.266049956414675,0.24373051714456112,1.1247910687865432,1.9695849471867017,-0.23389242959289547,1.1374885321331336,17.092046260716344,280.0,0.5492390032990342,15425.300761911847,83252.59800588014,3.0,3.0,0.0,120.0,0.015,8314.232876712307,2992.0,1348.9200000000028,3.2684522075571865
baseline,2018-07-02,1,9825,11.009391981207575,0.3545127763104736,0.2552356411845518,1.3594091162278072,2.473107545739237,-0.2025355093608684,1.7503734403374134,17.337061086484663,143.0,0.5549600537936852,1291.0372490425343,6088.274041002991,0.0,0.0,0.0,0.0,0.015,1016.7945205479443,2992.0,165.73000000000098,6.3618417321960985
baseline,2021-01-04,1,100000,7.748440280354613,0.4648814795723655,0.28290058011619207,1.5412810226990947,2.7746312112175033,-0.20900219323884395,2.22428995776665,18.57384463998282,227.0,0.6895063260982887,7954.62438835828,42400.774634138346,3.0,3.0,0.0,98.0,0.015,6785.835616438365,2075.0,1091.9900000000007,4.411377851420576
baseline,2023-01-03,1,100000,6.005066206397711,0.6959409036720381,0.29750334543733203,1.9916388704581796,3.6780895114499295,-0.17870999021780498,3.8942473379571654,18.688471437057494,119.0,0.7445657296274987,5354.973548808619,28752.719678015113,3.0,3.0,0.0,42.0,0.015,4209.780821917804,1346.0,683.5200000000001,3.3166780889565555
baseline,2024-01-02,1,100000,5.404630004219213,0.9951310888086515,0.3368328744108733,2.297329177805135,4.295172873988149,-0.1790469335263163,5.557934275720993,21.229256710496593,91.0,0.7998394577236497,4579.8223668356795,24094.154167388682,3.0,3.0,0.0,29.0,0.015,3194.4657534246585,982.0,527.2200000000003,2.9397966357667045
baseline,2025-01-02,1,100000,2.5066072515116593,1.1041875802348056,0.3418283123936784,2.4232456647629035,4.457844628786573,-0.17653106466358148,6.254919395286469,16.501087187493546,33.0,0.7571274468986117,1995.6517888554165,10188.012920140029,0.0,0.0,0.0,5.0,0.015,1553.7123287671227,616.0,257.58999999999986,1.1492670798347762
observed_breadth,2018-07-02,1,100000,8.801350509891648,0.32133140970784235,0.2467094023979078,1.2940692724382774,2.2601344059277046,-0.23272607403342793,1.3807280127180226,19.837343267201316,374.0,0.6219400511993048,11049.678890413996,58211.67187103214,3.0,3.0,0.0,182.0,0.015,10072.068493150698,2992.0,1625.8499999999979,5.072365371114471
observed_breadth,2018-07-02,2,100000,6.474387391665426,0.2783277270720059,0.2487802177580372,1.1472940115103336,2.0037348563132444,-0.2656866252264999,1.0475789921104588,19.980161933858383,343.0,0.6249945838488409,18593.85045187105,97627.16479659318,3.0,3.0,0.0,152.0,0.015,8364.041095890425,2992.0,1351.0700000000027,3.6265005397862122
observed_breadth,2018-07-02,1,9825,13.269111830181712,0.3833230832025454,0.2620342463990055,1.4142667299837228,2.5684952337684925,-0.2235002555504132,1.7150901338279776,20.49691837406096,169.0,0.6328191486237372,1572.471736356105,7588.870057293176,0.0,0.0,0.0,0.0,0.015,1113.57534246575,2992.0,181.23999999999995,7.746018573183557
observed_breadth,2021-01-04,1,100000,7.040462568439384,0.4432822683433628,0.28462125231396773,1.4794367644435664,2.6652817880547643,-0.2214362979722444,2.001850068857841,20.38357391498562,226.0,0.7019020208783178,7691.851173747631,40850.838929368234,3.0,3.0,0.0,89.0,0.015,6129.657534246566,2075.0,987.8000000000027,3.96697108605023
observed_breadth,2023-01-03,1,100000,5.867415637255664,0.6868322311584563,0.2979916182896447,1.9700637134260879,3.640311177635638,-0.17878365147794595,3.8416948388772627,19.240616092394948,119.0,0.7482207160280918,5326.4662408321265,28509.797830899945,3.0,3.0,0.0,40.0,0.015,4106.876712328768,1346.0,667.0000000000002,3.2302823558911093
observed_breadth,2024-01-02,1,100000,5.404630004219213,0.9951310888086515,0.3368328744108733,2.297329177805135,4.295172873988149,-0.1790469335263163,5.557934275720993,21.229256710496593,91.0,0.7998394577236497,4579.8223668356795,24094.154167388682,3.0,3.0,0.0,29.0,0.015,3194.4657534246585,982.0,527.2200000000003,2.9397966357667045
observed_breadth,2025-01-02,1,100000,2.5066072515116593,1.1041875802348056,0.3418283123936784,2.4232456647629035,4.457844628786573,-0.17653106466358148,6.254919395286469,16.501087187493546,33.0,0.7571274468986117,1995.6517888554165,10188.012920140029,0.0,0.0,0.0,5.0,0.015,1553.7123287671227,616.0,257.58999999999986,1.1492670798347762
no_dde,2018-07-02,1,100000,3.6176182948007334,0.2053389375131598,0.22253189470435186,0.9808409658407918,1.678088310009429,-0.20906256593091377,0.9821889279834799,17.827425855800573,300.0,0.5143046184100154,7745.871203389274,44357.28465571581,3.0,3.0,0.0,131.0,0.015,9791.917808219216,2992.0,1592.780000000005,1.9729783075087743
no_dde,2018-07-02,2,100000,2.656848091931649,0.17149807246356907,0.2252458906935329,0.8404989500346698,1.4382328685363992,-0.23389242959289547,0.7332348155178527,17.90920297214063,283.0,0.5160606856484188,13347.099539722492,76138.90016261462,3.0,3.0,0.0,117.0,0.015,8516.753424657543,2992.0,1386.480000000006,1.3515651666714827
no_dde,2018-07-02,1,9825,5.124064560800193,0.24760842724806853,0.23457871237619857,1.0940954175905906,1.9460513483521649,-0.2025355093608684,1.2225432865053372,18.30155410267605,151.0,0.5212244673019724,1058.4392729669307,5117.538600529432,0.0,0.0,0.0,0.0,0.015,1038.863013698632,2992.0,170.25000000000082,2.8767888371924593
no_dde,2021-01-04,1,100000,3.6026419679234856,0.308293675863089,0.2595136643622243,1.203472958886866,2.112477833800035,-0.20900219323884395,1.4750738788218194,19.736208832947227,232.0,0.6423117970725498,6697.448485630713,38060.60862545192,3.0,3.0,0.0,97.0,0.015,6946.068493150676,2075.0,1122.4799999999989,1.9632606710064033
no_dde,2023-01-03,1,100000,2.786120332414388,0.4351542958363557,0.2639997774674575,1.5516868472746599,2.7845751463591326,-0.15889013128830454,2.7387119156366775,20.529922022430494,122.0,0.6707367309122861,4356.120459902936,25382.412584352485,3.0,3.0,0.0,39.0,0.015,4477.808219178067,1346.0,731.7700000000012,1.4243678198332725
no_dde,2024-01-02,1,100000,2.4971874816116704,0.5930651512976761,0.29741222541582973,1.773176342844158,3.216006464747631,-0.1589175888649632,3.731903784430183,23.788684941501074,92.0,0.6984101410469088,3645.5600444619727,21036.860910070536,3.0,3.0,0.0,24.0,0.015,3482.3013698630116,982.0,579.0400000000008,1.233427258295316
no_dde,2025-01-02,1,100000,1.0470197602137112,0.5292418483458874,0.27545158274373766,1.7324680689373153,3.071256684757677,-0.12424879811875611,4.259532940029262,19.757355584038223,40.0,0.6369782261923317,1543.1626648640897,8844.356559841632,0.0,0.0,0.0,6.0,0.015,1776.0000000000034,616.0,295.10000000000014,0.2953444391991549
specific_mapping,2018-07-02,1,100000,4.532448917269562,0.2322307446997498,0.2374892625575036,1.0298593023958027,1.7709236211604766,-0.20906256593091377,1.110819355276124,18.554860108415987,313.0,0.532311954201052,8371.748506888332,45985.40912396904,3.0,3.0,0.0,135.0,0.015,8534.301369863057,2992.0,1385.6600000000058,2.3921335895523494
specific_mapping,2018-07-02,2,100000,3.340439901651794,0.19626466031115042,0.24014283243086904,0.8930760727981193,1.5370420372272067,-0.23389242959289547,0.8391236118790225,18.63587462825268,296.0,0.5344170641352164,14324.511475205914,78500.00794650795,3.0,3.0,0.0,121.0,0.015,7473.986301369861,2992.0,1214.360000000007,1.668419508074157
specific_mapping,2018-07-02,1,9825,6.30821386383263,0.2748239678537938,0.2492105009315411,1.1338254131828576,2.0176288262758866,-0.2025355093608684,1.3569174547270384,19.034936342011612,157.0,0.5399658867361865,1140.0327725316718,5349.608366793393,0.0,0.0,0.0,0.0,0.015,870.9041095890401,2992.0,142.0700000000011,3.48149923645554
specific_mapping,2021-01-04,1,100000,4.514973553373478,0.3506086067326364,0.27793509666164895,1.2603506556354516,2.2252673561562673,-0.20900219323884395,1.6775355382609176,20.784716566775696,245.0,0.6682894864563094,7321.257514634518,39682.12109351455,3.0,3.0,0.0,101.0,0.015,5692.80821917808,2075.0,916.1000000000017,2.3812210983159865
specific_mapping,2023-01-03,1,100000,3.516821153560934,0.5055499953806797,0.29177166431670565,1.6008196899645364,2.8862501961866402,-0.19804967120015793,2.552642437208331,22.14517319285176,133.0,0.7114921587846859,4848.362344817018,26637.874198206067,3.0,3.0,0.0,42.0,0.015,3423.164383561639,1346.0,557.6900000000007,1.768321070685547
specific_mapping,2024-01-02,1,100000,3.1779291834773007,0.7020149603543462,0.33110101076635284,1.8322446611314713,3.344134653331724,-0.19764074572851553,3.551974861087866,26.00362064345571,102.0,0.7545749085467954,4108.657199230748,22208.35519126296,3.0,3.0,0.0,27.0,0.015,2508.2876712328757,982.0,418.0099999999993,1.5607308588459374
specific_mapping,2025-01-02,1,100000,1.4245105091939303,0.6906680568207897,0.33133463304500066,1.804847434961757,3.2450051896427987,-0.20185896413166937,3.42153770476241,23.268876808219723,49.0,0.727194297459782,1805.0875544913263,9466.967021564842,0.0,0.0,0.0,8.0,0.015,1188.8630136986299,616.0,197.57999999999996,0.486089477321618
live_schema,2018-07-02,1,100000,2.8146622072190723,0.1775559812092491,0.22275455227193985,0.8714770922290774,1.4845867880186288,-0.24037097807477592,0.7386747877441927,18.34435401347471,305.0,0.5136188397175074,7547.336669903762,42299.47047115623,3.0,3.0,0.0,130.0,0.015,9120.00000000003,2992.0,1482.3100000000118,1.4431268820113674
live_schema,2018-07-02,2,100000,2.0135498938868333,0.14415206878346232,0.22562579764654758,0.7308719762154472,1.245760870009405,-0.26578044110230636,0.5423727501753003,18.43405803653255,288.0,0.5155627210168751,13009.358892852822,72780.06117358805,3.0,3.0,0.0,117.0,0.015,7967.835616438393,2992.0,1296.1500000000017,0.9248061783377901
live_schema,2018-07-02,1,9825,3.927444001624326,0.21493254001330464,0.235150035864723,0.9748961884719799,1.7261354390574297,-0.2469598448005722,0.8703137151178135,18.789819142714894,155.0,0.5208574972877973,1013.5948871672276,4753.386479761001,0.0,0.0,0.0,0.0,0.015,941.1780821917798,2992.0,154.06000000000137,2.118051424668485
live_schema,2021-01-04,1,100000,2.8022415196259076,0.26503040542331147,0.259831069475582,1.0679309985616092,1.8668881265931705,-0.24037410383944058,1.1025746999782482,20.48107919425676,237.0,0.6412979146405641,6498.926327382213,36007.79487116753,3.0,3.0,0.0,96.0,0.015,6276.657534246598,2075.0,1012.4399999999976,1.4349930981196244
live_schema,2023-01-03,1,100000,2.1304678674231656,0.3629763494901239,0.2649645339061628,1.3446527941747193,2.40111528658589,-0.24057692290688182,1.5087745952699638,21.694155441135077,127.0,0.6696050098486236,4185.142944524708,23698.880809814935,3.0,3.0,0.0,39.0,0.015,3925.2739726027353,1346.0,640.8800000000007,0.9912948486737532
