variant,period,total_return,cagr,annual_volatility,sharpe,max_drawdown
baseline,2018—20,0.004639293967415803,0.0018533951433579166,0.09556072554938037,0.06762441354458647,-0.13718481429352214
baseline,2021—22,0.23620671475347677,0.1127429724828295,0.25251512661115333,0.5614705510590029,-0.20906256593091377
baseline,2023—24,1.0106134578841433,0.41966252300719176,0.2557070203641431,1.5494904967595258,-0.13582739902523422
baseline,2025以后,2.517673742960104,1.1081225206206864,0.34027151989269283,2.43849102193616,-0.1790099457936033
observed_breadth,2018—20,0.27462049502402563,0.10194046179586946,0.13459273730315274,0.8110553661095085,-0.11888234118295515
observed_breadth,2021—22,0.1289239901209016,0.06299718320381764,0.25311026953013394,0.3743528068435318,-0.23272607403342793
observed_breadth,2023—24,0.9479082806882511,0.3972735902642379,0.2538834218890326,1.49375506185212,-0.14949571465301037
observed_breadth,2025以后,2.4968082426205447,1.1006991001215467,0.33966472139576276,2.431478367670217,-0.17821630158731283
no_dde,2018—20,0.004639293967415803,0.0018533951433579166,0.09556072554938037,0.06762441354458647,-0.13718481429352214
no_dde,2021—22,0.23620671475347677,0.1127429724828295,0.25251512661115333,0.5614705510590029,-0.20906256593091377
no_dde,2023—24,0.8941931952097291,0.3778073039245382,0.25360525283390134,1.437740925813983,-0.13582739902523422
no_dde,2025以后,0.9628743470700971,0.491650863981413,0.2740817587090478,1.6457103015909067,-0.12425588662775233
specific_mapping,2018—20,0.004639293967415803,0.0018533951433579166,0.09556072554938037,0.06762441354458647,-0.13718481429352214
specific_mapping,2021—22,0.23620671475347677,0.1127429724828295,0.25251512661115333,0.5614705510590029,-0.20906256593091377
specific_mapping,2023—24,0.8941931952097291,0.3778073039245382,0.25360525283390134,1.437740925813983,-0.13582739902523422
specific_mapping,2025以后,1.3517539482229517,0.6603990467522198,0.32898335773565623,1.7585161474250643,-0.19494656254698017
live_schema,2018—20,0.004639293967415803,0.0018533951433579166,0.09556072554938037,0.06762441354458647,-0.13718481429352214
live_schema,2021—22,0.23620671475347677,0.1127429724828295,0.25251512661115333,0.5614705510590029,-0.20906256593091377
live_schema,2023—24,0.8941931952097291,0.3778073039245382,0.25360525283390134,1.437740925813983,-0.13582739902523422
live_schema,2025以后,0.62155078901151,0.33191303540226325,0.2752734280905963,1.2137172507663105,-0.18412249678788528
simple_price,2018—20,0.2425302069476254,0.09075684461815925,0.15683108073478158,0.649533333194291,-0.18638155160096093
simple_price,2021—22,-0.3071370550418593,-0.16877379430473616,0.2333875917187556,-0.7002126041197072,-0.40513743409999003
simple_price,2023—24,0.7217606947009909,0.3133835355130232,0.29729772149707717,1.099034946348064,-0.28605820400989157
simple_price,2025以后,0.5194099879629046,0.2815101612480144,0.26560068625299305,1.097912450883108,-0.19998556329452744
