symbol,kind,count,date,return,close
510500.SH,missing_after_first,1.0,,,
159915.SZ,missing_after_first,1.0,,,
512070.SH,missing_after_first,1.0,,,
512690.SH,abs_return_gt_25pct,,2020-02-03,-0.2510823016268454,0.1729999929666519
