date,regime,rows,dde_present
2024-09-09,keyword_proxy,57,57
2024-09-10,keyword_proxy,49,49
2024-09-11,keyword_proxy,35,35
2024-09-12,keyword_proxy,48,48
2024-09-13,keyword_proxy,46,46
2024-09-18,keyword_proxy,32,32
2024-09-19,keyword_proxy,76,76
2024-09-20,keyword_proxy,57,57
2024-09-23,keyword_proxy,59,59
2024-09-24,keyword_proxy,97,97
2024-09-25,keyword_proxy,66,66
2024-09-26,keyword_proxy,150,150
2024-09-27,keyword_proxy,135,135
2024-09-30,keyword_proxy,693,693
2024-10-08,keyword_proxy,731,731
2024-10-09,keyword_proxy,49,49
2024-10-10,keyword_proxy,81,81
2024-10-11,keyword_proxy,50,50
2024-10-14,keyword_proxy,118,118
2024-10-15,keyword_proxy,72,72
2024-10-16,keyword_proxy,101,101
2024-10-17,keyword_proxy,62,62
2024-10-18,keyword_proxy,122,122
2024-10-21,keyword_proxy,151,151
2024-10-22,keyword_proxy,126,126
2024-10-23,keyword_proxy,122,122
2024-10-24,keyword_proxy,123,123
2024-10-25,keyword_proxy,182,182
2024-10-28,keyword_proxy,277,277
2024-10-29,keyword_proxy,136,136
2024-10-30,keyword_proxy,184,184
2024-10-31,keyword_proxy,205,205
2024-11-01,keyword_proxy,118,118
2024-11-04,keyword_proxy,176,176
2024-11-05,keyword_proxy,204,204
2024-11-06,keyword_proxy,162,162
2024-11-07,keyword_proxy,224,224
2024-11-08,keyword_proxy,151,151
2024-11-11,keyword_proxy,212,212
2024-11-12,keyword_proxy,111,111
2024-11-13,keyword_proxy,83,83
2024-11-14,keyword_proxy,56,56
2024-11-15,keyword_proxy,75,75
2024-11-18,keyword_proxy,85,85
2024-11-19,keyword_proxy,101,101
2024-11-20,keyword_proxy,171,171
2024-11-21,keyword_proxy,118,118
2024-11-22,keyword_proxy,74,74
2024-11-25,keyword_proxy,167,167
2024-11-26,keyword_proxy,105,105
2024-11-27,keyword_proxy,103,103
2024-11-28,keyword_proxy,109,109
