case,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,cash_management_annual_rate,cash_interest_income,cash_interest_calendar_days,cash_management_fees
one_day_late,7.956126689777792,0.30686457579482984,0.23987477009756777,1.2762918119687297,2.23879079866928,-0.23103217774076223,1.328233057384578,16.889014738566342,307.0,0.5452122758640734,9287.576481882605,50004.04149983528,3.0,3.0,0.0,144.0,0.015,10082.424657534259,2992.0,1620.7299999999902
scale_x10,7.712222176431963,0.3024670442656636,0.2411335959679268,1.2563881490616653,2.2008402773197764,-0.20852002797405944,1.4505419321317734,16.952763903734503,295.0,0.5453371129859746,8930.697743779272,48334.00690382124,3.0,3.0,0.0,133.0,0.015,9612.328767123327,2992.0,1558.5699999999997
