variant,signal_date,from_symbol,to_symbol,from_rank,to_rank,score_gap,roc20_gap,confirmation_days,new_minus_old_5d,new_minus_old_10d,new_minus_old_20d
rank_2d,2024-01-15,518880.SH,159941.SZ,8.0,2.0,0.17402926460964785,0.008583997338580174,2,0.06531825913870459,0.06473168347678382,0.057793352336679815
rank_2d,2024-09-25,518880.SH,159851.SZ,6.0,1.0,0.17705556638194164,0.15189041867493436,2,0.6600943896616791,0.5439237182624816,0.6125992845577743
rank_2d,2025-01-14,512800.SH,159981.SZ,7.0,5.0,0.023859730574309457,-0.0030356600727199368,2,-0.023134102121490918,-0.04282940924052392,-0.06002257548193257
gap5_2d,2021-11-09,510630.SH,159865.SZ,6.0,2.0,0.10926631786737773,0.020803167895815156,2,0.002483793255621203,-0.016625169111953886,-0.04533274029171108
gap5_2d,2022-02-24,159981.SZ,515220.SH,3.0,2.0,0.12596521663252114,0.07411827501823853,2,0.017597665637793858,-0.0196254543363803,0.0151797113050538
gap5_2d,2024-01-15,518880.SH,159941.SZ,8.0,2.0,0.17402926460964785,0.008583997338580174,2,0.06531825913870459,0.06473168347678382,0.057793352336679815
gap5_2d,2024-03-15,515050.SH,512400.SH,2.0,1.0,0.15755274915366468,-0.02193677170396069,2,-0.033869210330175537,0.06105359941131283,0.12974710185162197
gap5_2d,2024-08-26,518880.SH,513500.SH,4.0,1.0,0.0622155757688454,-0.02498782984955561,2,0.02281833753507878,-0.02298087154479289,-0.05313005078258959
gap5_2d,2024-09-25,518880.SH,159851.SZ,6.0,1.0,0.17705556638194164,0.15189041867493436,2,0.6600943896616791,0.5439237182624816,0.6125992845577743
gap5_2d,2025-01-20,512800.SH,513500.SH,5.0,2.0,0.09024588050719018,-0.004226562450358795,2,-0.025348184101395832,-0.01812644022469323,-0.04724087199518168
gap5_2d,2026-07-29,159985.SZ,512800.SH,7.0,1.0,0.11214647164750419,0.04466192911339939,2,,,
combined5_1d,2021-11-09,510630.SH,159865.SZ,6.0,2.0,0.10926631786737773,0.020803167895815156,1,0.002483793255621203,-0.016625169111953886,-0.04533274029171108
combined5_1d,2022-09-09,159865.SZ,512200.SH,10.0,3.0,0.16693070855052594,0.07994446489700646,1,-0.01687055542261995,0.023856589567416764,-0.10642210195184365
combined5_1d,2024-01-12,518880.SH,159941.SZ,6.0,2.0,0.12562302175544093,-0.002755460360494677,1,0.04738490352504687,0.039735675824899674,0.0693620603984485
combined5_1d,2024-03-14,515050.SH,512400.SH,6.0,1.0,0.05708459583965009,-0.0689945116800239,1,-0.013153848158412806,0.04283801892232142,0.1658198672349095
combined5_1d,2024-09-24,518880.SH,159851.SZ,7.0,2.0,0.12577819812702484,0.11920457768146209,1,0.5439962281565468,0.38760154935675484,0.49921026765800103
combined5_1d,2025-01-13,512800.SH,159981.SZ,8.0,2.0,0.08934988612667444,0.0207918865890242,1,-0.03234175418515106,-0.07869554267966417,-0.08237343744125014
combined5_1d,2025-01-20,159981.SZ,513500.SH,8.0,2.0,0.12879817798393323,-0.0013666704780757044,1,0.020749828252892843,-0.0018533743757933596,-0.012014164528409088
combined5_1d,2026-07-29,159985.SZ,512800.SH,7.0,1.0,0.11214647164750419,0.04466192911339939,1,,,
combined5_2d,2024-01-15,518880.SH,159941.SZ,8.0,2.0,0.17402926460964785,0.008583997338580174,2,0.06531825913870459,0.06473168347678382,0.057793352336679815
combined5_2d,2024-09-25,518880.SH,159851.SZ,6.0,1.0,0.17705556638194164,0.15189041867493436,2,0.6600943896616791,0.5439237182624816,0.6125992845577743
combined5_3d,2024-01-16,518880.SH,159941.SZ,7.0,2.0,0.1424777333047781,-0.011034123764654291,3,0.05540494283585973,0.0394216731353596,0.06755858405369441
combined8_2d,2024-01-15,518880.SH,159941.SZ,8.0,2.0,0.17402926460964785,0.008583997338580174,2,0.06531825913870459,0.06473168347678382,0.057793352336679815
combined8_2d,2024-09-25,518880.SH,159851.SZ,6.0,1.0,0.17705556638194164,0.15189041867493436,2,0.6600943896616791,0.5439237182624816,0.6125992845577743
combined10_2d,2024-01-15,518880.SH,159941.SZ,8.0,2.0,0.17402926460964785,0.008583997338580174,2,0.06531825913870459,0.06473168347678382,0.057793352336679815
combined10_2d,2024-09-25,518880.SH,159851.SZ,6.0,1.0,0.17705556638194164,0.15189041867493436,2,0.6600943896616791,0.5439237182624816,0.6125992845577743
combined5_roc3_2d,2024-09-25,518880.SH,159851.SZ,6.0,1.0,0.17705556638194164,0.15189041867493436,2,0.6600943896616791,0.5439237182624816,0.6125992845577743
