variant,period,total_return,cagr,annual_volatility,sharpe,max_drawdown,delta_total_return
baseline,2018_2020,0.004639293967415803,0.0018533951433579166,0.09556072554938037,0.06762441354458647,-0.13718481429352214,0.0
baseline,2021_2022,0.23620671475347677,0.1127429724828295,0.25251512661115333,0.5614705510590029,-0.20906256593091377,0.0
baseline,2023_2024,0.38379979488502247,0.1770064922863126,0.17712160530458176,1.0433786390498292,-0.13582739902523422,0.0
baseline,2025_2026,2.839157120811913,1.3572852688754962,0.3455177616387673,2.7576607957372845,-0.125341390811315,0.0
rank_2d,2018_2020,0.004639293967415803,0.0018533951433579166,0.09556072554938037,0.06762441354458647,-0.13718481429352214,0.0
rank_2d,2021_2022,0.23620671475347677,0.1127429724828295,0.25251512661115333,0.5614705510590029,-0.20906256593091377,0.0
rank_2d,2023_2024,1.0092443825388813,0.4191774395960992,0.2555487884463692,1.5489032206754105,-0.13582739902523422,0.6254445876538588
rank_2d,2025_2026,2.6947196674328118,1.300361317773322,0.3436183776436399,2.696732646189896,-0.12534071690431914,-0.1444374533791013
gap5_2d,2018_2020,0.004639293967415803,0.0018533951433579166,0.09556072554938037,0.06762441354458647,-0.13718481429352214,0.0
gap5_2d,2021_2022,0.10048482720466678,0.04942102798691583,0.2542099279436711,0.3226234439686148,-0.29042853277553327,-0.13572188754880998
gap5_2d,2023_2024,0.9569147456408773,0.40051121669453105,0.2594816643823756,1.4762428535291694,-0.19391320069586293,0.5731149507558548
gap5_2d,2025_2026,2.8282350714861266,1.3530082594836177,0.34368856706548256,2.765000818393876,-0.12533533749125336,-0.010922049325786443
combined5_1d,2018_2020,0.004639293967415803,0.0018533951433579166,0.09556072554938037,0.06762441354458647,-0.13718481429352214,0.0
combined5_1d,2021_2022,0.16463583135546633,0.0798070033072793,0.2525050095693407,0.4387533316412321,-0.24830390878303765,-0.07157088339801043
combined5_1d,2023_2024,1.1680662276032567,0.4743932020954178,0.26217043133812895,1.667440702926233,-0.13641051719945196,0.7842664327182343
combined5_1d,2025_2026,2.6932003100005653,1.2997582827980043,0.34328765761935215,2.6982050061313942,-0.12534151224976486,-0.14595681081134781
combined5_2d,2018_2020,0.004639293967415803,0.0018533951433579166,0.09556072554938037,0.06762441354458647,-0.13718481429352214,0.0
combined5_2d,2021_2022,0.23620671475347677,0.1127429724828295,0.25251512661115333,0.5614705510590029,-0.20906256593091377,0.0
combined5_2d,2023_2024,1.0092443825388813,0.4191774395960992,0.2555487884463692,1.5489032206754105,-0.13582739902523422,0.6254445876538588
combined5_2d,2025_2026,2.861723974135203,1.3661083661859288,0.3446020735539466,2.7754082066994044,-0.12534312986868257,0.022566853323290115
combined5_3d,2018_2020,0.004639293967415803,0.0018533951433579166,0.09556072554938037,0.06762441354458647,-0.13718481429352214,0.0
combined5_3d,2021_2022,0.23620671475347677,0.1127429724828295,0.25251512661115333,0.5614705510590029,-0.20906256593091377,0.0
combined5_3d,2023_2024,0.40258357784767407,0.18499537779065633,0.17997329713319332,1.0686545079995435,-0.13582739902523422,0.018783782962651596
combined5_3d,2025_2026,2.8376720680513965,1.3567039904550655,0.3454895892200229,2.7571132619589385,-0.1253398422166122,-0.0014850527605165809
combined8_2d,2018_2020,0.004639293967415803,0.0018533951433579166,0.09556072554938037,0.06762441354458647,-0.13718481429352214,0.0
combined8_2d,2021_2022,0.23620671475347677,0.1127429724828295,0.25251512661115333,0.5614705510590029,-0.20906256593091377,0.0
combined8_2d,2023_2024,1.0092443825388813,0.4191774395960992,0.2555487884463692,1.5489032206754105,-0.13582739902523422,0.6254445876538588
combined8_2d,2025_2026,2.861723974135203,1.3661083661859288,0.3446020735539466,2.7754082066994044,-0.12534312986868257,0.022566853323290115
combined10_2d,2018_2020,0.004639293967415803,0.0018533951433579166,0.09556072554938037,0.06762441354458647,-0.13718481429352214,0.0
combined10_2d,2021_2022,0.23620671475347677,0.1127429724828295,0.25251512661115333,0.5614705510590029,-0.20906256593091377,0.0
combined10_2d,2023_2024,1.0092443825388813,0.4191774395960992,0.2555487884463692,1.5489032206754105,-0.13582739902523422,0.6254445876538588
combined10_2d,2025_2026,2.861723974135203,1.3661083661859288,0.3446020735539466,2.7754082066994044,-0.12534312986868257,0.022566853323290115
combined5_roc3_2d,2018_2020,0.004639293967415803,0.0018533951433579166,0.09556072554938037,0.06762441354458647,-0.13718481429352214,0.0
combined5_roc3_2d,2021_2022,0.23620671475347677,0.1127429724828295,0.25251512661115333,0.5614705510590029,-0.20906256593091377,0.0
combined5_roc3_2d,2023_2024,0.9725560771284527,0.40611633776863676,0.2541533033566835,1.5182298056166599,-0.13582739902523422,0.5887562822434302
combined5_roc3_2d,2025_2026,2.861310532319465,1.3659468887539647,0.34461442735800457,2.7751139475720255,-0.1253401534802714,0.0221534115075519
