variant,label,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,cash_management_annual_rate,cash_interest_income,cash_interest_calendar_days,cash_management_fees,preemptive_switch_count,delta_total_return,delta_cagr,delta_sharpe,delta_max_drawdown,delta_trade_count,delta_total_fees,delta_slippage_cost_estimate
baseline,现行退出后再换仓,5.597971070322513,0.26324771668052227,0.22337591195052947,1.1973709525768594,2.0627451443276428,-0.20906256593091377,1.2591815063033063,16.321750180777745,264.0,0.519592280712369,6588.810666412409,35773.73721643926,0.0,0.0,0.0,113.0,0.015,8605.972602739756,2949.0,1388.3800000000065,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rank_2d,持仓掉出前5且强者持续2日,8.219672915115172,0.31669554160950564,0.24079764324997524,1.3060642523218493,2.293813576408468,-0.20906256593091377,1.5148361936500863,17.209823417514,301.0,0.5384170757387978,7947.428149297695,43485.94104582488,3.0,3.0,0.0,137.0,0.015,9463.931506849369,2949.0,1528.8500000000042,3,2.6217018447926588,0.05344782492898337,0.10869329974498987,0.0,37.0,1358.6174828852863,7712.203829385624
gap5_2d,动量分领先5个百分点且持续2日,7.282562524239788,0.2993309740416257,0.24238059807499648,1.2424358411538163,2.129367603321727,-0.29042853277553327,1.0306527777454046,18.06750002754372,287.0,0.5408032486696027,7549.765406583483,41405.1555105722,3.0,3.0,0.0,120.0,0.015,8788.397260274009,2949.0,1420.61000000001,8,1.6845914539172746,0.036083257361103405,0.045064888576956896,-0.0813659668446195,23.0,960.9547401710743,5631.418294132942
combined5_1d,前5外＋领先5个百分点（1日）,8.368621981922411,0.31931173257841117,0.24249300508536878,1.3070893969096924,2.2992352218909713,-0.24830390878303765,1.2859714297023754,17.189878987162103,294.0,0.5395964540593929,7840.142143148923,42827.068254382604,3.0,3.0,0.0,131.0,0.015,9422.42465753429,2949.0,1526.020000000013,8,2.7706509115998976,0.0560640158978889,0.10971844433283295,-0.039241342852123884,30.0,1251.3314767365146,7053.331037943346
combined5_2d,前5外＋领先5个百分点（2日）,8.636409561411659,0.3239249257301313,0.2411287650298679,1.3282026609002637,2.3333048028553804,-0.20906256593091377,1.5494161964757223,16.732791959227885,283.0,0.5407265562035171,7800.37334078145,42288.109905701276,3.0,3.0,0.0,126.0,0.015,9569.383561643857,2949.0,1547.9400000000028,2,3.0384384910891455,0.06067720904960905,0.1308317083234043,0.0,19.0,1211.562674369041,6514.372689262018
combined5_3d,前5外＋领先5个百分点（3日）,5.684945478908453,0.2652983616456184,0.2239255359264882,1.202498633712723,2.0746385504841203,-0.20906256593091377,1.2689902683643906,16.56515617891154,266.0,0.5195322198371427,6718.01181571466,36810.471262791754,0.0,0.0,0.0,113.0,0.015,8654.917808219207,2949.0,1396.4500000000107,1,0.08697440858593986,0.0020506449650961045,0.005127681135863593,0.0,2.0,129.201149302251,1036.734046352496
combined8_2d,前5外＋领先8个百分点（2日）,8.636409561411659,0.3239249257301313,0.2411287650298679,1.3282026609002637,2.3333048028553804,-0.20906256593091377,1.5494161964757223,16.732791959227885,283.0,0.5407265562035171,7800.37334078145,42288.109905701276,3.0,3.0,0.0,126.0,0.015,9569.383561643857,2949.0,1547.9400000000028,2,3.0384384910891455,0.06067720904960905,0.1308317083234043,0.0,19.0,1211.562674369041,6514.372689262018
combined10_2d,前5外＋领先10个百分点（2日）,8.636409561411659,0.3239249257301313,0.2411287650298679,1.3282026609002637,2.3333048028553804,-0.20906256593091377,1.5494161964757223,16.732791959227885,283.0,0.5407265562035171,7800.37334078145,42288.109905701276,3.0,3.0,0.0,126.0,0.015,9569.383561643857,2949.0,1547.9400000000028,2,3.0384384910891455,0.06067720904960905,0.1308317083234043,0.0,19.0,1211.562674369041,6514.372689262018
combined5_roc3_2d,前5外＋分数领先5点＋ROC20领先3点（2日）,8.459438256791467,0.3208890308432282,0.24076521982794244,1.3199416040462304,2.3154107716835113,-0.20906256593091377,1.5348947307442322,16.488425081268566,281.0,0.5408515888273256,7633.826941965292,41039.45955634295,3.0,3.0,0.0,126.0,0.015,9478.109589041107,2949.0,1533.1000000000065,1,2.8614671864689534,0.0576413141627059,0.12257065146937096,0.0,17.0,1045.0162755528827,5265.722339903688
