family,count,return_median,return_min,return_max,mdd_median,path_diff_median
add_one_fixed,6,5.2022080999249845,4.48284186213452,5.922926577952201,-0.2245747297726034,58.0
add_one_scaled,6,3.9606741477849474,3.560248389825535,4.313864640989546,-0.3494175154351684,223.5
benchmark,2,3.744524652800477,2.0695315704696258,5.419517735131328,-0.2835875013973712,181.0
candidate,2,2.6933837011738655,2.577036121989963,2.809731280357768,-0.3904297679918223,290.5
leave_one_core,45,5.217564604860833,2.3132024215666687,7.899071440041526,-0.2229170396704389,43.0
random_45_of_51,96,2.120756042952528,0.2112641357988423,5.143587307217399,-0.3421254646632182,459.5
same_exposure_or_category_swap,34,4.95971830086678,2.1839936265106847,7.159332889447217,-0.22728512054906186,115.0
