variant,family,pool_size,normal_limit,fallback_limit,emerging_limit,symbols_hash,symbols,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,cash_management_annual_rate,cash_interest_income,cash_interest_calendar_days,cash_management_fees,candidate_day_rate,return_2018_2020,mdd_2018_2020,return_2021_2022,mdd_2021_2022,return_2023_2024,mdd_2023_2024,return_2024_2026,mdd_2024_2026,return_2025_2026,mdd_2025_2026,path_diff_days_vs_core45,target_agreement_vs_core45
random45_040,random_45_of_51,45,5,3,15,13427050d005553f181e5e25bdfd00f16b70830c8e9a1cd2f4da8ba5ae3575f8,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|562600.SH|159647.SZ|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|512660.SH|515790.SH|563380.SH|512400.SH|515210.SH|515220.SH|516020.SH|516150.SH|510630.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|159745.SZ|560280.SH|512980.SH|513520.SH|513030.SH,3.093645618401762,0.1908003790295624,0.2298014592431559,0.903562357259359,1.4879272935296364,-0.3561329770530784,0.5357559993696551,17.146059832331044,266.0,0.4935706265884866,5329.913133477896,29533.95758128883,0.0,0.0,0.0,110.0,0.015,7343.547945205497,2948.0,1197.2100000000014,0.2644206227667177,0.0451387570806423,-0.1149006555235379,-0.0183000137725218,-0.3561329770530784,0.1064666414995179,-0.2267896231789586,2.805390551743505,-0.2267896231789586,2.6059456833208867,-0.1253259387093288,278,0.8580908626850434
random45_041,random_45_of_51,45,5,3,15,5d9f7601b3a8067b14b9ab84a6a1b4aa6211f26b6202d08729edb113cda4d0e4,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513200.SH|513310.SH|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|159755.SZ|515790.SH|563380.SH|512400.SH|515210.SH|516020.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ|560280.SH|561380.SH|512980.SH|513520.SH|513030.SH|561360.SH,2.75924918547077,0.1782938840411996,0.2286816288816555,0.8588280829913758,1.4172392287093751,-0.3574210503258875,0.4988343128605204,16.933590379112488,248.0,0.491951978129836,5119.662209579207,28347.814602507053,0.0,0.0,0.0,97.0,0.015,7508.630136986298,2948.0,1229.140000000005,0.2776927003573252,0.0990533900803711,-0.1024663915847878,-0.0544878108446565,-0.3574210503258875,0.0495081357375273,-0.2602014971221547,2.197853411827985,-0.2602014971221547,2.4469055442531817,-0.1253312321000012,374,0.809086268504339
random45_042,random_45_of_51,45,5,3,15,aa017d885a4fd6117dd679943f35167560be6b315b0c0f2640dc511d7c75ad82,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513310.SH|512010.SH|562600.SH|159647.SZ|512070.SH|512800.SH|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|512660.SH|159755.SZ|563380.SH|512400.SH|515210.SH|515220.SH|516020.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|560280.SH|561380.SH|512980.SH|513520.SH|561360.SH,1.1503559676170942,0.099505032056697,0.2175640253587975,0.5613546810586645,0.879817624169952,-0.3402029426535957,0.29248727621388,16.7991646993809,250.0,0.44930616214414,4830.088774982838,27454.767159937615,0.0,0.0,0.0,95.0,0.015,7861.315068493137,2948.0,1273.1900000000137,0.2705461970393057,0.0173182517752481,-0.1160748062680513,-0.0326574553710149,-0.3402029426535957,0.2768596879103211,-0.2267973599270448,0.9579782598353004,-0.3100293010141798,0.7113153955104297,-0.2341693589533628,468,0.7611026033690659
random45_043,random_45_of_51,45,5,3,15,0a3fdce852114f2563dddbe7a235947626c0e241bd8c2492533be7fd7f10d7fa,510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|562600.SH|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|563380.SH|512400.SH|515210.SH|515220.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159611.SZ|159745.SZ|560280.SH|561380.SH|512980.SH|513520.SH|513030.SH|561360.SH,2.1363754557762453,0.152142567483577,0.2269433243796428,0.7612486824761584,1.2215210295089176,-0.4289231153162102,0.3547082496857616,18.166456824283628,236.0,0.4746646526419403,4702.325400572921,25816.01843316256,0.0,0.0,0.0,78.0,0.015,6772.602739726095,2948.0,1102.130000000002,0.2730985196528841,0.0107557764541763,-0.1572852590373025,-0.2071871148437991,-0.4289231153162102,0.0717642396783935,-0.2260918988463355,2.9479268128920757,-0.2260918988463355,2.6518409335112336,-0.125323850886288,376,0.8080653394589076
random45_044,random_45_of_51,45,5,3,15,6e40014678c2e42bb3bead90eaf1668fa97f5fe42a5b244836e0ea0ea7fb6d2d,510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|562600.SH|159647.SZ|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|563380.SH|512400.SH|515210.SH|515220.SH|516020.SH|516150.SH|510630.SH|512690.SH|159865.SZ|159766.SZ|159611.SZ|159745.SZ|560280.SH|561380.SH|512980.SH|513520.SH|513030.SH|561360.SH,3.1281406852325286,0.1920390353862631,0.2461049033548872,0.8635435195014888,1.4396821238414574,-0.3743086375240144,0.5130499703575301,15.71473019706996,279.0,0.4828788545369483,5623.694932877298,34618.20083716393,3.0,3.0,0.0,134.0,0.015,8974.684931506861,2948.0,1475.5600000000018,0.2577845839714139,0.1448162779028095,-0.1433217818781254,-0.0096403524594482,-0.3743086375240144,0.6808285280681801,-0.2268892431671538,2.5423057822738624,-0.2268892431671538,1.166218928158223,-0.2073626859443146,547,0.7207759060745278
random45_045,random_45_of_51,45,5,3,15,52cb84c1d90c8757be5cb50aee27109574d9c6546e64c9e72622c44b595b63f4,510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|562600.SH|159647.SZ|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|512400.SH|515210.SH|515220.SH|516020.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|560280.SH|561380.SH|512980.SH|513520.SH|513030.SH,4.551392751015785,0.2366009733929477,0.2328495873418032,1.0631390392394742,1.763992385648823,-0.2529929246262838,0.935207866949046,14.641229805228726,247.0,0.4697088223551771,5479.76799871711,31067.89994019985,0.0,0.0,0.0,110.0,0.015,8573.136986301348,2948.0,1381.7900000000072,0.2424706482899438,0.0230128952158739,-0.1469960670098641,0.1806560800545944,-0.2529929246262838,0.1962594000954511,-0.1790045914999439,3.2249197692288405,-0.1790045914999439,2.842130169698405,-0.1664687150011212,255,0.8698315467075038
random45_046,random_45_of_51,45,5,3,15,7ecc988cf84782476b1ffdeb8fdb933bf16f869d9a5d4bda1f10e2772d070bb9,510300.SH|510500.SH|512100.SH|159915.SZ|512040.SH|518880.SH|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|562600.SH|159647.SZ|512800.SH|159851.SZ|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|159755.SZ|515790.SH|563380.SH|512400.SH|515210.SH|515220.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ|560280.SH|561380.SH|512980.SH|513520.SH|513030.SH|561360.SH,4.537808412288821,0.2362256593027507,0.2385827577228991,1.0419192128581554,1.7175553944141455,-0.407293797289242,0.5799883545365995,17.06684651496242,259.0,0.4815835698413336,6004.802224007831,34391.93700561224,0.0,0.0,0.0,106.0,0.015,8057.219178082259,2948.0,1303.520000000003,0.2516590096988259,0.1524420868833778,-0.1824090168580106,-0.079233853917826,-0.407293797289242,0.205152520905383,-0.2268509026390561,3.9295364524928376,-0.2268509026390561,3.330394472794965,-0.2084843815335828,472,0.7590607452782032
random45_047,random_45_of_51,45,5,3,15,d574cc2e5fd9a136fa06f30425228bde0337818fac762a0f452c79499c7e7562,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513130.SH|513530.SH|513310.SH|562600.SH|159647.SZ|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|562500.SH|512660.SH|159755.SZ|515790.SH|563380.SH|512400.SH|515210.SH|515220.SH|516020.SH|516150.SH|510630.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ|560280.SH|561380.SH|512980.SH|513030.SH|561360.SH,2.222864529227243,0.1560322471996293,0.2082966785354476,0.8266730710891635,1.3427308668328932,-0.3138970274944549,0.4970809964181191,16.201513205402176,273.0,0.4541914454283816,5181.917474193077,28755.82527108373,0.0,0.0,0.0,125.0,0.015,8808.698630136998,2948.0,1438.6499999999935,0.2496171516079632,0.1137697690710963,-0.1481803876265282,-0.0580006229315771,-0.3138970274944549,0.4777483414354706,-0.1289894988107435,1.7203135060384818,-0.2201612161945896,1.0787177704626665,-0.1915467811558406,502,0.743746809596733
random45_048,random_45_of_51,45,5,3,15,4a6782a8263bdd4a24052a7d00de0c1a63bb804a800b11c9bd26feb1c9cb7109,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|518880.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513130.SH|513530.SH|513310.SH|512010.SH|562600.SH|159647.SZ|512070.SH|512800.SH|159851.SZ|512200.SH|512760.SH|515050.SH|159819.SZ|159869.SZ|512660.SH|159755.SZ|515790.SH|563380.SH|512400.SH|515210.SH|515220.SH|516150.SH|510630.SH|159996.SZ|159865.SZ|159766.SZ|159611.SZ|516970.SH|159745.SZ|560280.SH|561380.SH|513520.SH|513030.SH|561360.SH,0.659582742262929,0.064773729793462,0.2200070802323214,0.4060551824888253,0.6348129275007992,-0.4121521597227077,0.1571597485672312,18.726245032396193,262.0,0.4754875744017692,4625.820534447832,25910.76743563413,1.0,0.0,1.0,98.0,0.015,6721.315068493161,2948.0,1105.4599999999991,0.2720775906074528,0.0145426951255522,-0.1484868732955269,-0.2020042969612329,-0.4121521597227077,0.2589594037552245,-0.2261034079677385,0.896383887149645,-0.2941885712129546,0.628232064034725,-0.219724981047802,456,0.7672281776416539
random45_049,random_45_of_51,45,5,3,15,cfc45628145aa572f8f3b99d5960914c7f21939f91f7ebc0854957146e9ed7e5,510300.SH|510500.SH|512100.SH|159915.SZ|510880.SH|512040.SH|159981.SZ|159985.SZ|513500.SH|159941.SZ|513090.SH|513130.SH|513530.SH|513200.SH|513310.SH|512010.SH|159647.SZ|512070.SH|512800.SH|512200.SH|512760.SH|515050.SH|562500.SH|512660.SH|159755.SZ|515790.SH|563380.SH|512400.SH|515210.SH|515220.SH|516020.SH|516150.SH|510630.SH|512690.SH|159996.SZ|159865.SZ|159766.SZ|516970.SH|159745.SZ|560280.SH|561380.SH|512980.SH|513520.SH|513030.SH|561360.SH,2.0683440558918664,0.1490163890992408,0.232207723410001,0.7365591443946904,1.2239029632271077,-0.3450284823084751,0.4318959063965383,16.847960218581076,273.0,0.4935553058133723,5020.5030795629345,28495.699574309005,0.0,0.0,0.0,123.0,0.015,8099.301369862989,2948.0,1323.1300000000035,0.2746299132210311,-0.0408471072224579,-0.2011790467040132,-0.0644176518281834,-0.3450284823084751,0.8633759704645696,-0.200352826223887,2.127911652458068,-0.2056450027691426,0.8349900128575278,-0.2056450027691426,535,0.7269014803471159
