date,symbol,side,qty,price,raw_open,fee,commission_rate,slippage_rate
2018-07-02,159941.SZ,BUY,300.0,0.3950637937843799,0.3939999938011169,5.0,0.0003,0.0027
2018-07-03,159941.SZ,BUY,300.0,0.39105298565626134,0.3899999856948852,5.0,0.0003,0.0027
2018-07-04,159941.SZ,BUY,300.0,0.39807191482186316,0.3970000147819519,5.0,0.0003,0.0027
2018-07-05,159941.SZ,BUY,300.0,0.3990746019124984,0.3980000019073486,5.0,0.0003,0.0027
2018-07-06,159941.SZ,BUY,300.0,0.3990746019124984,0.3980000019073486,5.0,0.0003,0.0027
2018-07-09,159941.SZ,BUY,300.0,0.3990746019124984,0.3980000019073486,5.0,0.0003,0.0027
2018-07-10,159941.SZ,BUY,400.0,0.40910159235000604,0.4079999923706054,5.0,0.0003,0.0027
2018-07-11,159941.SZ,BUY,500.0,0.4060935011953115,0.4050000011920929,5.0,0.0003,0.0027
2018-07-12,159941.SZ,BUY,400.0,0.40910159235000604,0.4079999923706054,5.0,0.0003,0.0027
2018-07-13,159941.SZ,BUY,400.0,0.417123208606243,0.4160000085830688,5.0,0.0003,0.0027
2018-07-16,159941.SZ,BUY,400.0,0.41010430932343,0.4090000092983246,5.0,0.0003,0.0027
2018-07-17,159941.SZ,BUY,300.0,0.417123208606243,0.4160000085830688,5.0,0.0003,0.0027
2018-07-18,159941.SZ,BUY,400.0,0.41411508756875987,0.4129999876022339,5.0,0.0003,0.0027
2018-07-19,159941.SZ,BUY,500.0,0.41210971338748925,0.4110000133514404,5.0,0.0003,0.0027
2018-07-20,159941.SZ,BUY,500.0,0.41010430932343,0.4090000092983246,5.0,0.0003,0.0027
2018-07-23,159941.SZ,BUY,500.0,0.40910159235000604,0.4079999923706054,5.0,0.0003,0.0027
2018-07-24,159941.SZ,BUY,600.0,0.41311240047812453,0.4120000004768371,5.0,0.0003,0.0027
2018-07-25,159941.SZ,BUY,600.0,0.41511780454218383,0.414000004529953,5.0,0.0003,0.0027
2018-07-26,159941.SZ,BUY,600.0,0.42013129976093766,0.4189999997615814,5.0,0.0003,0.0027
