variant,start,cost,capital,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,cash_management_annual_rate,cash_interest_income,cash_interest_calendar_days,cash_management_fees
frozen_baseline,2018-07-02,1,100000,7.783859913346859,0.30376974886913577,0.24166279093963597,1.2584559186491233,2.2045668124780744,-0.20906256593091377,1.4530088039267568,17.022602908259394,295.0,0.547036360107782,9009.296774651968,48727.18735511541,3.0,3.0,0.0,132.0,0.015,9636.452054794549,2992.0,1562.940000000002
frozen_baseline,2018-07-02,2,100000,5.906235751948835,0.266049956414675,0.24373051714456112,1.1247910687865432,1.9695849471867017,-0.23389242959289547,1.1374885321331336,17.092046260716344,280.0,0.5492390032990342,15425.300761911847,83252.59800588014,3.0,3.0,0.0,120.0,0.015,8314.232876712307,2992.0,1348.9200000000028
frozen_baseline,2018-07-02,1,9825,11.009391981207575,0.3545127763104736,0.2552356411845518,1.3594091162278072,2.473107545739237,-0.2025355093608684,1.7503734403374134,17.337061086484663,143.0,0.5549600537936852,1291.0372490425343,6088.274041002991,0.0,0.0,0.0,0.0,0.015,1016.7945205479443,2992.0,165.73000000000098
frozen_baseline,2021-01-04,1,100000,7.748440280354613,0.4648814795723655,0.28290058011619207,1.5412810226990947,2.7746312112175033,-0.20900219323884395,2.22428995776665,18.57384463998282,227.0,0.6895063260982887,7954.62438835828,42400.774634138346,3.0,3.0,0.0,98.0,0.015,6785.835616438365,2075.0,1091.9900000000007
frozen_baseline,2023-01-03,1,100000,6.005066206397711,0.6959409036720381,0.29750334543733203,1.9916388704581796,3.6780895114499295,-0.17870999021780498,3.8942473379571654,18.688471437057494,119.0,0.7445657296274987,5354.973548808619,28752.719678015113,3.0,3.0,0.0,42.0,0.015,4209.780821917804,1346.0,683.5200000000001
frozen_baseline,2024-01-02,1,100000,5.404630004219213,0.9951310888086515,0.3368328744108733,2.297329177805135,4.295172873988149,-0.1790469335263163,5.557934275720993,21.229256710496593,91.0,0.7998394577236497,4579.8223668356795,24094.154167388682,3.0,3.0,0.0,29.0,0.015,3194.4657534246585,982.0,527.2200000000003
frozen_baseline,2025-01-02,1,100000,2.5066072515116593,1.1041875802348056,0.3418283123936784,2.4232456647629035,4.457844628786573,-0.17653106466358148,6.254919395286469,16.501087187493546,33.0,0.7571274468986117,1995.6517888554165,10188.012920140029,0.0,0.0,0.0,5.0,0.015,1553.7123287671227,616.0,257.58999999999986
old_signal_raw_execution,2018-07-02,1,100000,7.344488803190583,0.2956281207965128,0.23882973246230732,1.2433481153403334,2.1717436451573127,-0.2097649819114199,1.4093301851562212,17.046786530105354,290.0,0.547534121273134,8629.608270560173,46585.201780647076,3.0,3.0,0.0,128.0,0.015,9201.369863013704,2992.0,1492.9099999999971
old_signal_raw_execution,2018-07-02,2,100000,5.575368115912087,0.25848496114072095,0.24103696193388643,1.1088804846604914,1.936689047964222,-0.23710791174037082,1.0901574698349064,17.121127912772653,274.0,0.5497120278690336,14780.83924212807,79682.88068328024,3.0,3.0,0.0,114.0,0.015,7953.78082191779,2992.0,1290.6799999999973
old_signal_raw_execution,2018-07-02,1,9825,10.42085811875219,0.34622961099872485,0.2522411617418268,1.3473266854312596,2.447587788378865,-0.20636674246998887,1.6777393821055042,17.30807943515049,143.0,0.5548062360279125,1253.2060962179376,5824.21550325215,0.0,0.0,0.0,0.0,0.015,972.9452054794517,2992.0,158.5099999999999
old_signal_raw_execution,2021-01-04,1,100000,7.618949628662934,0.4610413431725464,0.27987357471732904,1.5451946366597769,2.7788960726423344,-0.20959755808203484,2.199650355621502,18.57680056177157,227.0,0.6895994631165663,7880.554875365781,41989.320744531135,3.0,3.0,0.0,98.0,0.015,6708.369863013701,2075.0,1079.3599999999997
old_signal_raw_execution,2023-01-03,1,100000,5.9284480345896,0.6908871567681687,0.2953874551974044,1.9932964918154863,3.6783523532474915,-0.1787417465962552,3.865281446134439,18.693526463851274,118.0,0.7446611916196154,5313.640414975492,28555.997145563353,3.0,3.0,0.0,41.0,0.015,4172.136986301369,1346.0,677.2100000000002
old_signal_raw_execution,2024-01-02,1,100000,5.308879679729608,0.9839843673412965,0.3348695141213076,2.2914429837245707,4.280213812360231,-0.1791086285789968,5.493785392406737,21.244938353520695,89.0,0.800205258028564,4524.171998026351,23814.91609520853,3.0,3.0,0.0,28.0,0.015,3144.8630136986335,982.0,518.91
old_signal_raw_execution,2025-01-02,1,100000,2.5051341576846062,1.1036634075484693,0.34121689917270337,2.426214154716148,4.465404314049294,-0.1765481264665828,6.251345905714676,16.500399535719787,33.0,0.7570572138824911,1995.1817208122773,10185.971905052662,0.0,0.0,0.0,5.0,0.015,1553.3424657534235,616.0,257.5199999999999
economic_signal_raw_execution,2018-07-02,1,100000,5.426931346973198,0.2549819483546909,0.24385549697561132,1.0869125652263283,1.8959049259567575,-0.2897780334275395,0.8799215914978955,18.33009543443047,284.0,0.5524763577904205,8053.51854822371,42412.670794260805,3.0,3.0,0.0,112.0,0.015,8304.08219178081,2992.0,1350.5599999999997
economic_signal_raw_execution,2018-07-02,2,100000,4.020558166073992,0.217712251413281,0.24656006106207046,0.9507768751251204,1.6553088647690586,-0.33690016483435803,0.6462218607708977,18.38166785163045,255.0,0.5540625831084205,13727.780835672173,72526.2867973888,3.0,3.0,0.0,88.0,0.015,7311.123287671222,2992.0,1188.230000000004
economic_signal_raw_execution,2018-07-02,1,9825,7.413249219184946,0.2969267408066192,0.25574509278491125,1.1808193080035672,2.135660137072601,-0.31242083052914815,0.9504063487178925,18.763179327551946,155.0,0.5573237848102919,1140.9019359431509,5046.788092014493,0.0,0.0,0.0,0.0,0.015,873.9452054794502,2992.0,142.19000000000048
economic_signal_raw_execution,2021-01-04,1,100000,5.172421184712727,0.37765104025629403,0.28500709157651616,1.3081105125635617,2.3399227629598434,-0.2879855631228645,1.3113540698398662,20.782683876161634,211.0,0.6931142705629231,6749.942378984387,35061.052299352894,3.0,3.0,0.0,74.0,0.015,5150.958904109578,2075.0,835.6500000000018
economic_signal_raw_execution,2023-01-03,1,100000,4.864517614697312,0.6160961511741305,0.30125724943855586,1.8039776310773359,3.344615119303709,-0.17969388484975013,3.4285871869778726,21.503052946393787,120.0,0.766129013947941,5109.730001778076,27440.219023109967,3.0,3.0,0.0,35.0,0.015,3422.3013698630125,1346.0,562.3800000000006
economic_signal_raw_execution,2024-01-02,1,100000,4.606484459716453,0.8987672888982214,0.3397675227525215,2.1286437448298083,4.004871494344517,-0.17961874787147203,5.003749884401506,23.548225755613224,89.0,0.8050777763396312,4379.74259058511,23102.952827063804,3.0,3.0,0.0,22.0,0.015,2758.726027397263,982.0,455.1699999999999
economic_signal_raw_execution,2025-01-02,1,100000,2.491839963211778,1.0989288557984551,0.3432060425132214,2.4072931403961575,4.445720450478086,-0.17648684762136935,6.226689810654167,17.67820616977223,38.0,0.7593216103657381,2073.1497379384255,10885.02341504931,0.0,0.0,0.0,8.0,0.015,1540.6438356164374,616.0,255.21999999999989
