date,market,code,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,xingquanjia,fenshu,panqian_liutong,panhou_liutong,qian_zongguben,hou_zongguben
2025-06-16,1,513530,1,除权除息,0.020000000298023225,0.0,0.0,0.0,,,,,,,
2025-07-14,1,513530,1,除权除息,0.020000000298023225,0.0,0.0,0.0,,,,,,,
2025-08-18,1,513530,1,除权除息,0.010000000149011612,0.0,0.0,0.0,,,,,,,
2025-09-15,1,513530,1,除权除息,0.010000000149011612,0.0,0.0,0.0,,,,,,,
2025-10-20,1,513530,1,除权除息,0.010000000149011612,0.0,0.0,0.0,,,,,,,
2025-11-17,1,513530,1,除权除息,0.010000000149011612,0.0,0.0,0.0,,,,,,,
2025-12-15,1,513530,1,除权除息,0.010000000149011612,0.0,0.0,0.0,,,,,,,
2026-01-21,1,513530,1,除权除息,0.010000000149011612,0.0,0.0,0.0,,,,,,,
2026-02-26,1,513530,1,除权除息,0.010000000149011612,0.0,0.0,0.0,,,,,,,
2026-03-23,1,513530,1,除权除息,0.010000000149011612,0.0,0.0,0.0,,,,,,,
2026-04-20,1,513530,1,除权除息,0.010000000149011612,0.0,0.0,0.0,,,,,,,
2026-05-18,1,513530,1,除权除息,0.010000000149011612,0.0,0.0,0.0,,,,,,,
2026-06-15,1,513530,1,除权除息,0.010000000149011612,0.0,0.0,0.0,,,,,,,
2026-07-20,1,513530,1,除权除息,0.010000000149011612,0.0,0.0,0.0,,,,,,,
2026-08-17,1,513530,1,除权除息,0.010000000149011612,0.0,0.0,0.0,,,,,,,
2026-09-14,1,513530,1,除权除息,0.010000000149011612,0.0,0.0,0.0,,,,,,,
