date,symbol,side,qty,price,raw_open,fee,commission_rate,slippage_rate
2018-09-21,512800.SH,BUY,25600.0,0.9411279976129533,0.9399999976158142,7.227863021667481,0.0003,0.0012
2018-09-25,512800.SH,BUY,25000.0,0.9651567866325379,0.9639999866485596,7.238675899744033,0.0003,0.0012
2018-09-26,512800.SH,BUY,23300.0,0.969161594748497,0.9679999947547911,6.774439547291992,0.0003,0.0012
2018-09-27,512800.SH,BUY,23200.0,0.9721652157545091,0.9710000157356262,6.766269901651383,0.0003,0.0012
2018-09-28,512800.SH,BUY,7000.0,0.9761700238704684,0.975000023841858,5.0,0.0003,0.0012
2018-10-12,512800.SH,SELL,24400.0,0.9198948038101196,0.9210000038146972,6.733629963890074,0.0003,0.0012
2018-10-15,512800.SH,SELL,26800.0,0.9398707847595213,0.9409999847412108,7.556561109466552,0.0003,0.0012
2018-10-16,512800.SH,SELL,30500.0,0.9278852200031281,0.9290000200271606,8.490149763028622,0.0003,0.0012
2018-10-17,512800.SH,SELL,22400.0,0.9398707847595213,0.9409999847412108,6.315931673583983,0.0003,0.0012
2018-11-06,512800.SH,BUY,58300.0,0.9811760190963748,0.9800000190734864,17.160768573995593,0.0003,0.0012
2018-11-07,512800.SH,BUY,40700.0,0.9771712109804155,0.9760000109672546,11.93126048607087,0.0003,0.0012
2018-11-12,512800.SH,SELL,63400.0,0.944864779996872,0.9459999799728394,17.971328115540505,0.0003,0.0012
2018-11-13,512800.SH,SELL,35600.0,0.9418684185743332,0.9430000185966492,10.059154710373878,0.0003,0.0012
2019-01-28,510880.SH,BUY,7800.0,2.5770886816024783,2.5739998817443848,6.0303875149497985,0.0003,0.0012
2019-01-29,510880.SH,BUY,8100.0,2.5620708152771,2.559000015258789,6.225832081123352,0.0003,0.0012
2019-01-30,510880.SH,BUY,8200.0,2.5770886816024783,2.5739998817443848,6.3396381567420965,0.0003,0.0012
2019-01-31,510880.SH,BUY,8100.0,2.5740852993011476,2.571000099182129,6.255027277301788,0.0003,0.0012
2019-02-01,510880.SH,BUY,4100.0,2.591105659198761,2.5880000591278076,5.0,0.0003,0.0012
2019-02-25,510880.SH,SELL,10500.0,2.7097444590568545,2.7130000591278076,8.53569504602909,0.0003,0.0012
2019-02-26,510880.SH,SELL,10600.0,2.8146184781074526,2.818000078201294,8.950486760381699,0.0003,0.0012
2019-02-27,510880.SH,SELL,10600.0,2.796639952373505,2.799999952316284,8.893315048547745,0.0003,0.0012
2019-02-28,510880.SH,SELL,4600.0,2.8016340666770936,2.805000066757202,5.0,0.0003,0.0012
2019-05-20,513500.SH,BUY,54700.0,1.8489787818312644,1.843999981880188,30.341741809851044,0.0003,0.0027
2019-05-27,513500.SH,SELL,54700.0,1.8081048638582229,1.812999963760376,29.671000815913438,0.0003,0.0027
2019-06-13,513500.SH,BUY,53300.0,1.855997651231289,1.85099995136261,29.67740244318831,0.0003,0.0027
2019-06-20,513500.SH,SELL,53300.0,1.874923995244503,1.8799999952316284,29.980034683959598,0.0003,0.0027
2019-07-02,513500.SH,BUY,52400.0,1.9091408439874646,1.9040000438690183,30.011694067482942,0.0003,0.0027
2019-07-09,513500.SH,SELL,52400.0,1.9038457389950751,1.909000039100647,29.928455017002577,0.0003,0.0027
2019-07-17,513500.SH,BUY,51500.0,1.935210947406292,1.9299999475479128,29.89900913742721,0.0003,0.0027
2019-08-02,513500.SH,SELL,49300.0,1.904842966711521,1.909999966621399,28.172627477663394,0.0003,0.0027
2019-08-05,513500.SH,SELL,2200.0,1.9138187294840814,1.919000029563904,5.0,0.0003,0.0027
2019-08-20,159915.SZ,BUY,62600.0,1.5668780572891237,1.565000057220459,29.425969915889738,0.0003,0.0012
2019-08-30,159915.SZ,SELL,62600.0,1.5671172057151794,1.569000005722046,29.430461123331067,0.0003,0.0012
2019-09-09,159915.SZ,BUY,59800.0,1.6409668582439425,1.6390000581741333,29.438945436896326,0.0003,0.0012
2019-09-27,159915.SZ,SELL,59800.0,1.5601256361961364,1.562000036239624,27.988653913358682,0.0003,0.0012
2019-09-27,513500.SH,BUY,47100.0,1.9773244028687476,1.972000002861023,27.9395938125354,0.0003,0.0027
2019-10-10,513500.SH,SELL,34800.0,1.9227943733692168,1.9279999732971191,20.07397325797462,0.0003,0.0027
2019-10-11,513500.SH,SELL,12300.0,1.93675663138628,1.9420000314712524,7.146631969815372,0.0003,0.0027
2019-11-01,159915.SZ,BUY,56400.0,1.6109307675361635,1.6089999675750732,27.256948586711886,0.0003,0.0012
2019-11-18,159915.SZ,SELL,56400.0,1.6110644352436065,1.6130000352859497,27.25921024432182,0.0003,0.0012
2019-11-19,513500.SH,BUY,10700.0,2.0635566879749296,2.058000087738037,6.624016968399524,0.0003,0.0027
2019-11-20,513500.SH,BUY,10600.0,2.085615923500061,2.0799999237060547,6.632258636730194,0.0003,0.0027
2019-11-21,513500.SH,BUY,10700.0,2.052526831150055,2.046999931335449,6.588611127991675,0.0003,0.0027
2019-11-22,513500.SH,BUY,11100.0,2.039491719675064,2.0339999198913574,6.791507426517962,0.0003,0.0027
2019-11-25,513500.SH,BUY,1000.0,2.0505215764999387,2.0450000762939453,5.0,0.0003,0.0027
2019-12-17,513500.SH,SELL,24200.0,2.0923354494571687,2.0980000495910645,15.190355363059043,0.0003,0.0027
2019-12-18,513500.SH,SELL,19900.0,2.0933326771736143,2.0989999771118164,12.497196082726475,0.0003,0.0027
2019-12-20,512800.SH,BUY,81100.0,1.1373632372379303,1.1360000371932983,27.67204756199884,0.0003,0.0012
2019-12-27,512800.SH,SELL,81100.0,1.1316404161930085,1.1330000162124634,27.532811325975892,0.0003,0.0012
2019-12-27,159915.SZ,BUY,53000.0,1.7300736448764802,1.7280000448226929,27.50817095353603,0.0003,0.0012
2020-01-06,159915.SZ,SELL,53000.0,1.753892841911316,1.75600004196167,27.886896186389922,0.0003,0.0012
2020-06-04,518880.SH,BUY,24400.0,3.819578057289124,3.815000057220459,27.959311379356386,0.0003,0.0012
