symbol,start,end,frozen_return,raw_return,economic_return,actions_in_window
512690.SH,2020-01-23,2020-02-03,-0.2510823016268454,-0.09991391467079236,-0.09991391467079247,0
515050.SH,2025-07-04,2025-11-03,0.794936638378102,0.7972972918549448,0.7972972918549464,0
515050.SH,2026-04-08,2026-06-30,0.6415980460322954,-0.4530148749301267,0.6409553752096184,1
