date,market,code,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,xingquanjia,fenshu,panqian_liutong,panhou_liutong,qian_zongguben,hou_zongguben
2021-12-27,1,515220,1,除权除息,0.0800000011920929,0.0,0.0,0.0,,,,,,,
2022-12-27,1,515220,1,除权除息,0.04000000059604645,0.0,0.0,0.0,,,,,,,
2023-12-28,1,515220,1,除权除息,0.05,0.0,0.0,0.0,,,,,,,
2024-04-12,1,515220,11,扩缩股,,,,,2.0,,,,,,
2024-12-24,1,515220,1,除权除息,0.0449999988079071,0.0,0.0,0.0,,,,,,,
2025-12-24,1,515220,1,除权除息,0.04000000059604645,0.0,0.0,0.0,,,,,,,
