date,market,code,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,xingquanjia,fenshu,panqian_liutong,panhou_liutong,qian_zongguben,hou_zongguben
2007-01-12,1,510880,11,扩缩股,,,,,0.6552779674530029,,,,,,
2009-03-24,1,510880,1,除权除息,0.023999999463558196,0.0,0.0,0.0,,,,,,,
2009-10-22,1,510880,1,除权除息,0.023000000417232512,0.0,0.0,0.0,,,,,,,
2010-07-15,1,510880,1,除权除息,0.020000000298023225,0.0,0.0,0.0,,,,,,,
2010-10-22,1,510880,1,除权除息,0.02099999934434891,0.0,0.0,0.0,,,,,,,
2011-10-24,1,510880,1,除权除息,0.034999999403953555,0.0,0.0,0.0,,,,,,,
2012-12-18,1,510880,1,除权除息,0.04099999964237213,0.0,0.0,0.0,,,,,,,
2014-01-21,1,510880,1,除权除息,0.05899999737739563,0.0,0.0,0.0,,,,,,,
2015-01-20,1,510880,1,除权除息,0.0800000011920929,0.0,0.0,0.0,,,,,,,
2016-01-20,1,510880,1,除权除息,0.05,0.0,0.0,0.0,,,,,,,
2017-01-23,1,510880,1,除权除息,0.09100000262260437,0.0,0.0,0.0,,,,,,,
2018-01-23,1,510880,1,除权除息,0.10900000333786011,0.0,0.0,0.0,,,,,,,
2019-01-16,1,510880,1,除权除息,0.09800000190734863,0.0,0.0,0.0,,,,,,,
2020-01-17,1,510880,1,除权除息,0.1440000057220459,0.0,0.0,0.0,,,,,,,
2021-01-18,1,510880,1,除权除息,0.1409999966621399,0.0,0.0,0.0,,,,,,,
2022-01-17,1,510880,1,除权除息,0.08600000143051148,0.0,0.0,0.0,,,,,,,
2023-01-16,1,510880,1,除权除息,0.13799999952316283,0.0,0.0,0.0,,,,,,,
2024-01-23,1,510880,1,除权除息,0.1309999942779541,0.0,0.0,0.0,,,,,,,
2025-01-21,1,510880,1,除权除息,0.14199999570846558,0.0,0.0,0.0,,,,,,,
2026-01-21,1,510880,1,除权除息,0.14299999475479125,0.0,0.0,0.0,,,,,,,
