track,candidate,period,total_return,cagr,annual_volatility,sharpe,max_drawdown
mixed,False,2018—20,0.004639293967415803,0.0018533951433579166,0.09556072554938037,0.06762441354458647,-0.13718481429352214
mixed,False,2021—22,0.23620671475347677,0.1127429724828295,0.25251512661115333,0.5614705510590029,-0.20906256593091377
mixed,False,2023—24,1.0106134578841433,0.41966252300719176,0.2557070203641431,1.5494904967595258,-0.13582739902523422
mixed,False,2025以后,2.517673742960104,1.1081225206206864,0.34027151989269283,2.43849102193616,-0.1790099457936033
mixed,True,2018—20,0.07649411984383847,0.029926939164364175,0.11224209643416166,0.3268617574681685,-0.131338975236851
mixed,True,2021—22,0.2715586688086895,0.12866214785168695,0.25133553448105933,0.621262632842339,-0.20981239786324013
mixed,True,2023—24,0.9981889486704254,0.4152542874117573,0.2538974383267507,1.5460190653593298,-0.13037839201669255
mixed,True,2025以后,2.4870935925460125,1.0972367217652743,0.3398069730267101,2.4255623550085206,-0.17840655004897144
uniform_keyword,False,2018—20,0.004639293967415803,0.0018533951433579166,0.09556072554938037,0.06762441354458647,-0.13718481429352214
uniform_keyword,False,2021—22,0.23620671475347677,0.1127429724828295,0.25251512661115333,0.5614705510590029,-0.20906256593091377
uniform_keyword,False,2023—24,1.0106134578841433,0.41966252300719176,0.2557070203641431,1.5494904967595258,-0.13582739902523422
uniform_keyword,False,2025以后,2.6197434666093518,1.1441811183999744,0.3388786227445339,2.499037718900892,-0.15518788778741877
uniform_keyword,True,2018—20,0.07649411984383847,0.029926939164364175,0.11224209643416166,0.3268617574681685,-0.131338975236851
uniform_keyword,True,2021—22,0.2715586688086895,0.12866214785168695,0.25133553448105933,0.621262632842339,-0.20981239786324013
uniform_keyword,True,2023—24,0.9981889486704254,0.4152542874117573,0.2538974383267507,1.5460190653593298,-0.13037839201669255
uniform_keyword,True,2025以后,2.5878867471211042,1.1329719165478256,0.3384521936747698,2.48570070213429,-0.15465869430577794
