,mixed_False,mixed_True,uniform_keyword_False,uniform_keyword_True
2018-10-31,97150.5846025142,97150.5846025142,97150.5846025142,97150.5846025142
2018-11-01,97153.60090388406,97153.60090388406,97153.60090388406,97153.60090388406
2018-11-02,97156.61720525392,97156.61720525392,97156.61720525392,97156.61720525392
2018-11-05,97167.6061093635,97167.6061093635,97167.6061093635,97167.6061093635
2018-11-06,96851.70036823169,96851.70036823169,96851.70036823169,96851.70036823169
2018-11-07,96396.49355049666,96396.49355049666,96396.49355049666,96396.49355049666
2018-11-08,97189.69515796239,97189.69515796239,97189.69515796239,97189.69515796239
2018-11-09,94215.19208486612,94215.19208486612,94215.19208486612,94215.19208486612
2018-11-12,93943.14977467107,93943.14977467107,93943.14977467107,93943.14977467107
2018-11-13,93608.37400158298,93608.37400158298,93608.37400158298,93608.37400158298
2018-11-14,93611.2659193912,93611.2659193912,93611.2659193912,93611.2659193912
2018-11-15,93614.15783719941,93614.15783719941,93614.15783719941,93614.15783719941
2018-11-16,93617.04975500763,93617.04975500763,93617.04975500763,93617.04975500763
2018-11-19,93627.58550843228,93627.58550843228,93627.58550843228,93627.58550843228
2018-11-20,93630.4774262405,93630.4774262405,93630.4774262405,93630.4774262405
2018-11-21,93633.36934404871,93633.36934404871,93633.36934404871,93633.36934404871
2018-11-22,93636.26126185693,93636.26126185693,93636.26126185693,93636.26126185693
2018-11-23,93639.15317966514,93639.15317966514,93639.15317966514,93639.15317966514
2018-11-26,93649.6889330898,93649.6889330898,93649.6889330898,93649.6889330898
2018-11-27,93652.58085089801,93652.58085089801,93652.58085089801,93652.58085089801
2018-11-28,93655.47276870623,93655.47276870623,93655.47276870623,93655.47276870623
2018-11-29,93658.36468651444,93658.36468651444,93658.36468651444,93658.36468651444
2018-11-30,93661.25660432265,93661.25660432265,93661.25660432265,93661.25660432265
2018-12-03,93671.79235774731,93671.79235774731,93671.79235774731,93671.79235774731
2018-12-04,93674.68427555553,93674.68427555553,93674.68427555553,93674.68427555553
2018-12-05,93677.57619336374,93677.57619336374,93677.57619336374,93677.57619336374
2018-12-06,93680.46811117195,93680.46811117195,93680.46811117195,93680.46811117195
2018-12-07,93683.36002898017,93683.36002898017,93683.36002898017,93683.36002898017
2018-12-10,93693.89578240483,93693.89578240483,93693.89578240483,93693.89578240483
2018-12-11,93696.78770021304,93696.78770021304,93696.78770021304,93696.78770021304
2018-12-12,93699.67961802126,93699.67961802126,93699.67961802126,93699.67961802126
2018-12-13,93702.57153582947,93702.57153582947,93702.57153582947,93702.57153582947
2018-12-14,93705.46345363768,93705.46345363768,93705.46345363768,93705.46345363768
2018-12-17,93715.99920706234,93715.99920706234,93715.99920706234,93715.99920706234
2018-12-18,93718.89112487056,93718.89112487056,93718.89112487056,93718.89112487056
2018-12-19,93721.78304267877,93721.78304267877,93721.78304267877,93721.78304267877
2018-12-20,93724.67496048698,93724.67496048698,93724.67496048698,93724.67496048698
2018-12-21,93727.5668782952,93727.5668782952,93727.5668782952,93727.5668782952
2018-12-24,93738.10263171986,93738.10263171986,93738.10263171986,93738.10263171986
2018-12-25,93740.99454952807,93740.99454952807,93740.99454952807,93740.99454952807
2018-12-26,93743.88646733628,93743.88646733628,93743.88646733628,93743.88646733628
2018-12-27,93746.7783851445,93746.7783851445,93746.7783851445,93746.7783851445
2018-12-28,93749.67030295271,93749.67030295271,93749.67030295271,93749.67030295271
2019-01-02,93767.84989199381,93767.84989199381,93767.84989199381,93767.84989199381
2019-01-03,93770.74180980203,93770.74180980203,93770.74180980203,93770.74180980203
2019-01-04,93773.63372761024,93773.63372761024,93773.63372761024,93773.63372761024
2019-01-07,93784.1694810349,93784.1694810349,93784.1694810349,93784.1694810349
2019-01-08,93787.06139884311,93787.06139884311,93787.06139884311,93787.06139884311
2019-01-09,93789.95331665133,93789.95331665133,93789.95331665133,93789.95331665133
2019-01-10,93792.84523445954,93792.84523445954,93792.84523445954,93792.84523445954
2019-01-11,93795.73715226776,93795.73715226776,93795.73715226776,93795.73715226776
2019-01-14,93806.27290569241,93806.27290569241,93806.27290569241,93806.27290569241
2019-01-15,93809.16482350063,93809.16482350063,93809.16482350063,93809.16482350063
2019-01-16,93812.05674130884,93812.05674130884,93812.05674130884,93812.05674130884
2019-01-17,93814.94865911706,93814.94865911706,93814.94865911706,93814.94865911706
2019-01-18,93817.84057692527,93817.84057692527,93817.84057692527,93817.84057692527
2019-01-21,93828.37633034993,93828.37633034993,93828.37633034993,93828.37633034993
2019-01-22,93831.26824815814,93831.26824815814,93831.26824815814,93831.26824815814
2019-01-23,93834.16016596636,93834.16016596636,93834.16016596636,93834.16016596636
2019-01-24,93837.05208377457,93837.05208377457,93837.05208377457,93837.05208377457
2019-01-25,93839.94400158279,93839.94400158279,93839.94400158279,93839.94400158279
2019-01-28,93733.94731142982,93733.94731142982,93733.94731142982,93733.94731142982
2019-01-29,94083.33812410972,94083.33812410972,94083.33812410972,94083.33812410972
2019-01-30,93762.64077532201,93762.64077532201,93762.64077532201,93762.64077532201
2019-01-31,94518.03684893351,94518.03684893351,94518.03684893351,94518.03684893351
2019-02-01,95734.17919044603,95734.17919044603,95734.17919044603,95734.17919044603
2019-02-11,96587.678376485,96587.678376485,96587.678376485,96587.678376485
2019-02-12,97668.77463226426,97668.77463226426,97668.77463226426,97668.77463226426
2019-02-13,99432.67566328157,99432.67566328157,99432.67566328157,99432.67566328157
2019-02-14,99717.17539196124,99717.17539196124,99717.17539196124,99717.17539196124
2019-02-15,97498.08022146333,97498.08022146333,97498.08022146333,97498.08022146333
2019-02-18,100912.07696561921,100912.07696561921,100912.07696561921,100912.07696561921
2019-02-19,100684.4798958789,100684.4798958789,100684.4798958789,100684.4798958789
2019-02-20,100855.17430667985,100855.17430667985,100855.17430667985,100855.17430667985
2019-02-21,99830.97392683137,99830.97392683137,99830.97392683137,99830.97392683137
2019-02-22,101424.17376403917,101424.17376403917,101424.17376403917,101424.17376403917
2019-02-25,106303.47398277231,108138.37550048936,106303.47398277231,108138.37550048936
2019-02-26,105722.19282247082,107171.07777958023,105722.19282247082,107171.07777958023
2019-02-27,105533.68834572921,107057.2792447101,105533.68834572921,107057.2792447101
2019-02-28,105501.28658079478,107114.1751206409,105501.28658079478,107114.1751206409
2019-03-01,105504.55164928794,108707.37495784867,105504.55164928794,108707.37495784867
2019-03-04,105516.44685476739,110641.97718267549,105516.44685476739,110641.97718267549
2019-03-05,105519.71192326055,111495.47636871446,105519.71192326055,111495.47636871446
2019-03-06,105522.9769917537,113486.97446947206,105522.9769917537,113486.97446947206
2019-03-07,105526.24206024686,112974.8776710521,105526.24206024686,112974.8776710521
2019-03-08,105529.50712874002,106317.57859354126,105529.50712874002,106317.57859354126
2019-03-11,105541.40233421947,107568.86614816682,105541.40233421947,107568.86614816682
2019-03-12,105544.66740271263,108411.4245358553,105544.66740271263,108411.4245358553
2019-03-13,105547.93247120579,108360.03556461801,105547.93247120579,108360.03556461801
2019-03-14,105551.19753969894,108363.3939207824,105551.19753969894,108363.3939207824
2019-03-15,105554.4626081921,108366.75227694679,105554.4626081921,108366.75227694679
2019-03-18,105566.35781367155,108378.98734543993,105566.35781367155,108378.98734543993
2019-03-19,105569.62288216471,108382.34570160432,105569.62288216471,108382.34570160432
2019-03-20,105572.88795065787,108385.70405776871,105572.88795065787,108385.70405776871
2019-03-21,105576.15301915102,108389.0624139331,105576.15301915102,108389.0624139331
2019-03-22,105579.41808764418,108392.4207700975,105579.41808764418,108392.4207700975
2019-03-25,105591.31329312363,108404.65583859064,105591.31329312363,108404.65583859064
2019-03-26,105594.57836161679,108408.01419475503,105594.57836161679,108408.01419475503
2019-03-27,105597.84343010995,108411.37255091942,105597.84343010995,108411.37255091942
2019-03-28,105601.1084986031,108414.73090708381,105601.1084986031,108414.73090708381
2019-03-29,105604.37356709626,108418.0892632482,105604.37356709626,108418.0892632482
2019-04-01,105616.26877257571,108430.32433174134,105616.26877257571,108430.32433174134
2019-04-02,105619.53384106887,108433.68268790573,105619.53384106887,108433.68268790573
2019-04-03,105622.79890956203,108437.04104407012,105622.79890956203,108437.04104407012
2019-04-04,105626.06397805519,108440.39940023451,105626.06397805519,108440.39940023451
2019-04-08,105642.27425202778,108457.07282489205,105642.27425202778,108457.07282489205
2019-04-09,105645.53932052094,108460.43118105644,105645.53932052094,108460.43118105644
2019-04-10,105648.8043890141,108463.78953722083,105648.8043890141,108463.78953722083
2019-04-11,105652.06945750726,108467.14789338522,105652.06945750726,108467.14789338522
2019-04-12,105655.33452600041,108470.50624954961,105655.33452600041,108470.50624954961
2019-04-15,105667.22973147986,108482.74131804275,105667.22973147986,108482.74131804275
2019-04-16,105670.49479997302,108486.09967420714,105670.49479997302,108486.09967420714
2019-04-17,105673.75986846618,108489.45803037153,105673.75986846618,108489.45803037153
2019-04-18,105677.02493695934,108492.81638653592,105677.02493695934,108492.81638653592
2019-04-19,105680.2900054525,108496.17474270031,105680.2900054525,108496.17474270031
2019-04-22,105692.18521093194,108508.40981119346,105692.18521093194,108508.40981119346
2019-04-23,105695.4502794251,108511.76816735785,105695.4502794251,108511.76816735785
2019-04-24,105698.71534791826,108515.12652352224,105698.71534791826,108515.12652352224
2019-04-25,105701.98041641142,108518.48487968663,105701.98041641142,108518.48487968663
2019-04-26,105705.24548490458,108521.84323585102,105705.24548490458,108521.84323585102
2019-04-29,105717.14069038403,108534.07830434416,105717.14069038403,108534.07830434416
2019-04-30,105720.40575887718,108537.43666050855,105720.40575887718,108537.43666050855
2019-05-06,105745.24616983609,108562.98679749486,105745.24616983609,108562.98679749486
2019-05-07,105748.51123832924,108566.34515365925,105748.51123832924,108566.34515365925
2019-05-08,105751.7763068224,108569.70350982364,105751.7763068224,108569.70350982364
2019-05-09,105755.04137531556,108573.06186598803,105755.04137531556,108573.06186598803
2019-05-10,105758.30644380872,108576.42022215242,105758.30644380872,108576.42022215242
2019-05-13,105770.20164928817,108588.65529064556,105770.20164928817,108588.65529064556
2019-05-14,105773.46671778132,108592.01364680995,105773.46671778132,108592.01364680995
2019-05-15,105776.73178627448,108595.37200297434,105776.73178627448,108595.37200297434
2019-05-16,105779.99685476764,108598.73035913873,105779.99685476764,108598.73035913873
2019-05-17,105783.2619232608,108602.08871530312,105783.2619232608,108602.08871530312
2019-05-20,105364.61944188886,108172.10922179844,105364.61944188886,108172.10922179844
2019-05-21,104907.4185153466,107702.50827012685,104907.4185153466,107702.50827012685
2019-05-22,105136.02238502319,107937.3122447553,105136.02238502319,107937.3122447553
2019-05-23,104335.91906037147,107115.50882993368,104335.91906037147,107115.50882993368
2019-05-24,103764.41960539635,106528.50938974052,103764.41960539635,106528.50938974052
2019-05-27,103453.49327637925,106209.15023815165,103453.49327637925,106209.15023815165
2019-05-28,103456.69615309157,106212.4464025352,103456.69615309157,106212.4464025352
2019-05-29,103459.8990298039,106215.74256691877,103459.8990298039,106215.74256691877
2019-05-30,103463.10190651623,106219.03873130232,103463.10190651623,106219.03873130232
2019-05-31,103466.30478322855,106222.33489568588,103466.30478322855,106222.33489568588
2019-06-03,103477.97341336554,106234.34338883657,103477.97341336554,106234.34338883657
2019-06-04,103481.17629007787,106237.63955322013,103481.17629007787,106237.63955322013
2019-06-05,103484.3791667902,106240.93571760369,103484.3791667902,106240.93571760369
2019-06-06,103487.58204350252,106244.23188198725,103487.58204350252,106244.23188198725
2019-06-10,103503.48355035184,106260.59653952149,103503.48355035184,106260.59653952149
2019-06-11,103506.68642706417,106263.89270390505,103506.68642706417,106263.89270390505
2019-06-12,103509.8893037765,106267.1888682886,103509.8893037765,106267.1888682886
2019-06-13,102980.74229258526,105723.7989718448,102980.74229258526,105723.7989718448
2019-06-14,103426.33655566206,106181.39308042635,103426.33655566206,106181.39308042635
2019-06-17,103649.14032715786,106410.19695348847,103649.14032715786,106410.19695348847
2019-06-18,103426.33655566206,106181.39308042635,103426.33655566206,106181.39308042635
2019-06-19,104317.53836173045,107096.59493513213,104317.53836173045,107096.59493513213
2019-06-20,104449.07608552126,107231.67496746308,104449.07608552126,107231.67496746308
2019-06-21,104452.310058124,107235.00222773706,104452.310058124,107235.00222773706
2019-06-24,104464.09197593221,107247.12400855898,104464.09197593221,107247.12400855898
2019-06-25,104467.32594853496,107250.45126883296,104467.32594853496,107250.45126883296
2019-06-26,104470.5599211377,107253.77852910693,104470.5599211377,107253.77852910693
2019-06-27,104473.79389374044,107257.1057893809,104473.79389374044,107257.1057893809
2019-06-28,104477.02786634318,107260.43304965488,104477.02786634318,107260.43304965488
2019-07-01,104488.8097841514,107272.5548304768,104488.8097841514,107272.5548304768
2019-07-02,104179.51298902529,106955.06668658304,104179.51298902529,106955.06668658304
2019-07-03,104507.70876358052,107291.96234912923,104507.70876358052,107291.96234912923
2019-07-04,105382.910537224,108190.36416978885,105382.910537224,108190.36416978885
2019-07-05,105164.1133541872,107965.76706142475,105164.1133541872,107965.76706142475
2019-07-08,104617.10735509891,107404.26090331127,104617.10735509891,107404.26090331127
2019-07-09,104194.36239542646,106970.30972441533,104194.36239542646,106970.30972441533
2019-07-10,104197.5963680292,106973.60588879889,104197.5963680292,106973.60588879889
2019-07-11,104200.83034063195,106976.90205318245,104200.83034063195,106976.90205318245
2019-07-12,104204.06431323469,106980.19821756601,104204.06431323469,106980.19821756601
2019-07-15,104215.8462310429,106992.2067107167,104215.8462310429,106992.2067107167
2019-07-16,104219.08020364564,106995.50287510025,104219.08020364564,106995.50287510025
2019-07-17,103695.53084979106,106457.81802114242,103695.53084979106,106457.81802114242
2019-07-18,102727.13049063733,105463.31765230889,102727.13049063733,105463.31765230889
2019-07-19,103803.12946448375,106568.31659849876,103803.12946448375,106568.31659849876
2019-07-22,103265.12997756053,106015.81712540382,103265.12997756053,106015.81712540382
2019-07-23,103695.53084979106,106457.81802114242,103695.53084979106,106457.81802114242
2019-07-24,104233.53033671426,107010.31749423734,104233.53033671426,107010.31749423734
2019-07-25,104771.52982363748,107562.81696733228,104771.52982363748,107562.81696733228
2019-07-26,104448.73397955945,107231.3212352633,104448.73397955945,107231.3212352633
2019-07-29,104986.73346648266,107783.82070835824,104986.73346648266,107783.82070835824
2019-07-30,104986.73346648266,107783.82070835824,104986.73346648266,107783.82070835824
2019-07-31,104879.12843833018,107673.31554468864,104879.12843833018,107673.31554468864
2019-08-01,103695.53084979106,106457.81802114242,103695.53084979106,106457.81802114242
2019-08-02,102606.3167599504,105362.80400597445,102606.3167599504,105362.80400597445
2019-08-05,102579.5240933261,105325.59440400105,102579.5240933261,105325.59440400105
2019-08-06,102582.695874148,105328.85947249421,102582.695874148,105328.85947249421
2019-08-07,102585.86765496992,105332.12454098737,102585.86765496992,105332.12454098737
2019-08-08,102589.03943579183,105335.38960948052,102589.03943579183,105335.38960948052
2019-08-09,102592.21121661374,105338.65467797368,102592.21121661374,105338.65467797368
2019-08-12,102603.7665590795,105350.54988345313,102603.7665590795,105350.54988345313
2019-08-13,102606.9383399014,105353.81495194629,102606.9383399014,105353.81495194629
2019-08-14,102610.11012072332,105357.08002043945,102610.11012072332,105357.08002043945
2019-08-15,102613.28190154523,105360.3450889326,102613.28190154523,105360.3450889326
2019-08-16,102616.45368236714,105363.61015742576,102616.45368236714,105363.61015742576
2019-08-19,102628.00902483289,105375.50536290521,102628.00902483289,105375.50536290521
2019-08-20,101692.8119650937,104414.57492550071,101692.8119650937,104414.57492550071
2019-08-21,101431.21533308992,104145.77838619407,101431.21533308992,104145.77838619407
2019-08-22,101758.21502123841,104481.7780657595,101758.21502123841,104481.7780657595
2019-08-23,101823.61028109559,104548.97319515403,101823.61028109559,104548.97319515403
2019-08-26,100842.61121665008,103540.97415645773,100842.61121665008,103540.97415645773
2019-08-27,102608.41576968202,105355.37883480247,102608.41576968202,105355.37883480247
2019-08-28,102477.61745368013,105220.98056514915,102477.61745368013,105220.98056514915
2019-08-29,102019.8116532422,104750.57460506614,102019.8116532422,104750.57460506614
2019-08-30,102585.33212565871,104145.77838619407,102585.33212565871,104145.77838619407
2019-09-02,102596.88746812446,107035.3772326296,102596.88746812446,107035.3772326296
2019-09-03,102600.05924894637,107236.97864254173,102600.05924894637,107236.97864254173
2019-09-04,102603.23102976829,108043.3762713259,102603.23102976829,108043.3762713259
2019-09-05,102606.4028105902,109387.37498958764,102606.4028105902,109387.37498958764
2019-09-06,102609.5745914121,109656.17953975852,102609.5745914121,109656.17953975852
2019-09-09,104404.93048283037,112276.97383602317,104404.93048283037,112276.97383602317
2019-09-10,103842.43399950441,111672.1776171511,103842.43399950441,111672.1776171511
2019-09-11,102404.93388029512,110126.57748897727,102404.93388029512,110126.57748897727
2019-09-12,102904.93489357409,110664.17857845481,102904.93489357409,110664.17857845481
2019-09-16,103154.93167492327,110932.97511776145,103154.93167492327,110932.97511776145
2019-09-17,101154.935072388,108782.57877071554,101154.935072388,108782.57877071554
2019-09-18,101092.43215176043,108715.37563045677,101092.43215176043,108715.37563045677
2019-09-19,102654.9306616443,110395.37402828391,102654.9306616443,110395.37402828391
2019-09-20,102404.93388029512,110126.57748897727,102404.93388029512,110126.57748897727
2019-09-23,101279.93346306261,108916.97704036887,101279.93346306261,108916.97704036887
2019-09-24,101842.42994638857,109521.77325924094,101842.42994638857,109521.77325924094
2019-09-25,100717.42952915606,108312.17281063255,100717.42952915606,108312.17281063255
2019-09-26,97592.43250938828,104952.17601497823,97592.43250938828,104952.17601497823
2019-09-27,97315.59013503799,104654.33331636598,97315.59013503799,104654.33331636598
2019-09-30,97118.59267133483,104442.33604578188,97118.59267133483,104442.33604578188
2019-10-08,96232.09234255561,103488.3356919687,96232.09234255561,103488.3356919687
2019-10-09,95050.08994716415,102216.33311418703,95050.08994716415,102216.33311418703
2019-10-10,94877.3716037146,102051.11467417795,94877.3716037146,102051.11467417795
2019-10-11,94968.38448699703,102165.28627064396,94968.38448699703,102165.28627064396
2019-10-14,94979.03352809293,102176.84161310972,94979.03352809293,102176.84161310972
2019-10-15,94981.95654179156,102180.01339393163,94981.95654179156,102180.01339393163
2019-10-16,94984.87955549019,102183.18517475354,94984.87955549019,102183.18517475354
2019-10-17,94987.80256918882,102186.35695557545,94987.80256918882,102186.35695557545
2019-10-18,94990.72558288745,102189.52873639736,94990.72558288745,102189.52873639736
2019-10-21,95001.37462398334,102201.08407886312,95001.37462398334,102201.08407886312
2019-10-22,95004.32873357239,102204.25585968503,95004.32873357239,102204.25585968503
2019-10-23,95007.28284316143,102207.42764050694,95007.28284316143,102207.42764050694
2019-10-24,95010.23695275048,102210.59942132885,95010.23695275048,102210.59942132885
2019-10-25,95013.19106233952,102213.77120215076,95013.19106233952,102213.77120215076
2019-10-28,95023.95339110665,102225.32654461652,95023.95339110665,102225.32654461652
2019-10-29,95026.9075006957,102228.49832543843,95026.9075006957,102228.49832543843
2019-10-30,95029.86161028474,102231.67010626034,95029.86161028474,102231.67010626034
2019-10-31,95032.81571987379,102234.84188708225,95032.81571987379,102234.84188708225
2019-11-01,95835.98247492044,103099.36310291286,95835.98247492044,103099.36310291286
2019-11-04,96366.07916080681,103669.9595355987,96366.07916080681,103669.9595355987
2019-11-05,97249.5853396627,104620.96618652338,97249.5853396627,104620.96618652338
2019-11-06,96601.68314897745,103923.56382846828,96601.68314897745,103923.56382846828
2019-11-07,97367.38382303446,104747.7645540237,97367.38382303446,104747.7645540237
2019-11-08,97013.9813514921,104367.36189365383,97013.9813514921,104367.36189365383
2019-11-11,94952.4833174917,102148.36400985713,94952.4833174917,102148.36400985713
2019-11-12,95011.37904846399,102211.75941467281,95011.37904846399,102211.75941467281
2019-11-13,95541.48275577753,102782.36340522762,95541.48275577753,102782.36340522762
2019-11-14,96130.48219406336,103416.3628005981,96130.48219406336,103416.3628005981
2019-11-15,95188.08028423517,102401.96074485774,95188.08028423517,102401.96074485774
2019-11-18,94986.71020219811,102185.20585179918,94986.71020219811,102185.20585179918
2019-11-19,95180.35282127427,102379.09723799862,95180.35282127427,102379.09723799862
2019-11-20,94541.22838138946,101740.2215652371,94541.22838138946,101740.2215652371
2019-11-21,93964.31883460117,101163.52968968169,93964.31883460117,101163.52968968169
2019-11-22,94005.83893169754,101205.26745801093,94005.83893169754,101205.26745801093
2019-11-25,94515.37836648412,101710.37831388687,94515.37836648412,101710.37831388687
2019-11-26,95252.97986127326,102503.97992216327,95252.97986127326,102503.97992216327
2019-11-27,95529.58179570622,102801.58200346207,95529.58179570622,102801.58200346207
2019-11-28,95990.58135606236,103297.58153043961,95990.58135606236,103297.58153043961
2019-11-29,96082.78566457219,103396.78616605973,96082.78566457219,103396.78616605973
2019-12-02,97189.18241120763,104587.18266569352,97189.18241120763,104587.18266569352
2019-12-03,95621.77511311955,102900.77481352066,95621.77511311955,102900.77481352066
2019-12-04,94515.37836648412,101710.37831388687,94515.37836648412,101710.37831388687
2019-12-05,94607.58267499394,101809.58294950699,94607.58267499394,101809.58294950699
2019-12-06,94884.18460942693,102107.18503080582,94884.18460942693,102107.18503080582
2019-12-09,95806.18373013921,103099.1840847609,95806.18373013921,103099.1840847609
2019-12-10,95437.3774871964,102702.37736784195,95437.3774871964,102702.37736784195
2019-12-11,95345.18416978307,102603.18455778336,95345.18416978307,102603.18455778336
2019-12-12,95898.37704755252,103198.37689481946,95898.37704755252,103198.37689481946
2019-12-13,96174.97898198552,103495.97897611832,96174.97898198552,103495.97897611832
2019-12-16,96359.37660790868,103694.37642179703,96359.37660790868,103694.37642179703
