track,start,candidate,cost_multiplier,capital,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,trade_count,average_exposure,total_fees,slippage_cost_estimate,blocked_order_count,limit_blocked_order_count,eligibility_blocked_order_count,liquidity_limited_order_count,cash_management_annual_rate,cash_interest_income,cash_interest_calendar_days,cash_management_fees,without_best_round_return,removed_round
mixed,2018-07-02,False,1,100000,7.783859913346859,0.30376974886913577,0.24166279093963597,1.2584559186491233,2.2045668124780744,-0.20906256593091377,1.4530088039267568,17.022602908259394,295.0,0.547036360107782,9009.296774651968,48727.18735511541,3.0,3.0,0.0,132.0,0.015,9636.452054794549,2992.0,1562.940000000002,4.4334769183891485,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-06-30', 'net_pnl': 378569.4473583406}"
mixed,2018-07-02,False,2,100000,5.906235751948835,0.266049956414675,0.24373051714456112,1.1247910687865432,1.9695849471867017,-0.23389242959289547,1.1374885321331336,17.092046260716344,280.0,0.5492390032990342,15425.300761911847,83252.59800588014,3.0,3.0,0.0,120.0,0.015,8314.232876712307,2992.0,1348.9200000000028,3.2684522075571865,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-06-30', 'net_pnl': 301693.21148039046}"
mixed,2018-07-02,False,1,9825,11.009391981207575,0.3545127763104736,0.2552356411845518,1.3594091162278072,2.473107545739237,-0.2025355093608684,1.7503734403374134,17.337061086484663,143.0,0.5549600537936852,1291.0372490425343,6088.274041002991,0.0,0.0,0.0,0.0,0.015,1016.7945205479443,2992.0,165.73000000000098,6.3618417321960985,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-06-30', 'net_pnl': 51573.56892992667}"
mixed,2018-07-02,True,1,100000,8.53780022184788,0.31694205146378285,0.24289721239506074,1.2962699471979033,2.2638364254225793,-0.20981239786324013,1.5105973464464761,16.4461654239963,300.0,0.5570940752147456,9644.203583862913,51927.51722478569,3.0,3.0,0.0,138.0,0.015,10262.260273972643,2992.0,1660.0800000000106,4.906909314510396,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-06-30', 'net_pnl': 409963.36353198986}"
mixed,2018-07-02,True,2,100000,6.524895908777942,0.2793791444066931,0.2447793405315857,1.1654524453232187,2.0334777971201956,-0.23837984543610158,1.1719914655351242,16.538247866486365,278.0,0.559419680012862,16489.88144606393,89038.54487224104,3.0,3.0,0.0,118.0,0.015,8861.547945205513,2992.0,1434.399999999996,3.658136031860237,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-06-30', 'net_pnl': 327847.5836364479}"
mixed,2018-07-02,True,1,9825,12.957890385930959,0.37960413462322506,0.2577336998543812,1.4226407369719347,2.5887101347639376,-0.20052162402864548,1.8930832844690944,16.861959003269007,139.0,0.5675386035409311,1401.3027341186169,6938.278475042581,0.0,0.0,0.0,0.0,0.015,1137.575342465753,2992.0,184.65000000000023,7.556083207261642,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-06-30', 'net_pnl': 59945.23041955402}"
mixed,2021-01-04,False,1,100000,7.748440280354613,0.4648814795723655,0.28290058011619207,1.5412810226990947,2.7746312112175033,-0.20900219323884395,2.22428995776665,18.57384463998282,227.0,0.6895063260982887,7954.62438835828,42400.774634138346,3.0,3.0,0.0,98.0,0.015,6785.835616438365,2075.0,1091.9900000000007,4.411377851420576,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-06-30', 'net_pnl': 377079.22981845215}"
mixed,2021-01-04,False,2,100000,6.284942428878705,0.4184295789875965,0.2845228356705071,1.4164161854639528,2.549386644837683,-0.23593038921384624,1.7735298126784922,18.619167552601656,214.0,0.6915178203413546,14113.526785961749,75357.22034417151,3.0,3.0,0.0,88.0,0.015,5963.178082191777,2075.0,957.9700000000018,3.5069445687098932,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-06-30', 'net_pnl': 317632.57413398783}"
mixed,2021-01-04,True,1,100000,7.979508590824057,0.4716191218562007,0.2824310703865546,1.5602631707992642,2.808071412236031,-0.20926764072189763,2.2536648295421373,18.183993178777218,220.0,0.6932602505318035,8116.47600768164,43079.968582676054,3.0,3.0,0.0,92.0,0.015,6928.1917808219105,2075.0,1111.6700000000005,4.556298722370511,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-06-30', 'net_pnl': 386715.9699097306}"
mixed,2021-01-04,True,2,100000,6.4913063229905585,0.4254211666479153,0.28397894111480615,1.4365839709059296,2.584015752512627,-0.23812185648248518,1.7865691664435965,18.233096651243823,211.0,0.6953771800554471,14457.705750093666,76718.31720757125,3.0,3.0,0.0,84.0,0.015,6104.958904109596,2075.0,977.9899999999991,3.6369991350023874,"{'symbol': '515050.SH', 'entry': '2026-04-08', 'exit': '2026-06-30', 'net_pnl': 326416.49534866353}"
