track,signal_start,execute_start,execute_end,completed,baseline_return,candidate_return,delta
mixed,2019-02-22,2019-02-25,2019-03-11,True,0.040594154405033,0.0605841009700816,0.0199899465650486
mixed,2019-08-29,2019-08-30,2019-09-09,True,0.023378976994145262,0.07185067250784338,0.04847169551369812
mixed,2020-06-22,2020-06-23,2020-06-24,True,0.00952922474894291,0.015401273728698817,0.005872048979755906
mixed,2021-03-30,2021-03-31,2021-04-23,True,-0.011201420564590614,0.03341400786449822,0.04461542842908883
mixed,2025-12-22,2025-12-23,2025-12-25,True,0.01097511725816358,0.005332993527579655,-0.005642123730583926
uniform_keyword,2019-02-22,2019-02-25,2019-03-11,True,0.040594154405033,0.0605841009700816,0.0199899465650486
uniform_keyword,2019-08-29,2019-08-30,2019-09-09,True,0.023378976994145262,0.07185067250784338,0.04847169551369812
uniform_keyword,2020-06-22,2020-06-23,2020-06-24,True,0.00952922474894291,0.015401273728698817,0.005872048979755906
uniform_keyword,2021-03-30,2021-03-31,2021-04-23,True,-0.011201420564590614,0.03341400786449822,0.04461542842908883
uniform_keyword,2025-12-22,2025-12-23,2025-12-25,True,0.01097511725816358,0.005332993527579655,-0.005642123730583926
