strategy,year,total_return,cagr,annual_volatility,sharpe,max_drawdown
etfwin 策略,2018,-0.0007170869346274644,-0.0014626720223446243,0.18156381292910442,0.0824621713887775,-0.08992212427766211
etfwin 策略,2019,0.0880479572351629,0.08861720840452292,0.16925755086160393,0.5991958863922909,-0.11189067465463531
etfwin 策略,2020,-0.36438723013972674,-0.36537560216417575,0.28526150305526565,-1.5018279025341712,-0.49966040984415416
etfwin 策略,2021,0.23643529571305866,0.23952849314028524,0.29522963154005305,0.8928934534492226,-0.15948642093301868
etfwin 策略,2022,-0.04017087689709886,-0.04074460328936724,0.2659437227337699,-0.027888243645333714,-0.26077208997650936
etfwin 策略,2023,0.2651459417717237,0.26949261132127944,0.22808126201042203,1.1873172974807293,-0.1480422747954403
etfwin 策略,2024,0.0265242440925193,0.026616531696547208,0.31673972826501007,0.24295929437082825,-0.3439449725282725
etfwin 策略,2025,1.54255677636499,1.5573058252238026,0.3343728397925762,3.0645347639511424,-0.13303020558554546
etfwin 策略,2026,0.4427536955625826,0.7852939676768596,0.35356069455584693,1.8622849659341527,-0.15306251026329987
ye 策略,2018,-0.06250329697047285,-0.12339449287255155,0.09582336181525142,-1.3200915391583412,-0.09018210945989602
ye 策略,2019,0.02398241807908197,0.024132848907701954,0.11274874777542412,0.2729481876990678,-0.11607480626805133
ye 策略,2020,0.04652091345949105,0.046684341778133076,0.07443604417850923,0.6703293032769696,-0.06347713141099398
ye 策略,2021,0.21874242150020162,0.22158405866106046,0.24688674838032484,0.9527069938705743,-0.20068050243376168
ye 策略,2022,0.014329765621662549,0.01454025339251852,0.25842011473173354,0.18560012076194027,-0.20906256593091377
ye 策略,2023,0.19828501821198574,0.2014502664210398,0.17103710574098707,1.1867081195685647,-0.13582739902523422
ye 策略,2024,0.6779092013386505,0.6808939937187333,0.3185783645150818,1.850282817493799,-0.12999779368955833
ye 策略,2025,1.4853819391664027,1.4994469417425873,0.3400092414633768,2.9500849516119954,-0.12534277061174504
ye 策略,2026,0.4695257833555757,0.837957201604169,0.34552616371892064,1.9841056305541058,-0.1672076971532035
