strategy,completed_round_trips,median_entry_delay_days,median_exit_delay_days,median_peak_giveback,median_move_capture_ratio,false_start_rate,premature_exit_rate,fixed_horizon_false_buy_rate,material_premature_exit_rate,failed_operation_rate
etfwin 策略,158.0,17.5,0.0,-0.03346694271224704,0.6151369344795985,0.5949367088607594,0.46835443037974683,0.5949367088607594,0.20253164556962025,0.7531645569620253
ye 策略,70.0,18.0,3.0,-0.04360882861070664,0.622022046917583,0.4714285714285714,0.44285714285714284,0.45714285714285713,0.18571428571428572,0.6285714285714286
