date,symbol,name,category,close,change_1d,trailing_amount_20d,listed_sessions,roc20,roc60,momentum_score,selection_score,ma120,ma120_bias,above_ma120,rank,rank_5d_ago,rank_20d_ago,dual_rank_decline,pool_role,pool_eligible,base_entry_pass,technical_entry_pass,final_entry_pass,normal_entry,confirmed_normal_entry,weak_edge_confirmed,historical_fallback,emerging_entry,quality_extension,r2_20,efficiency20,category_breadth,sentiment_matched_count,sentiment_hot_score,sentiment_count_acceleration,sentiment_positive_dde_share,soft_exit_confirmation,hot_exit_protection,missing_data_soft_exit_protection,target_weight
2026-08-18,512010.SH,医药ETF易方达,医药医疗,0.4009999930858612,0.0,552999712.0,3000,0.06648937983108749,0.17941173196457694,0.3356069777779529,0.3356069777779529,0.362250000735124,0.10697030302857358,True,1.0,1.0,3.0,False,core,True,False,False,False,False,False,False,False,False,False,0.7696710390777878,0.26729950368071975,0.6666666666666666,6.0,0.5366442339647723,-0.2857142857142858,0.0,True,False,False,0.0
2026-08-18,513200.SH,港股通医药ETF易方达,港股与亚洲,1.0709999799728394,0.012287345775793934,184943080.0,1097,0.0862068746643081,0.12381948561504763,0.27193610308687954,0.27193610308687954,0.9900749996304512,0.08173621227946737,True,2.0,2.0,15.0,False,core,True,True,True,True,True,True,False,False,False,False,0.6771374405101979,0.3065724422486759,0.6,3.0,0.4946552010634762,-0.5,0.0,True,False,False,1.0
2026-08-18,513030.SH,德国ETF华安,海外欧洲,1.965000033378601,-0.01305877556675461,94355336.0,2903,0.11457743654184593,0.07494534338699821,0.22699545162234325,0.22699545162234325,1.8014583299557367,0.09078295106991607,True,3.0,4.0,21.0,False,challenger,True,False,False,False,False,False,False,False,False,False,0.9435464094278232,0.4520976816110447,,0.0,0.3865831671651711,-0.1666666666666666,,True,False,False,0.0
2026-08-18,513500.SH,标普500ETF博时,美股,2.687999963760376,-0.021834041055368347,435460224.0,3000,0.06413299263828365,0.055773746949300484,0.14779361306223437,0.14779361306223437,2.451750002304713,0.09635972722895136,True,3.0,3.0,8.0,False,core,True,False,False,False,False,False,False,False,False,False,0.803192815358669,0.30078685442506764,1.0,0.0,0.4314136756397474,0.0,,True,False,False,0.0
2026-08-18,513520.SH,日经ETF华夏,港股与亚洲,2.3380000591278076,-0.024614106561464122,359721488.0,1736,0.04749101310479609,0.058397438678722935,0.1350871711228805,0.1350871711228805,2.1573083480199178,0.0837579436772391,True,4.0,4.0,9.0,False,challenger,True,True,True,False,True,True,False,False,False,False,0.6670992308750198,0.14556877024488507,0.6,0.0,0.4431509637753406,0.0,,True,False,False,0.0
2026-08-18,515220.SH,煤炭ETF国泰,周期资源,1.2690000534057615,0.011155424882331788,790669056.0,1570,0.06549124237100545,0.04187191853053496,0.1282991201668079,0.1282991201668079,1.2276083379983902,0.0337173625546241,True,4.0,6.0,18.0,False,core,True,True,True,True,True,True,False,False,False,False,0.427177522490347,0.23170041060857077,1.0,0.0,0.222261133266866,-0.1666666666666666,,True,False,False,0.0
2026-08-18,510880.SH,红利ETF华泰柏瑞,风格红利,3.3399999141693115,0.010895888145314059,770961248.0,3000,0.04212168289450435,0.04866561198569519,0.11512010087304714,0.11512010087304714,3.2278833309809367,0.03473377804962463,True,5.0,5.0,10.0,False,core,True,True,True,True,True,True,False,False,False,False,0.3783150897850925,0.2640002845609943,1.0,0.0,0.2377484214024592,0.0,,True,False,False,0.0
2026-08-18,159985.SZ,豆粕ETF华夏,商品,2.2049999237060547,0.026058630114919046,326285552.0,1625,0.003641282160191661,0.07247078299746201,0.11234745665638468,0.11234745665638468,2.113524998227755,0.043280739785431344,True,6.0,11.0,6.0,False,core,True,False,False,False,False,False,False,False,False,False,0.1475922804541833,0.016550095642083103,1.0,7.0,0.8716176470588235,3.4444444444444446,0.0,True,False,False,0.0
2026-08-18,512800.SH,银行ETF华宝,金融地产,0.8019999861717224,0.0075376662415467255,1054259808.0,2195,0.015189828339382094,0.045632289086405375,0.08363826196899016,0.08363826196899016,0.7875916669766109,0.018294148858153614,True,7.0,7.0,11.0,False,core,True,False,False,False,False,False,False,False,False,False,0.13793887531232688,0.09944488153944182,0.75,0.0,0.2516043536058491,0.0,,True,False,False,0.0
2026-08-18,159941.SZ,纳指ETF广发,美股,1.6670000553131104,-0.018256713631477295,963272864.0,2698,0.04908752002513528,0.013373905557254595,0.06914837836101717,0.06914837836101717,1.5126666714747747,0.10202735787645034,True,8.0,4.0,4.0,True,core,True,False,False,False,False,False,False,False,False,False,0.6432708457413422,0.1853153060009469,1.0,0.0,0.4314136756397474,0.0,,True,False,False,0.0
